datetime,low,high,open,close,volumefrom,volumeto
2017-08-02,391.23,399.0,395.0,399.0,167.14,66276.45
2017-08-03,302.1,435.0,399.0,327.4,46983.09,17429657.46
2017-08-04,220.5,354.0,327.4,220.61,88935.77,24960653.81
2017-08-05,194.66,277.45,220.61,210.0,82670.76,18499136.28
2017-08-06,190.1,222.99,210.0,217.75,73028.3,14805633.72
2017-08-07,215.0,370.0,217.75,320.0,233674.49,67029359.32
2017-08-08,307.5,387.2,320.0,342.23,147208.67,50539490.72
2017-08-09,287.0,348.0,342.23,301.0,71419.28,22836095.3
2017-08-10,265.0,312.0,301.0,273.11,63549.6,18325216.56
2017-08-11,270.01,351.47,273.11,325.54,82959.15,26668005.08
2017-08-12,308.0,345.25,325.54,315.09,29018.9,9414586.55
2017-08-13,292.14,318.99,315.09,296.26,32092.2,9851913.56
2017-08-14,290.45,331.0,296.26,299.3,36974.58,11337221.64
2017-08-15,290.0,307.35,299.3,297.01,22056.0,6559900.58
2017-08-16,282.0,311.0,297.01,299.99,21947.26,6510103.62
2017-08-17,291.1,451.62,299.99,444.0,104333.28,39989657.79
2017-08-18,437.1,774.98,444.0,686.28,382225.59,221678929.99
2017-08-19,602.02,972.0,686.28,746.58,287428.93,226256088.49
2017-08-20,677.0,851.79,746.58,716.4,142414.77,108018127.36
2017-08-21,558.16,749.9,716.4,606.04,132889.53,84461268.76
2017-08-22,565.89,736.0,606.04,686.12,116476.64,77743103.56
2017-08-23,651.0,711.77,686.12,674.0,35476.69,23856272.02
2017-08-24,601.0,704.37,674.0,618.8,43901.53,28182696.17
2017-08-25,614.39,664.0,618.8,632.2,28941.16,18413816.98
2017-08-26,611.1,638.99,632.2,622.0,18141.17,11311886.97
2017-08-27,581.23,653.04,622.0,615.0,37141.93,22798829.05
2017-08-28,574.25,628.28,615.0,590.7,17230.88,10303402.49
2017-08-29,523.06,597.51,590.7,544.12,46939.24,26140651.46
2017-08-30,528.97,618.0,544.12,579.61,50813.66,28883528.87
2017-08-31,567.0,609.93,579.61,593.32,25654.06,15150007.88
2017-09-01,586.0,656.99,593.32,628.01,36814.38,22900367.59
2017-09-02,561.6,646.53,628.01,572.0,34863.45,20758438.18
2017-09-03,555.24,623.31,572.0,610.71,25005.54,14820413.02
2017-09-04,497.14,612.43,610.71,518.98,44091.1,23564400.36
2017-09-05,470.1,559.98,518.98,545.0,38603.02,19824373.41
2017-09-06,532.08,657.7,545.0,644.51,52976.39,32420702.28
2017-09-07,599.35,719.0,644.51,665.94,56426.53,37714285.32
2017-09-08,571.31,698.25,665.94,604.0,54665.69,34297083.45
2017-09-09,565.53,610.47,604.0,586.99,19325.11,11370150.26
2017-09-10,523.3,587.24,586.99,557.8,24627.54,13663479.86
2017-09-11,550.0,589.0,557.8,555.0,14243.8,8048000.13
2017-09-12,528.8,578.43,555.0,538.98,15812.27,8786932.49
2017-09-13,470.5,538.98,538.98,505.96,37122.64,18702910.96
2017-09-14,385.5,517.42,505.96,386.77,58738.18,25878032.74
2017-09-15,300.01,455.28,386.77,429.77,134975.2,52286908.23
2017-09-16,409.71,470.77,429.77,443.29,45400.37,19833669.61
2017-09-17,407.06,451.0,443.29,438.34,18195.91,7873292.13
2017-09-18,438.34,494.7,438.34,487.65,37050.91,17538195.83
2017-09-19,454.22,549.0,487.65,531.49,48917.29,24598243.01
2017-09-20,472.7,531.49,531.49,477.9,52924.43,26460006.65
2017-09-21,412.0,484.9,477.9,415.8,35122.92,15903757.32
2017-09-22,392.25,435.39,415.8,409.5,35562.74,14582735.31
2017-09-23,403.01,436.42,409.5,429.92,17274.07,7300435.72
2017-09-24,415.0,435.99,429.92,421.0,20456.0,8676776.13
2017-09-25,420.2,458.35,421.0,451.3,31318.07,13807706.71
2017-09-26,448.99,466.21,451.3,450.0,17927.76,8156326.25
2017-09-27,435.96,470.0,450.0,463.0,42482.36,19382742.87
2017-09-28,439.18,484.9,463.0,458.0,41973.12,19463607.11
2017-09-29,430.33,459.96,458.0,441.67,25901.76,11476692.91
2017-09-30,433.4,455.89,441.67,437.43,34878.24,15528920.17
2017-10-01,416.5,441.1,437.43,417.8,36067.36,15402205.93
2017-10-02,409.98,432.45,417.8,420.0,43619.42,18306357.57
2017-10-03,393.02,421.49,420.0,401.01,22175.33,8938358.09
2017-10-04,350.69,404.04,401.01,355.85,80954.5,30196546.71
2017-10-05,343.53,368.3,355.85,354.49,71483.31,25384900.9
2017-10-06,352.42,374.98,354.49,363.62,31411.19,11495824.99
2017-10-07,354.63,372.0,363.62,360.0,19593.52,7062361.84
2017-10-08,334.04,365.0,360.0,343.67,38845.41,13707993.45
2017-10-09,280.1,343.99,343.67,312.3,81538.23,25812852.7
2017-10-10,300.54,350.0,312.3,317.29,73583.59,23975748.47
2017-10-11,304.13,320.82,317.29,313.52,41278.18,12948616.48
2017-10-12,305.26,331.49,313.52,310.0,60237.31,19115899.39
2017-10-13,286.11,324.99,310.0,320.57,72844.66,22576138.2
2017-10-14,314.46,328.3,320.57,322.1,37269.84,11953599.27
2017-10-15,306.17,323.81,322.1,314.66,17047.17,5361214.49
2017-10-16,309.11,318.3,314.66,314.24,14999.2,4719189.01
2017-10-17,307.5,397.7,314.24,368.53,170318.19,61450586.09
2017-10-18,303.44,374.98,368.53,338.6,83205.09,27886724.12
2017-10-19,323.51,339.99,338.6,329.53,33008.73,10915284.67
2017-10-20,320.0,334.0,329.53,325.0,27044.11,8876018.95
2017-10-21,312.0,334.0,325.0,322.47,15643.35,5035407.47
2017-10-22,317.59,358.9,322.47,325.13,61169.1,20567110.4
2017-10-23,297.11,330.35,325.13,312.47,41854.66,13150136.19
2017-10-24,303.02,339.0,312.47,322.32,49309.48,16026062.82
2017-10-25,314.03,331.81,322.32,328.93,19485.35,6319052.39
2017-10-26,324.39,351.0,328.93,335.98,47780.72,16093604.81
2017-10-27,335.47,373.5,335.98,364.2,87829.6,31395615.94
2017-10-28,363.79,421.15,364.2,416.99,124394.76,47926458.37
2017-10-29,400.01,522.95,416.99,452.21,322622.05,149875772.01
2017-10-30,415.0,484.0,452.21,444.11,133242.46,59787922.62
2017-10-31,425.5,459.26,444.11,435.21,56593.91,25098764.95
2017-11-01,434.17,548.6,435.21,532.0,175576.11,86291610.98
2017-11-02,490.0,594.5,532.0,573.0,231194.07,125354490.37
2017-11-03,558.1,688.33,573.0,626.37,250358.57,161175109.58
2017-11-04,563.11,645.0,626.37,614.0,166675.71,101489230.54
2017-11-05,570.0,637.8,614.0,626.2,106013.6,64072426.08
2017-11-06,586.02,658.56,626.2,587.86,119940.44,74668756.33
2017-11-07,583.63,617.65,587.86,603.58,54127.76,32481116.89
2017-11-08,521.21,644.93,603.58,618.89,160913.61,97836877.57
2017-11-09,611.42,677.0,618.89,650.0,106983.57,68159919.62
2017-11-10,648.1,1030.1,650.0,993.89,459695.08,381340135.19
2017-11-11,890.0,1414.9,993.89,1322.1,155479.58,174772197.28
2017-11-12,1180.0,2799.0,1322.1,1372.2,160576.22,251019404.59
2017-11-13,1011.0,1540.0,1372.2,1352.1,123816.29,154328142.89
2017-11-14,1176.6,1379.0,1352.1,1252.3,72619.44,92673122.23
2017-11-15,1160.4,1320.0,1252.3,1186.3,62289.02,76939379.35
2017-11-16,871.0,1195.7,1186.3,907.41,100425.76,104259765.91
2017-11-17,855.71,1203.3,907.41,1172.0,98755.38,105317214.53
2017-11-18,1176.7,1373.0,1179.2,1248.0,74958.17,95184258.86
2017-11-19,1125.2,1263.9,1248.0,1174.6,44363.04,52647392.64
2017-11-20,1164.4,1256.0,1174.6,1248.8,35022.36,41988807.39
2017-11-21,1140.1,1249.4,1248.8,1171.3,37636.35,44763963.61
2017-11-22,1160.0,1349.5,1171.3,1299.4,50656.02,64437316.46
2017-11-23,1290.7,1671.0,1299.4,1663.4,91385.61,136665606.5
2017-11-24,1530.0,1777.0,1663.4,1619.0,81603.75,135423808.62
2017-11-25,1515.0,1637.0,1619.0,1549.4,57173.53,90622627.73
2017-11-26,1547.9,1549.4,1549.4,1547.9,5.75,8901.6
2017-11-27,1541.0,1725.6,1547.9,1585.2,55928.54,91679382.91
2017-11-28,1460.9,1598.6,1585.2,1480.0,53044.57,81685212.12
2017-11-29,1101.0,1632.5,1480.0,1332.4,70847.13,104993702.05
2017-11-30,1152.2,1415.7,1332.4,1312.7,61571.97,79553338.44
2017-12-01,1240.8,1461.6,1312.7,1431.4,54796.08,74500309.49
2017-12-02,1365.4,1468.1,1431.4,1388.9,23567.98,33447880.89
2017-12-03,1377.0,1625.0,1388.9,1503.2,54982.11,85062820.85
2017-12-04,1430.0,1545.0,1503.2,1540.0,38217.14,57323947.05
2017-12-05,1395.3,1583.2,1540.0,1415.0,45225.61,67168239.39
2017-12-06,1321.9,1460.0,1415.0,1345.5,54367.17,76788775.62
2017-12-07,1206.0,1375.0,1345.5,1229.0,80700.78,101778540.49
2017-12-08,1125.2,1564.9,1231.0,1385.0,119260.59,164010469.02
2017-12-09,1300.1,1475.6,1385.0,1364.8,49337.37,68715404.95
2017-12-10,1180.2,1369.1,1364.8,1288.3,48110.29,61379063.31
2017-12-11,1255.2,1435.5,1288.3,1408.4,40706.86,55965325.53
2017-12-12,1250.0,1626.0,1408.4,1581.8,64274.17,96716368.42
2017-12-13,1447.6,1695.3,1581.8,1581.1,83177.88,130760902.28
2017-12-14,1565.0,2100.0,1581.1,1936.7,168203.47,313988765.4
2017-12-15,1623.3,1944.9,1936.7,1799.6,76064.18,132348415.55
2017-12-16,1730.1,1868.0,1799.6,1774.8,41560.04,73969859.3
2017-12-17,1766.7,1910.0,1774.8,1829.2,38117.54,69968670.68
2017-12-18,1747.6,2318.7,1829.2,2149.1,146200.88,302006164.14
2017-12-19,2065.6,2849.0,2149.1,2669.5,198174.26,474579058.63
2017-12-20,2663.0,4104.3,2669.5,3708.9,333710.61,1156354746.54
2017-12-21,2823.2,3708.9,3708.9,3067.5,127329.9,410651074.09
2017-12-22,1567.0,3165.7,3067.5,2432.9,207675.67,490014668.51
2017-12-23,2370.5,3186.0,2432.9,2898.0,83963.75,240853356.83
2017-12-24,2326.8,2911.4,2898.0,2772.2,97931.56,256308366.56
2017-12-25,2553.3,2863.6,2772.2,2709.4,35967.5,98300985.0
2017-12-26,2684.0,2924.0,2709.4,2915.0,32663.5,91652005.87
2017-12-27,2562.0,2919.9,2915.0,2706.2,28011.64,77140728.23
2017-12-28,2250.1,2727.8,2706.2,2477.8,38118.59,92473707.99
2017-12-29,2282.0,2888.0,2477.8,2612.5,52806.18,136729325.64
2017-12-30,2242.5,2626.0,2612.5,2350.0,14535.02,34668594.15
