datetime,low,high,open,close,volumefrom,volumeto
2015-01-29,232.0,242.0,235.0,241.0,2.9,692.96
2015-01-30,236.11,254.75,241.0,236.76,2.5,601.1
2015-01-31,228.97,238.0,236.76,236.0,0.5945,139.45
2015-02-01,227.25,236.0,236.0,229.99,1.86,425.33
2015-02-02,229.99,241.37,229.99,241.37,2.91,687.71
2015-02-03,226.01,254.74,241.37,226.01,4.58,1096.43
2015-02-04,220.0,230.42,226.01,228.17,4.24,945.0
2015-02-05,214.79,240.0,228.17,217.59,6.63,1520.43
2015-02-06,215.58,229.0,217.59,229.0,0.5592,122.8
2015-02-07,229.0,229.0,229.0,229.0,0.01638,3.75
2015-02-08,229.0,229.0,229.0,229.0,0.0,0.0
2015-02-09,229.0,229.0,229.0,229.0,0.0,0.0
2015-02-10,229.0,229.0,229.0,229.0,0.0,0.0
2015-02-11,229.0,229.0,229.0,229.0,0.0,0.0
2015-02-12,229.0,229.0,229.0,229.0,0.0,0.0
2015-02-13,229.0,229.0,229.0,229.0,0.0,0.0
2015-02-14,229.0,229.0,229.0,229.0,0.0,0.0
2015-02-15,229.0,229.0,229.0,229.0,0.0,0.0
2015-02-16,229.0,229.0,229.0,229.0,0.0,0.0
2015-02-17,229.0,229.0,229.0,229.0,0.0,0.0
2015-02-18,229.0,229.0,229.0,229.0,0.0,0.0
2015-02-19,225.0,280.3,280.3,244.0,0.1931,46.28
2015-02-20,240.25,245.0,244.0,240.25,0.2304,55.89
2015-02-21,240.25,245.0,240.25,245.0,0.06009,14.72
2015-02-22,235.0,249.0,245.0,235.0,0.5391,129.12
2015-02-23,235.0,235.0,235.0,235.0,0.3991,93.79
2015-02-24,235.0,239.75,235.0,239.75,0.6386,151.93
2015-02-25,237.75,239.75,239.75,237.75,0.9276,221.58
2015-02-26,237.75,239.8,237.75,238.5,0.0006503,0.1555
2015-02-27,238.5,249.0,238.5,249.0,1.59,383.76
2015-02-28,240.0,251.0,249.0,240.0,0.07133,17.15
2015-03-01,240.0,251.0,240.0,251.0,0.00127,0.3177
2015-03-02,251.0,269.0,251.0,269.0,0.379,98.06
2015-03-03,255.0,274.5,269.0,267.22,1.67,442.98
2015-03-04,258.87,280.0,267.22,280.0,0.879,245.89
2015-03-05,257.0,280.89,280.0,257.0,0.4463,117.44
2015-03-06,257.0,271.0,257.0,271.0,0.2073,55.55
2015-03-07,260.0,271.0,271.0,260.0,0.1107,28.83
2015-03-08,260.0,275.0,260.0,260.0,0.1187,30.88
2015-03-09,260.0,285.0,260.0,264.0,0.4588,128.39
2015-03-10,264.0,291.0,264.0,291.0,0.1913,54.96
2015-03-11,276.0,292.95,291.0,276.0,0.1493,42.51
2015-03-12,276.0,289.0,276.0,276.0,0.01054,2.91
2015-03-13,275.11,301.0,276.0,275.11,0.2019,57.61
2015-03-14,275.1,275.11,275.11,275.1,0.1756,48.31
2015-03-15,275.1,282.11,275.1,282.11,0.107,29.45
2015-03-16,275.0,301.0,282.11,275.0,0.08825,25.56
2015-03-17,275.0,275.0,275.0,275.0,3.285e-05,0.009034
2015-03-18,262.09,282.0,275.0,262.09,0.6228,164.91
2015-03-19,248.82,267.01,262.09,264.85,2.77,713.9
2015-03-20,254.82,267.98,264.85,263.56,0.5047,132.73
2015-03-21,254.69,263.56,263.56,263.19,0.7656,201.16
2015-03-22,263.19,267.52,263.19,267.52,0.2432,64.38
2015-03-23,260.67,274.3,267.52,260.67,0.2306,61.85
2015-03-24,242.53,271.6,260.67,242.53,1.91,490.18
2015-03-25,242.53,273.0,242.53,247.48,0.3483,90.86
2015-03-26,242.53,251.37,247.48,242.53,0.00948,2.3
2015-03-27,242.53,253.35,242.53,253.35,0.002623,0.6635
2015-03-28,243.68,258.88,253.35,248.73,0.02759,7.06
2015-03-29,247.97,252.07,248.73,247.97,0.03383,8.53
2015-03-30,242.53,254.35,247.97,254.35,0.1212,29.65
2015-03-31,242.53,254.35,254.35,249.34,0.1165,28.48
2015-04-01,239.87,250.0,249.34,249.0,0.05824,14.48
2015-04-02,229.0,255.0,249.0,255.0,0.2478,62.12
2015-04-03,253.5,255.0,255.0,255.0,0.1076,27.37
2015-04-04,249.0,255.0,255.0,254.43,0.7286,184.25
2015-04-05,252.08,262.67,254.43,254.7,0.4874,125.38
2015-04-06,254.7,254.7,254.7,254.7,0.0,0.0
2015-04-07,252.1,257.81,254.7,253.12,2.78,708.43
2015-04-08,246.81,268.0,253.12,246.81,2.98,768.71
2015-04-09,240.88,269.0,246.81,269.0,7.49,1829.46
2015-04-10,99.0,254.66,254.66,234.79,3.15,730.84
2015-04-11,230.1,249.9,234.79,234.87,22.55,5378.19
2015-04-12,230.1,235.74,234.87,232.05,18.35,4304.76
2015-04-13,230.1,246.0,232.05,246.0,0.7815,185.73
2015-04-14,213.72,246.0,246.0,213.72,2.41,543.54
2015-04-15,213.72,225.14,213.72,225.13,0.8603,189.34
2015-04-16,221.29,229.58,223.04,229.58,2.12,470.7
2015-04-17,222.93,226.62,226.26,223.49,0.4073,90.88
2015-04-18,221.5,223.49,223.49,221.5,0.2023,44.82
2015-04-19,221.66,225.5,221.66,223.58,0.194,43.75
2015-04-20,223.58,229.51,225.5,223.58,0.07591,17.05
2015-04-21,223.58,233.0,223.58,233.0,0.0598,13.86
2015-04-22,226.0,238.37,226.0,230.57,0.473,110.04
2015-04-23,229.68,238.37,230.57,229.68,0.2468,56.92
2015-04-24,223.58,235.5,229.68,235.09,0.3734,86.16
2015-04-25,223.58,235.09,235.09,223.58,0.01289,2.92
2015-04-26,206.56,223.58,223.58,212.17,5.02,1062.45
2015-04-27,212.17,219.01,212.17,219.01,2.72,595.37
2015-04-28,219.01,227.0,219.01,227.0,0.0005255,0.1193
