datetime,low,high,open,close,volumefrom,volumeto
2017-11-22,230.0,283.0,275.3,241.25,19049.14,4738958.12
2017-11-23,241.25,309.5,241.25,295.0,29515.7,8198164.71
2017-11-24,283.7,415.0,295.0,393.0,90474.45,32494023.17
2017-11-25,341.0,395.0,393.0,357.0,28251.84,10454665.6
2017-11-26,330.0,365.5,357.0,363.74,19244.48,6664359.46
2017-11-27,341.0,385.0,363.74,360.51,23148.84,8477415.85
2017-11-28,323.0,361.5,360.51,329.0,18389.98,6342452.16
2017-11-29,278.68,345.0,329.0,283.0,39118.43,12181744.88
2017-11-30,255.0,305.0,283.0,289.0,15995.19,4444391.21
2017-12-01,271.8,307.97,289.0,298.98,14244.69,4162970.99
2017-12-02,282.1,304.0,298.98,287.87,7881.82,2305026.15
2017-12-03,281.25,343.0,287.87,304.0,28017.44,8826150.49
2017-12-04,294.0,324.0,304.0,312.4,11970.66,3692248.38
2017-12-05,285.0,312.4,312.4,285.0,15475.01,4640456.0
2017-12-06,241.0,291.78,285.0,250.2,31138.9,8357232.67
2017-12-07,213.0,253.0,250.2,213.5,20781.61,4909017.0
2017-12-08,205.32,248.0,213.5,239.0,17491.14,4046146.73
2017-12-09,218.0,251.25,239.0,231.4,13654.35,3229515.49
2017-12-10,188.2,239.13,231.4,220.31,20339.59,4330855.73
2017-12-11,217.0,278.0,220.31,242.7,31915.83,7972129.47
2017-12-12,242.12,278.95,242.7,264.0,23704.61,6044116.34
2017-12-13,234.2,275.0,264.0,262.5,22095.4,5721081.69
2017-12-14,261.3,338.8,262.5,306.0,46452.16,14087734.92
2017-12-15,261.0,306.49,306.0,288.29,22333.25,6376586.51
2017-12-16,284.43,305.0,288.29,287.0,14570.19,4272309.91
2017-12-17,287.0,299.63,287.0,290.91,16495.93,4813152.66
2017-12-18,269.0,325.9,290.91,312.4,35757.97,10702838.5
2017-12-19,290.0,343.0,312.4,316.49,39629.29,12316786.22
2017-12-20,295.49,444.0,316.49,386.3,67188.14,25816718.55
2017-12-21,310.0,403.0,386.3,335.0,21884.03,7815796.92
2017-12-22,200.0,346.9,335.0,256.0,29685.01,7862491.98
2017-12-23,245.4,297.0,256.0,266.0,14141.19,3873838.95
2017-12-24,217.0,267.11,266.0,257.58,14713.92,3572267.44
2017-12-25,248.68,275.0,257.58,267.34,7661.69,2015273.99
2017-12-26,256.1,279.0,267.34,273.8,10282.07,2746679.06
2017-12-27,260.51,294.8,273.8,272.2,12518.54,3448608.54
2017-12-28,227.0,273.0,272.2,247.0,8762.75,2141510.13
2017-12-29,240.24,276.0,247.0,253.5,10368.63,2665271.91
2017-12-30,228.04,257.0,253.5,239.5,3767.43,893306.76
