datetime,low,high,open,close,volumefrom,volumeto
2017-03-03,42.99,51.88,42.99,47.85,3898.13,193578.22
2017-03-04,43.33,75.58,47.85,43.79,7866.83,367074.09
2017-03-05,40.0,44.97,43.79,42.77,4257.81,178235.66
2017-03-06,42.77,47.58,42.77,46.38,3446.92,155913.76
2017-03-07,43.54,46.89,46.38,45.93,1161.9,53317.91
2017-03-08,42.0,45.93,45.93,42.5,1031.78,45303.52
2017-03-09,41.4,53.97,42.5,51.66,6675.81,330614.4
2017-03-10,43.0,56.99,51.66,50.24,4376.54,226147.87
2017-03-11,50.0,74.18,50.24,72.0,14316.75,907905.64
2017-03-12,64.5,80.99,72.0,78.0,6635.32,480840.53
2017-03-13,69.23,82.1,78.0,75.0,10227.87,773375.46
2017-03-14,73.01,93.27,75.0,88.7,18573.4,1532522.81
2017-03-15,85.51,105.42,88.7,96.85,48240.98,4679814.72
2017-03-16,79.34,99.45,96.85,89.0,36195.18,3187898.96
2017-03-17,79.6,99.1,89.0,96.0,25474.15,2304922.47
2017-03-18,91.63,115.0,96.0,107.91,55022.21,5807984.63
2017-03-19,96.0,112.13,107.91,104.99,25550.33,2644052.65
2017-03-20,98.0,109.99,104.99,98.15,11984.9,1252069.09
2017-03-21,89.45,103.0,98.15,95.0,29543.83,2848322.31
2017-03-22,88.91,108.0,95.0,101.1,20482.33,2029531.25
2017-03-23,97.5,103.02,101.1,101.52,4068.32,408638.9
2017-03-24,85.01,107.79,101.52,94.4,24612.04,2405477.4
2017-03-25,86.1,99.84,94.4,93.15,11496.24,1095914.36
2017-03-26,90.0,95.71,93.15,93.93,6421.92,594466.92
2017-03-27,76.26,93.93,93.93,84.32,32755.34,2725023.54
2017-03-28,80.28,90.0,84.32,86.92,8284.51,714098.01
2017-03-29,82.0,87.6,86.92,84.4,15527.46,1316437.83
2017-03-30,75.6,85.0,84.4,78.78,19035.29,1511825.43
2017-03-31,64.8,78.78,78.78,72.45,51733.49,3622759.4
2017-04-01,66.5,72.8,72.45,68.23,11228.32,771995.58
2017-04-02,53.8,70.47,68.23,57.0,38839.23,2351905.76
2017-04-03,47.53,68.2,57.0,63.87,60666.13,3581148.37
2017-04-04,56.51,72.22,63.87,69.49,31481.96,2090263.57
2017-04-05,65.48,79.0,69.49,75.39,22706.68,1653202.34
2017-04-06,65.2,75.5,75.39,67.09,15842.2,1088358.91
2017-04-07,65.0,71.2,67.09,67.4,9217.02,627945.54
2017-04-08,66.62,70.9,67.4,68.49,7816.79,538012.27
2017-04-09,65.78,69.99,68.49,66.38,5730.05,385889.33
2017-04-10,60.55,67.0,66.38,62.89,9767.47,624100.86
2017-04-11,60.45,64.29,62.89,62.0,10328.04,643388.65
2017-04-12,60.51,69.89,62.0,69.67,22358.62,1482024.74
2017-04-13,66.96,77.77,69.67,73.5,25481.16,1850032.61
2017-04-14,70.1,74.79,73.5,72.72,13061.16,949971.52
2017-04-15,71.02,80.0,72.72,76.79,12127.09,933059.25
2017-04-16,75.81,78.77,76.79,77.06,5205.42,402478.12
2017-04-17,75.53,79.31,77.06,78.2,4765.39,371349.52
2017-04-18,73.11,78.9,78.2,75.66,6718.27,515460.84
2017-04-19,74.75,78.97,75.66,74.9,2707.4,209562.52
2017-04-20,74.05,76.5,74.9,75.7,3153.17,237005.36
2017-04-21,74.86,77.96,75.7,76.15,5764.83,441704.86
2017-04-22,75.51,78.0,76.15,77.3,2914.33,224793.12
2017-04-23,76.4,78.4,77.3,76.83,1763.46,135956.34
2017-04-24,76.0,78.1,76.83,77.79,3873.12,296918.39
2017-04-25,77.08,78.8,77.79,78.23,4582.46,358292.57
2017-04-26,76.42,78.6,78.23,78.32,2914.27,226045.01
2017-04-27,77.55,89.0,78.32,85.27,13373.61,1107596.23
2017-04-28,82.76,87.07,85.27,85.69,7119.4,607473.37
2017-04-29,85.69,109.27,85.69,102.46,46483.13,4654420.82
2017-04-30,95.65,105.3,102.46,98.01,11159.63,1119826.56
2017-05-01,90.01,103.5,98.01,94.82,22184.77,2142992.16
2017-05-02,90.06,96.48,94.82,92.4,16776.64,1548037.28
2017-05-03,91.01,97.8,92.4,97.57,15930.27,1499083.7
2017-05-04,92.75,101.97,97.57,97.36,23770.73,2340818.26
2017-05-05,95.5,108.2,97.36,98.38,26709.77,2768653.99
2017-05-06,97.21,103.03,98.38,100.98,6217.85,621987.13
2017-05-07,99.01,114.0,100.98,108.7,19324.41,2052338.8
2017-05-08,96.5,109.7,108.7,100.0,12867.24,1304520.1
2017-05-09,82.0,102.96,100.0,92.78,26723.31,2429797.87
2017-05-10,90.92,97.41,92.78,91.93,5169.15,483716.59
2017-05-11,90.3,95.09,91.93,92.29,5008.22,466823.9
2017-05-12,87.13,93.95,92.29,88.0,4029.47,364397.26
2017-05-13,85.4,91.21,88.0,91.16,7170.29,635068.6
2017-05-14,90.0,93.0,91.16,91.05,832.22,76134.0
2017-05-15,83.03,94.0,91.05,94.0,7900.93,695431.6
2017-05-16,86.52,94.0,94.0,87.37,2679.38,239697.59
2017-05-17,80.17,95.0,87.37,85.05,14620.56,1244718.14
2017-05-18,84.63,92.98,85.05,92.45,5987.36,542551.08
2017-05-19,90.0,102.5,92.45,98.35,16161.06,1547237.95
2017-05-20,98.35,106.0,98.35,100.64,11072.6,1141166.81
2017-05-21,97.5,102.14,100.64,100.81,5079.13,509195.07
2017-05-22,95.0,143.93,100.81,116.6,64782.32,7842875.07
2017-05-23,114.0,139.0,116.6,133.73,21463.61,2820314.57
2017-05-24,133.73,166.84,133.73,142.13,33539.42,4895259.06
2017-05-25,116.0,144.02,142.13,117.98,22800.58,2973487.86
2017-05-26,106.45,135.0,117.98,109.67,15861.28,1880340.39
2017-05-27,84.0,113.8,109.67,96.5,24940.24,2428031.47
2017-05-28,96.0,112.33,96.5,102.24,10934.04,1153854.82
2017-05-29,99.03,116.0,102.24,114.65,8462.24,924230.41
2017-05-30,112.0,124.64,114.65,118.23,13254.04,1558066.16
2017-05-31,110.02,138.43,118.23,131.15,14116.35,1794078.02
2017-06-01,125.0,144.19,131.15,131.12,13424.61,1821740.45
2017-06-02,130.01,141.97,131.12,141.93,6570.86,899703.94
2017-06-03,138.0,145.0,141.93,140.17,5264.79,743132.34
2017-06-04,136.0,142.38,140.17,142.37,3556.61,495068.68
2017-06-05,137.92,144.88,142.37,142.13,5381.92,755505.86
2017-06-06,129.0,146.6,142.13,144.69,17570.24,2461484.86
2017-06-07,133.44,152.6,144.69,137.22,14246.81,2055820.21
2017-06-08,135.22,144.99,137.22,144.05,4169.8,585568.94
2017-06-09,143.35,149.75,144.05,148.61,2938.97,430285.19
2017-06-10,141.29,151.92,148.61,146.8,5962.91,878139.77
2017-06-11,146.8,199.0,146.8,186.0,47332.97,8735084.98
2017-06-12,150.0,194.65,186.0,165.33,16319.54,2695343.9
2017-06-13,164.09,181.7,165.33,180.9,10514.98,1850199.93
2017-06-14,146.55,190.0,180.9,156.71,29171.11,4927349.23
2017-06-15,132.03,160.9,156.71,157.0,11414.85,1635687.83
2017-06-16,149.26,162.0,157.0,159.72,3309.2,521989.54
2017-06-17,153.0,185.6,159.72,178.0,13209.22,2309980.75
2017-06-18,169.0,188.0,178.0,188.0,7177.72,1294626.59
2017-06-19,185.93,198.0,188.0,195.31,12372.2,2413036.38
2017-06-20,180.0,199.0,195.31,188.53,7636.48,1469543.15
2017-06-21,169.0,193.56,188.53,178.38,4960.54,900413.75
2017-06-22,173.5,186.5,178.38,181.05,3212.64,578282.95
2017-06-23,179.73,189.78,181.05,185.0,1866.63,344700.01
2017-06-24,170.5,185.9,185.0,175.03,2428.03,433926.06
2017-06-25,159.0,176.77,175.03,165.32,7549.33,1251263.71
2017-06-26,141.15,167.45,165.32,161.16,11900.24,1802451.36
2017-06-27,142.25,172.76,161.16,172.2,10209.51,1574450.77
2017-06-28,166.62,183.03,172.2,181.17,9460.24,1678486.09
2017-06-29,166.0,181.17,181.17,173.59,6869.02,1182658.62
2017-06-30,173.02,181.19,173.59,173.82,3965.99,706591.13
2017-07-01,157.0,177.0,173.82,158.69,4467.16,744771.05
2017-07-02,157.0,170.5,158.69,169.6,3047.32,501980.14
2017-07-03,167.39,183.0,169.6,178.21,4888.06,860518.57
2017-07-04,177.02,188.06,178.21,182.33,4199.79,766302.41
2017-07-05,178.25,213.05,182.33,208.37,20003.77,4019578.07
2017-07-06,202.0,225.55,208.37,208.14,16092.36,3428546.7
2017-07-07,185.62,210.37,208.14,190.34,8847.91,1723943.82
2017-07-08,183.33,210.0,190.34,210.0,9648.96,1926031.53
