datetime,low,high,open,close,volumefrom,volumeto
2017-07-14,16.2,19.0,19.0,17.0,31.18,528.76
2017-07-15,14.5,17.0,17.0,14.7,2487.16,38706.85
2017-07-16,13.08,15.39,14.7,14.0,8753.98,122790.02
2017-07-17,13.84,15.79,14.0,14.97,9306.03,136925.43
2017-07-18,14.11,16.5,14.97,15.6,33696.6,529542.64
2017-07-19,14.0,16.0,15.6,14.08,19203.89,292453.34
2017-07-20,14.08,16.2,14.08,16.0,21710.41,340020.75
2017-07-21,15.59,17.73,16.0,16.0,29603.55,484078.01
2017-07-22,16.0,17.0,16.0,16.67,15526.25,257616.28
2017-07-23,15.58,16.93,16.67,16.02,15450.68,251120.37
2017-07-24,15.75,16.3,16.02,16.1,5142.85,82460.69
2017-07-25,13.9,16.15,16.1,14.46,16140.35,239343.01
2017-07-26,14.01,14.95,14.46,14.6,6347.86,91502.71
2017-07-27,14.24,14.71,14.6,14.37,4277.15,61913.44
2017-07-28,13.72,14.52,14.37,13.95,5454.58,77241.13
2017-07-29,13.26,14.48,13.95,14.48,9987.67,136614.22
2017-07-30,13.5,14.48,14.48,13.57,2732.57,38021.56
2017-07-31,13.3,14.0,13.57,13.72,4585.25,62706.42
2017-08-01,13.24,14.76,13.72,14.6,26684.57,376044.7
2017-08-02,14.19,15.29,14.6,14.5,14298.84,209518.6
2017-08-03,14.3,15.32,14.5,15.29,9786.82,148269.67
2017-08-04,14.72,15.29,15.29,14.91,4987.75,75001.85
2017-08-05,14.72,15.87,14.91,15.6,24676.07,378083.93
2017-08-06,15.31,16.2,15.6,15.44,18649.77,293177.69
2017-08-07,14.0,15.56,15.44,15.35,25102.47,379885.09
2017-08-08,15.11,16.04,15.35,15.95,13896.09,215695.08
2017-08-09,15.08,16.36,15.95,15.3,24434.69,382997.83
2017-08-10,15.2,15.7,15.3,15.23,11955.68,183959.02
2017-08-11,14.94,15.5,15.23,15.17,9831.8,148761.82
2017-08-12,14.41,15.31,15.17,14.66,14563.82,217657.37
2017-08-13,13.66,14.72,14.66,14.18,21832.5,309790.05
2017-08-14,13.82,14.6,14.18,14.1,13466.26,190592.64
2017-08-15,12.88,14.1,14.1,13.45,26301.77,351983.03
2017-08-16,13.1,14.4,13.45,14.08,9942.41,137480.92
2017-08-17,13.57,14.25,14.08,13.8,9452.17,131461.7
2017-08-18,13.03,14.5,13.62,13.4,28054.29,385743.39
2017-08-19,12.82,13.93,13.4,13.51,21371.82,286597.24
2017-08-20,13.3,14.27,13.51,13.78,14439.37,199967.16
2017-08-21,13.71,15.18,13.78,14.6,42465.35,610900.12
2017-08-22,13.4,15.25,14.6,14.44,43221.84,614175.4
2017-08-23,14.19,16.7,14.44,15.23,100345.63,1575758.44
2017-08-24,15.0,16.08,15.23,15.0,18258.5,281907.21
2017-08-25,14.92,15.5,15.0,15.08,21677.55,330301.86
2017-08-26,14.8,15.33,15.08,15.33,7155.89,108188.91
2017-08-27,15.15,16.4,15.33,15.95,25951.22,411230.77
2017-08-28,15.5,16.4,15.95,15.8,25263.09,400817.36
2017-08-29,15.64,16.12,15.8,15.99,17622.4,279164.31
2017-08-30,15.66,16.05,15.99,16.0,15971.13,253252.24
2017-08-31,15.91,16.86,16.0,16.7,31520.66,512081.98
2017-09-01,16.44,22.9,16.7,22.32,167633.34,3260685.01
2017-09-02,17.5,24.12,22.32,19.8,154430.7,3120185.46
2017-09-03,18.25,20.82,19.8,19.18,50270.3,987698.86
2017-09-04,15.09,19.33,19.18,16.25,79195.31,1332989.42
2017-09-05,14.99,17.49,16.25,17.09,75171.75,1221272.58
2017-09-06,17.02,19.4,17.09,19.26,74808.11,1358448.25
2017-09-07,18.0,19.26,19.26,18.51,37866.98,702432.85
2017-09-08,15.5,18.8,18.51,16.58,72318.71,1230091.35
2017-09-09,15.34,16.76,16.58,16.36,20908.48,334544.74
2017-09-10,14.21,16.36,16.36,15.25,40887.27,616520.35
2017-09-11,14.82,16.08,15.25,15.17,33286.07,515574.41
2017-09-12,14.6,16.21,15.17,15.0,48101.49,742886.34
2017-09-13,13.5,15.0,15.0,14.22,45635.52,642520.37
2017-09-14,10.1,14.5,14.22,10.1,114732.3,1379737.31
2017-09-15,8.51,12.3,10.1,11.4,284527.19,3091538.67
2017-09-16,10.5,12.4,11.4,11.2,75315.81,859990.62
2017-09-17,10.2,11.37,11.2,11.05,37547.39,409258.59
2017-09-18,11.05,12.24,11.05,12.0,138078.36,1635763.17
2017-09-19,11.3,12.24,12.0,11.6,51389.94,597362.95
2017-09-20,11.1,11.7,11.6,11.25,24820.35,283855.72
