datetime,low,high,open,close,volumefrom,volumeto
2015-02-08,1.77,1.85,1.82,1.79,8431.04,15218.74
2015-02-09,1.7,1.8,1.79,1.74,39414.77,68578.14
2015-02-10,1.67,1.81,1.74,1.78,61253.02,107064.4
2015-02-11,1.7,1.81,1.78,1.73,29979.89,52016.73
2015-02-12,1.71,1.77,1.73,1.76,15779.04,27401.91
2015-02-13,1.76,1.89,1.77,1.82,22406.1,40998.67
2015-02-14,1.83,2.0,1.83,1.98,25611.02,48889.87
2015-02-15,1.79,2.03,1.95,1.84,79961.89,154636.11
2015-02-16,1.79,1.85,1.84,1.81,16673.88,30281.73
2015-02-17,1.79,1.87,1.81,1.85,24111.91,43843.8
2015-02-18,1.79,1.89,1.85,1.81,36284.52,66790.73
2015-02-19,1.81,1.86,1.81,1.84,8289.74,15288.75
2015-02-20,1.83,1.86,1.84,1.85,8713.38,16093.47
2015-02-21,1.84,1.86,1.85,1.85,3079.36,5688.66
2015-02-22,1.78,1.87,1.85,1.79,31058.53,56132.3
2015-02-23,1.79,1.84,1.79,1.83,7933.88,14379.92
2015-02-24,1.8,1.83,1.83,1.82,4206.91,7625.94
2015-02-25,1.79,1.83,1.82,1.81,5066.32,9157.03
2015-02-26,1.8,1.83,1.81,1.8,4135.67,7484.37
2015-02-27,1.8,1.89,1.8,1.87,37349.53,69227.37
2015-02-28,1.83,1.87,1.86,1.85,6088.51,11281.01
2015-03-01,1.81,1.93,1.85,1.91,27719.14,51152.95
2015-03-02,1.89,1.96,1.92,1.95,19805.33,38093.14
2015-03-03,1.91,2.01,1.96,1.98,35768.21,70118.72
2015-03-04,1.91,1.99,1.98,1.93,45500.62,88233.26
2015-03-05,1.88,1.96,1.93,1.93,43681.02,83641.97
2015-03-06,1.88,1.94,1.93,1.91,30478.19,57929.05
2015-03-07,1.89,1.95,1.91,1.91,10831.65,20833.21
2015-03-08,1.87,1.92,1.91,1.89,36248.61,68973.44
2015-03-09,1.89,1.97,1.89,1.96,36555.28,70650.73
2015-03-10,1.95,2.14,1.96,2.01,114963.47,235727.89
2015-03-11,2.0,2.03,2.01,2.03,10476.21,21109.96
2015-03-12,1.98,2.08,2.03,2.06,25162.8,51068.41
2015-03-13,2.0,2.06,2.06,2.0,22266.1,45122.66
2015-03-14,1.97,2.03,2.0,1.99,20156.22,40242.53
2015-03-15,1.98,2.03,1.99,2.03,5096.06,10277.38
2015-03-16,2.01,2.07,2.03,2.02,21375.15,43582.22
2015-03-17,1.97,2.04,2.02,1.98,33921.3,67970.22
2015-03-18,1.72,1.99,1.98,1.76,87258.59,161376.82
2015-03-19,1.6,1.82,1.76,1.78,42676.35,73585.55
2015-03-20,1.76,1.8,1.78,1.79,4537.79,8084.97
2015-03-21,1.72,1.79,1.79,1.75,6843.4,11964.23
2015-03-22,1.74,1.81,1.75,1.8,9469.63,16857.67
2015-03-23,1.75,1.82,1.8,1.78,12276.51,21908.88
2015-03-24,1.63,1.81,1.78,1.68,20943.43,35805.12
2015-03-25,1.61,1.82,1.68,1.7,24960.44,42522.19
2015-03-26,1.67,1.73,1.7,1.7,8044.12,13735.83
2015-03-27,1.68,1.71,1.7,1.68,9867.6,16684.49
2015-03-28,1.68,1.73,1.68,1.72,2339.87,3991.88
2015-03-29,1.63,1.72,1.72,1.65,12853.32,21344.37
2015-03-30,1.61,1.69,1.65,1.69,8111.5,13478.23
2015-03-31,1.63,1.69,1.69,1.64,4460.64,7349.65
2015-04-01,1.63,1.68,1.64,1.67,9062.01,15121.68
2015-04-02,1.65,1.72,1.67,1.68,14490.73,24474.14
2015-04-03,1.68,1.73,1.68,1.7,19903.62,33898.95
2015-04-04,1.68,1.7,1.7,1.69,4381.22,7403.95
2015-04-05,1.68,1.72,1.69,1.7,6144.97,10432.79
2015-04-06,1.66,1.72,1.7,1.66,16144.14,27001.77
2015-04-07,1.64,1.7,1.66,1.68,14169.1,23553.51
2015-04-08,1.61,1.68,1.68,1.62,25806.28,42410.02
2015-04-09,0.9849,1.63,1.62,1.58,93546.76,141493.56
2015-04-10,1.5,1.6,1.58,1.51,25631.77,39792.13
2015-04-11,1.43,1.55,1.51,1.46,26731.3,39473.55
2015-04-12,1.45,1.49,1.46,1.47,3001.23,4408.19
