datetime,low,high,open,close,volumefrom,volumeto
2017-07-15,37.19,42.04,42.04,38.5,2967.23,117176.14
2017-07-16,35.1,42.62,38.5,39.64,15701.8,613754.01
2017-07-17,38.75,48.31,39.64,42.15,20224.98,851557.77
2017-07-18,40.4,47.0,42.15,43.0,18946.65,823025.95
2017-07-19,38.84,44.11,43.0,39.0,11269.2,469563.63
2017-07-20,39.0,46.55,39.0,44.32,17957.48,789055.0
2017-07-21,43.88,48.06,44.32,45.96,11882.57,543192.34
2017-07-22,44.6,47.7,45.96,47.0,7101.14,328702.47
2017-07-23,43.7,47.49,47.0,44.95,10211.18,464323.91
2017-07-24,43.81,45.76,44.95,45.0,4438.24,199657.52
2017-07-25,39.68,45.7,45.0,42.1,14543.48,607871.83
2017-07-26,40.08,43.0,42.1,41.8,6728.3,279091.35
2017-07-27,40.63,42.5,41.8,41.57,5837.07,243593.26
2017-07-28,39.84,42.3,41.57,40.23,10303.45,421350.03
2017-07-29,38.33,41.7,40.23,41.35,8960.05,354748.52
2017-07-30,39.51,42.12,41.35,40.27,5954.26,242751.88
2017-07-31,38.2,43.41,40.27,42.41,16220.59,668164.08
2017-08-01,39.6,44.4,42.41,43.22,33774.44,1427702.4
2017-08-02,41.2,43.3,43.22,42.02,16281.95,688900.04
2017-08-03,41.2,43.2,42.02,42.47,8557.43,362132.07
2017-08-04,42.11,43.5,42.47,43.2,8940.22,383334.91
2017-08-05,42.9,47.1,43.2,46.0,27317.85,1243773.9
2017-08-06,44.9,46.8,46.0,45.5,9119.52,417509.08
2017-08-07,45.0,46.88,45.5,45.66,12701.52,580875.81
2017-08-08,45.38,49.9,45.66,49.17,18661.13,874568.1
2017-08-09,46.5,50.0,49.17,47.5,18062.42,874784.89
2017-08-10,46.75,48.5,47.5,46.75,8876.68,423672.77
2017-08-11,46.1,47.76,46.75,46.5,11966.21,560189.38
2017-08-12,45.75,47.98,46.5,45.9,10466.79,488278.45
2017-08-13,43.6,47.27,45.9,45.2,17268.17,788330.52
2017-08-14,44.55,46.21,45.2,45.49,7106.02,322975.77
2017-08-15,40.1,45.49,45.49,43.1,19316.56,820095.66
2017-08-16,41.8,45.0,43.1,43.83,12134.53,527201.44
2017-08-17,43.0,44.8,43.83,43.5,8856.76,388772.56
2017-08-18,42.54,48.0,43.6,46.5,31686.93,1444134.8
2017-08-19,42.12,46.5,46.5,45.0,16624.77,739558.09
2017-08-20,43.82,47.49,45.0,45.4,18230.04,833000.3
2017-08-21,45.1,49.0,45.4,47.51,22327.21,1047905.17
2017-08-22,44.29,48.0,47.51,46.47,25733.14,1177758.28
2017-08-23,45.85,66.5,46.47,55.1,70602.5,3822511.42
2017-08-24,49.3,55.4,55.1,49.31,42518.91,2195436.59
2017-08-25,49.1,52.3,49.31,51.1,20314.34,1030938.29
2017-08-26,50.0,52.28,51.1,51.7,13082.33,666329.09
2017-08-27,51.21,64.49,51.7,60.9,57876.26,3405740.73
2017-08-28,58.3,64.99,60.9,61.6,27805.92,1717466.61
2017-08-29,60.77,64.12,61.6,63.7,17009.85,1060529.46
2017-08-30,61.5,65.99,63.7,65.8,13134.73,827542.24
2017-08-31,64.69,74.46,65.8,72.54,29972.6,2067006.71
2017-09-01,70.93,89.89,72.54,87.15,68720.99,5584756.52
2017-09-02,69.9,93.89,87.15,78.2,94091.59,7320073.38
2017-09-03,73.0,84.0,78.2,79.5,42829.53,3375927.93
2017-09-04,59.77,79.5,79.5,66.4,80955.89,5519372.3
2017-09-05,60.39,74.24,66.4,72.89,68841.3,4662251.32
2017-09-06,72.53,82.09,72.89,81.66,52208.29,4029775.09
2017-09-07,76.19,83.2,81.66,80.02,31940.2,2543356.1
2017-09-08,63.01,82.01,80.02,73.44,80810.94,5864464.38
2017-09-09,68.65,73.5,73.44,70.99,29162.72,2068178.46
2017-09-10,62.25,71.11,70.99,67.15,55004.49,3637782.69
2017-09-11,65.33,71.64,67.15,68.2,32854.68,2248140.76
2017-09-12,63.8,72.08,68.2,65.67,44989.42,3078134.05
