datetime,low,high,open,close,volumefrom,volumeto
2016-08-23,3.87,3.95,3.95,3.95,443.86,1737.31
2016-08-24,3.61,3.96,3.95,3.84,5083.21,19247.53
2016-08-25,3.75,3.88,3.84,3.81,5085.64,19276.6
2016-08-26,3.77,3.9,3.81,3.81,3336.89,12746.27
2016-08-27,3.62,3.85,3.81,3.78,1140.72,4295.72
2016-08-28,3.62,3.78,3.78,3.72,1904.98,7111.87
2016-08-29,3.7,3.84,3.72,3.77,853.75,3258.39
2016-08-30,3.74,3.85,3.77,3.81,368.34,1397.08
2016-08-31,3.74,3.85,3.81,3.74,379.74,1439.1
2016-09-01,3.26,3.9,3.74,3.66,3598.05,13490.56
2016-09-02,3.65,4.35,3.66,3.84,2749.11,10778.59
2016-09-03,3.8,3.99,3.84,3.88,1738.77,6696.08
2016-09-04,3.85,4.08,3.88,4.02,1144.97,4580.38
2016-09-05,3.94,4.07,4.02,3.96,450.33,1799.26
2016-09-06,3.91,3.98,3.96,3.95,643.6,2540.44
2016-09-07,3.91,4.03,3.95,3.96,502.14,1982.58
2016-09-08,3.95,4.03,3.96,4.01,81.54,325.43
2016-09-09,3.94,4.02,4.01,3.96,395.91,1579.08
2016-09-10,3.95,4.0,3.96,3.96,18.85,74.81
2016-09-11,3.86,4.04,3.96,3.9,1163.77,4644.94
2016-09-12,3.77,3.96,3.9,3.88,838.62,3224.07
2016-09-13,3.8,3.88,3.88,3.81,335.71,1282.62
2016-09-14,3.8,3.85,3.81,3.85,49.11,187.28
2016-09-15,3.81,3.95,3.85,3.81,608.84,2348.95
2016-09-16,3.8,3.89,3.81,3.81,326.63,1247.18
2016-09-17,3.81,3.88,3.81,3.82,212.16,814.6
2016-09-18,3.81,3.87,3.82,3.87,1268.13,4881.58
2016-09-19,3.8,3.93,3.87,3.86,441.01,1686.32
2016-09-20,3.76,4.0,3.86,4.0,2595.89,10062.6
2016-09-21,3.61,6.72,4.0,3.82,2318.93,8902.36
2016-09-22,3.76,5.05,3.76,3.79,2472.29,10771.79
2016-09-23,3.77,4.2,3.79,3.83,718.33,2727.28
2016-09-24,3.83,4.06,3.83,3.87,281.43,1083.22
2016-09-25,3.8,3.87,3.87,3.8,243.91,930.18
2016-09-26,3.79,4.0,3.8,3.92,822.0,3234.18
2016-09-27,3.79,3.92,3.92,3.83,979.07,3726.8
2016-09-28,3.79,3.9,3.83,3.81,322.92,1235.95
