datetime,low,high,open,close,volumefrom,volumeto
2017-08-05,10.21,15.8,10.5,14.12,168950.5,2186470.2
2017-08-06,13.3,17.25,14.12,15.97,155160.32,2403418.91
2017-08-07,14.5,19.93,15.97,19.49,136583.08,2449452.3
2017-08-08,15.68,20.29,19.49,18.25,297417.85,5301733.74
2017-08-09,17.26,23.0,18.25,22.6,194604.31,3893240.54
2017-08-10,21.51,41.72,22.6,37.6,411705.56,11938617.56
2017-08-11,27.75,40.99,37.6,34.1,400402.94,13753812.6
2017-08-12,30.7,38.56,34.1,37.72,147641.76,5032787.23
2017-08-13,35.31,56.69,37.72,48.5,319266.1,14940876.2
2017-08-14,45.4,54.8,48.5,48.32,229238.01,11360692.68
2017-08-15,36.54,49.5,48.32,47.5,305212.47,13148486.65
2017-08-16,44.62,52.3,47.5,45.99,176993.03,8404156.03
2017-08-17,38.63,46.73,45.99,40.39,265060.49,11120395.4
2017-08-18,30.54,41.76,39.8,38.88,330567.03,12134069.37
2017-08-19,34.07,42.0,38.88,39.82,183851.17,7041751.7
2017-08-20,37.99,41.2,39.82,38.5,84898.79,3365751.42
2017-08-21,34.0,38.69,38.5,35.46,105119.51,3767006.25
2017-08-22,31.5,36.36,35.46,35.6,121291.0,4161602.94
2017-08-23,35.11,44.39,35.6,39.88,172723.37,7022610.03
2017-08-24,39.36,42.28,39.88,41.9,54885.27,2250393.43
2017-08-25,39.29,42.6,41.9,40.31,61757.86,2526015.71
2017-08-26,37.0,40.87,40.31,38.82,40448.45,1573847.72
2017-08-27,37.0,41.13,38.82,40.0,46432.2,1784299.42
2017-08-28,37.0,40.35,40.0,38.5,40447.27,1541594.85
2017-08-29,28.1,38.71,38.5,33.3,229022.81,7799956.28
2017-08-30,30.0,36.02,33.3,33.33,116685.48,3862150.05
2017-08-31,32.7,35.3,33.33,33.06,52246.23,1763230.43
2017-09-01,28.7,33.85,33.06,31.8,143403.81,4499350.79
2017-09-02,27.29,34.09,31.8,31.35,175363.35,5404733.67
2017-09-03,28.45,32.88,31.35,30.81,86905.27,2651896.2
2017-09-04,16.5,30.81,30.81,21.81,769665.06,16260276.34
2017-09-05,18.5,24.5,21.81,23.4,375281.02,8231727.66
2017-09-06,20.1,24.67,23.4,21.3,272290.72,5980766.29
2017-09-07,20.21,34.0,21.3,30.98,593991.65,16789157.85
2017-09-08,22.0,31.3,30.98,26.0,450223.63,11549572.48
2017-09-09,22.32,26.0,26.0,22.6,154183.63,3686938.91
2017-09-10,19.6,24.87,22.6,23.6,265153.39,5886012.56
2017-09-11,21.4,24.8,23.6,21.9,159302.37,3634008.59
2017-09-12,19.2,24.0,21.9,20.8,265282.52,5694604.2
2017-09-13,17.57,21.4,20.8,20.0,353760.95,6725933.94
2017-09-14,14.75,20.9,20.0,15.66,642693.66,10908717.46
2017-09-15,13.06,19.33,15.66,18.77,887452.52,14847717.33
2017-09-16,18.23,23.29,18.77,20.7,559683.81,11393979.6
2017-09-17,18.15,20.7,20.7,19.79,251934.75,4878300.47
2017-09-18,19.42,21.45,19.79,21.0,289418.93,5955170.91
2017-09-19,18.88,21.84,21.0,20.0,267621.27,5464958.53
2017-09-20,19.5,20.5,20.0,19.7,104517.28,2090378.32
2017-09-21,16.55,19.94,19.7,17.18,284555.19,5078923.96
2017-09-22,16.95,19.4,17.18,18.57,213263.82,3845120.46
2017-09-23,18.25,20.65,18.57,20.08,117611.82,2320304.88
2017-09-24,19.14,20.47,20.08,19.72,64249.28,1264878.5
2017-09-25,19.62,27.5,19.72,25.99,483912.98,11567382.68
2017-09-26,24.2,27.45,25.99,26.37,276344.83,7195048.65
2017-09-27,26.36,34.4,26.37,31.73,549285.48,17002355.53
2017-09-28,27.55,32.8,31.73,29.94,412552.86,12230422.8
2017-09-29,25.73,30.46,29.94,28.66,452777.67,12636503.26
2017-09-30,28.32,34.5,28.66,34.38,290858.74,9274792.57
2017-10-01,31.8,35.9,34.38,35.88,235956.79,7901948.49
2017-10-02,34.76,38.99,35.88,36.7,347364.6,12667286.29
2017-10-03,31.5,36.7,36.7,33.6,322503.57,10851321.89
2017-10-04,30.1,35.5,33.6,31.2,233752.72,7646157.52
2017-10-05,28.81,33.5,31.2,32.49,245128.81,7738338.26
2017-10-06,32.0,34.7,32.49,33.58,146116.41,4893156.94
2017-10-07,33.25,36.2,33.58,35.82,95901.81,3304061.27
2017-10-08,31.04,37.33,35.82,32.2,285034.38,9796747.51
2017-10-09,26.7,33.0,32.2,29.11,312464.59,9342739.82
2017-10-10,28.0,31.2,29.11,29.28,119429.26,3548338.6
2017-10-11,29.28,31.2,29.28,30.1,59431.96,1799944.19
2017-10-12,27.7,30.45,30.1,28.1,169650.55,4918249.11
2017-10-13,26.71,29.8,28.1,29.4,239938.87,6731510.63
2017-10-14,27.45,29.49,29.4,27.69,74105.51,2107039.92
2017-10-15,27.0,28.34,27.69,27.8,64536.63,1773689.78
2017-10-16,27.14,28.98,27.79,28.45,65753.24,1840512.35
2017-10-17,27.76,32.75,28.45,31.24,193344.98,5863759.05
2017-10-18,28.0,31.71,31.24,29.76,125556.72,3692480.44
2017-10-19,28.57,29.9,29.76,28.93,47440.39,1371951.06
2017-10-20,27.76,29.56,28.93,27.82,89151.33,2545736.72
2017-10-21,25.96,28.3,27.82,27.14,82420.3,2227737.33
2017-10-22,27.0,29.52,27.14,28.69,56699.22,1617691.79
2017-10-23,26.52,28.74,28.69,27.75,66241.07,1807693.72
2017-10-24,26.89,32.56,27.75,29.86,209696.57,6382164.16
2017-10-25,28.45,30.13,29.86,28.56,71252.27,2072568.92
2017-10-26,28.0,29.19,28.56,28.42,75765.21,2156320.65
2017-10-27,28.26,29.24,28.42,28.88,64757.2,1858214.64
2017-10-28,27.25,28.95,28.88,27.38,62448.24,1758028.0
2017-10-29,27.2,28.5,27.38,27.72,61983.41,1734507.96
2017-10-30,27.72,29.44,27.72,28.8,72451.88,2084832.82
2017-10-31,28.5,31.84,28.8,28.5,150738.46,4468864.11
2017-11-01,26.75,28.6,28.5,26.8,153097.36,4197181.74
2017-11-02,22.68,26.95,26.8,24.57,247648.08,6139290.19
2017-11-03,24.3,26.8,24.57,26.7,96054.02,2481123.33
2017-11-04,25.85,27.62,26.7,26.4,66980.48,1791761.15
2017-11-05,25.7,26.7,26.4,26.4,42957.77,1122237.72
2017-11-06,25.89,26.8,26.4,26.18,41249.55,1085553.76
2017-11-07,25.3,26.49,26.18,26.26,42459.5,1101122.48
2017-11-08,25.96,33.93,26.26,30.43,398499.73,12090389.0
2017-11-09,30.2,33.0,30.43,31.76,152565.55,4841402.06
2017-11-10,26.4,32.31,31.76,28.05,245809.14,7152161.22
2017-11-11,27.05,29.89,28.05,28.25,166369.13,4720683.64
2017-11-12,25.0,28.48,28.25,26.79,329955.72,8860055.06
2017-11-13,26.51,28.75,26.79,28.12,144662.63,4031887.05
2017-11-14,28.0,29.93,28.12,29.7,97528.27,2816849.37
2017-11-15,28.2,30.38,29.7,29.29,96492.06,2833653.47
2017-11-16,28.3,29.86,29.29,28.8,86703.5,2504337.76
2017-11-17,28.3,41.71,28.8,40.35,654251.45,22865982.1
2017-11-18,35.9,48.2,40.35,42.89,894679.63,37937916.85
2017-11-19,36.81,45.49,42.89,39.98,595719.52,24011684.95
2017-11-20,35.43,43.7,39.98,35.6,578043.2,22946296.8
