datetime,low,high,open,close,volumefrom,volumeto
2016-11-30,7.0,9.55,7.56,9.0,1037.68,8919.45
2016-12-01,8.36,9.11,9.0,8.6,3462.0,29848.85
2016-12-02,7.91,8.45,8.45,8.15,3288.18,26871.0
2016-12-03,8.08,8.46,8.15,8.1,861.74,7061.83
2016-12-04,7.88,8.4,8.2,7.99,1387.38,11276.71
2016-12-05,7.61,8.07,7.99,7.78,582.16,4537.02
2016-12-06,7.0,7.89,7.78,7.32,2101.99,15358.29
2016-12-07,7.26,7.9,7.42,7.89,392.68,2939.19
2016-12-08,7.69,8.01,7.89,7.79,269.11,2106.28
2016-12-09,7.79,8.01,7.79,7.96,14.96,117.01
2016-12-10,7.65,7.98,7.97,7.71,217.1,1703.11
2016-12-11,7.72,8.05,7.77,7.9,436.78,3450.06
2016-12-12,7.83,7.99,7.9,7.97,922.48,7253.94
2016-12-13,7.93,8.17,7.97,8.17,281.96,2273.04
2016-12-14,8.12,8.55,8.3,8.45,2068.76,17283.36
2016-12-15,8.27,8.49,8.35,8.46,3255.85,27289.54
2016-12-16,8.38,8.51,8.46,8.51,733.56,6189.1
2016-12-17,8.25,8.47,8.47,8.26,1510.88,12624.72
2016-12-18,8.4,8.85,8.42,8.73,790.85,6840.52
2016-12-19,8.39,8.72,8.51,8.72,326.21,2770.8
2016-12-20,8.36,8.73,8.73,8.39,2195.08,18606.41
2016-12-21,8.2,8.63,8.36,8.36,1980.07,16555.14
2016-12-22,8.27,9.47,8.36,8.92,1886.5,16634.49
2016-12-23,8.89,9.7,8.91,9.41,2308.25,21698.04
2016-12-24,9.41,9.7,9.41,9.66,414.28,3994.77
2016-12-25,9.28,9.95,9.62,9.7,3432.32,33230.56
2016-12-26,9.8,10.4,9.84,10.25,3080.58,30877.43
2016-12-27,10.15,13.0,10.3,12.62,5892.03,69039.33
2016-12-28,12.05,14.75,12.5,14.37,3972.2,54617.65
2016-12-29,12.29,14.37,14.37,13.1,1477.13,19735.49
