datetime,low,high,open,close,volumefrom,volumeto
2017-07-21,38.51,41.84,41.79,41.79,837.24,34824.98
2017-07-22,40.44,45.0,41.79,45.0,337.73,14389.63
2017-07-23,40.77,45.0,45.0,43.77,1036.91,45327.82
2017-07-24,41.05,45.9,43.77,45.9,195.05,8695.63
2017-07-25,38.0,45.9,45.9,40.76,2959.81,120008.8
2017-07-26,38.27,46.74,40.76,45.5,2300.61,100779.1
2017-07-27,43.45,46.35,45.5,45.54,1876.05,84486.11
2017-07-28,42.5,45.54,45.54,42.5,1473.93,64434.85
2017-07-29,42.5,44.55,42.5,44.47,671.88,29061.56
2017-07-30,39.55,44.47,44.47,39.8,956.31,39334.26
2017-07-31,38.88,41.47,39.8,39.54,2043.34,81638.3
2017-08-01,39.51,45.32,39.54,44.3,3397.18,143096.16
2017-08-02,42.0,44.98,44.3,44.11,1606.51,70074.12
2017-08-03,42.01,44.78,44.11,43.43,297.06,12999.61
2017-08-04,42.67,45.14,43.43,45.14,745.89,33269.7
2017-08-05,44.96,50.1,45.14,48.87,2960.56,141554.95
2017-08-06,47.31,49.67,48.87,48.04,936.13,45317.1
2017-08-07,47.25,50.84,48.04,50.5,963.35,46856.15
2017-08-08,49.5,52.92,50.5,51.5,2874.43,148017.83
2017-08-09,49.0,53.25,51.5,50.13,1750.61,91326.92
2017-08-10,49.5,51.35,50.13,49.5,1605.39,80392.09
2017-08-11,49.0,51.1,49.5,50.87,1380.53,69532.36
2017-08-12,45.7,51.39,50.87,49.63,3516.42,168851.74
2017-08-13,45.2,50.25,49.63,47.44,2745.08,130755.99
2017-08-14,46.5,49.74,47.44,49.74,2390.02,115596.29
2017-08-15,44.73,50.47,49.74,49.0,2284.86,106136.62
2017-08-16,47.17,49.3,49.0,49.0,1710.71,82608.07
2017-08-17,47.02,49.71,49.0,47.75,1622.46,78877.74
2017-08-18,45.47,48.96,47.3,47.22,943.76,44519.77
2017-08-19,46.65,58.42,47.22,55.7,4506.22,243971.07
2017-08-20,52.0,56.83,55.7,54.84,1957.66,106954.33
2017-08-21,52.5,129.0,54.84,78.5,26235.58,2220261.81
2017-08-22,71.93,95.99,78.5,91.0,27799.58,2357195.81
2017-08-23,85.5,100.2,91.0,89.95,17122.64,1586898.21
2017-08-24,78.1,94.0,89.95,85.0,24402.6,2089148.11
2017-08-25,85.0,109.0,85.0,108.0,21417.33,2096724.83
2017-08-26,104.23,151.0,108.0,138.92,28403.02,3735262.96
2017-08-27,123.83,139.37,138.92,130.98,8229.54,1083166.86
2017-08-28,128.25,164.0,130.98,150.84,16157.4,2330713.31
2017-08-29,127.51,150.84,150.84,132.89,7813.75,1061076.12
2017-08-30,121.61,138.0,132.89,133.25,4781.47,614387.46
2017-08-31,132.0,143.56,133.25,141.19,3236.53,450236.49
2017-09-01,136.0,152.92,141.19,141.65,6977.36,1011173.32
2017-09-02,115.0,143.52,141.65,123.46,12321.95,1594624.4
2017-09-03,110.0,130.0,123.46,125.05,5005.9,614577.99
2017-09-04,97.54,125.47,125.05,104.1,9698.38,1047236.9
2017-09-05,92.23,122.4,104.1,118.46,15865.84,1657780.41
2017-09-06,113.0,124.3,118.46,123.59,4766.92,573782.52
2017-09-07,115.65,125.0,123.59,122.5,5142.09,620020.88
2017-09-08,103.0,135.06,122.5,118.29,13163.31,1583935.96
2017-09-09,112.0,119.0,118.29,115.03,2726.0,314477.36
2017-09-10,100.65,116.99,115.03,112.39,4550.4,498089.5
2017-09-11,109.5,115.77,112.39,112.0,2190.05,245723.39
2017-09-12,107.56,116.0,112.0,110.35,4496.51,510080.43
2017-09-13,98.8,113.49,110.35,110.72,11636.47,1234594.1
2017-09-14,85.0,119.5,110.72,85.0,23464.45,2330935.45
2017-09-15,71.57,105.0,85.0,99.0,24315.58,2170882.28
2017-09-16,91.89,105.0,99.0,96.75,6415.93,632843.33
