datetime,low,high,open,close,volumefrom,volumeto
2016-10-29,1411.0,20000.0,20000.0,3106.0,0.2026,933.64
2016-10-30,518.2,3591.3,3106.0,629.8,2.87,3259.67
2016-10-31,470.41,2616.5,629.8,1658.7,22.76,19299.05
2016-11-01,853.0,2498.0,1658.7,1555.0,15.07,22984.01
2016-11-02,928.3,1700.0,1555.0,970.8,23.28,25138.71
2016-11-03,914.57,1219.0,970.8,993.4,11.87,11251.42
2016-11-04,620.0,886.21,879.0,620.0,4.68,3458.8
2016-11-05,500.1,650.0,608.0,502.5,15.55,8728.01
2016-11-06,351.8,502.5,502.5,354.12,23.44,10271.26
2016-11-07,250.0,395.09,354.12,250.0,11.17,3215.03
2016-11-08,170.1,298.66,250.0,233.2,11.69,2344.96
2016-11-09,226.1,349.0,233.2,266.9,23.73,6752.42
2016-11-10,221.1,349.9,266.9,222.2,10.03,2455.56
2016-11-11,190.1,232.67,222.2,191.11,12.07,2534.39
2016-11-12,147.15,191.11,191.11,147.15,14.62,2454.72
2016-11-13,117.6,164.89,147.15,120.3,30.94,4262.72
2016-11-14,100.01,144.0,120.3,106.5,47.31,5270.56
2016-11-15,100.0,132.59,101.11,119.89,27.48,3175.46
2016-11-16,95.46,128.75,119.89,95.46,27.22,2963.65
2016-11-17,85.34,104.76,100.01,85.34,20.36,1910.67
2016-11-18,67.4,85.34,85.34,67.4,13.78,1074.44
2016-11-19,63.11,74.5,67.4,66.0,30.83,2099.94
2016-11-20,60.45,65.5,64.5,60.5,12.11,781.83
2016-11-21,53.29,60.79,60.45,53.29,15.03,864.54
2016-11-22,50.2,72.89,53.17,55.8,80.85,4861.14
2016-11-23,56.53,91.58,56.53,80.8,80.64,6097.39
2016-11-24,68.3,107.0,77.9,94.3,389.39,34232.73
2016-11-25,83.52,107.7,94.3,90.0,158.36,15815.71
2016-11-26,75.11,100.0,90.0,77.65,87.51,7321.95
2016-11-27,66.0,81.42,77.65,70.2,159.49,11898.04
2016-11-28,65.11,76.29,70.2,73.0,61.32,4396.31
2016-11-29,67.11,78.06,70.89,67.39,154.37,11084.52
2016-11-30,65.38,72.28,67.39,67.0,82.29,5540.16
2016-12-01,60.31,68.2,67.1,62.06,157.16,10131.49
2016-12-02,58.92,65.0,62.56,59.31,601.39,36673.0
2016-12-03,57.84,60.2,59.31,58.87,182.7,10769.09
2016-12-04,56.95,61.9,58.87,57.2,632.08,36942.83
2016-12-05,53.76,59.1,57.2,53.76,937.21,51755.16
2016-12-06,46.2,59.89,53.76,47.88,866.11,43870.17
2016-12-07,46.84,61.88,48.79,53.7,220.63,12188.1
2016-12-08,52.2,57.31,53.7,52.84,86.58,4724.63
2016-12-09,48.5,52.84,52.84,50.76,28.56,1454.12
2016-12-10,47.23,50.28,49.49,47.8,14.58,711.52
2016-12-11,47.8,50.14,47.8,47.91,5.18,253.57
2016-12-12,47.89,50.0,47.89,48.18,34.89,1726.66
2016-12-13,46.11,49.96,48.18,46.55,70.46,3356.93
2016-12-14,42.17,46.76,46.25,43.84,91.62,4123.41
2016-12-15,39.12,44.35,42.93,39.55,25.08,1044.4
2016-12-16,39.41,41.61,39.91,39.92,5.01,200.71
2016-12-17,35.41,40.15,39.94,35.61,23.66,885.58
2016-12-18,34.6,40.0,35.61,36.35,11.95,431.93
2016-12-19,33.52,37.21,36.35,34.05,86.43,3030.54
2016-12-20,34.07,40.0,34.07,36.98,240.24,8927.45
2016-12-21,35.11,39.15,36.67,35.96,65.92,2401.49
2016-12-22,35.7,47.89,35.7,47.77,484.42,20799.06
2016-12-23,44.7,63.2,47.77,51.86,324.25,17847.4
2016-12-24,46.7,54.0,48.65,47.02,77.18,3780.45
2016-12-25,42.7,48.32,47.02,45.38,37.14,1672.93
2016-12-26,41.22,46.69,45.38,42.57,27.99,1219.73
2016-12-27,41.4,47.51,42.3,43.4,46.55,2063.22
2016-12-28,43.12,54.6,43.4,47.93,214.87,10775.15
2016-12-29,47.93,52.8,47.93,51.19,118.56,5983.33
2016-12-30,49.5,51.73,51.19,50.4,92.52,4699.53
2016-12-31,47.6,60.0,50.0,47.6,67.48,3411.07
2017-01-01,47.56,50.7,47.69,48.31,66.23,3219.06
2017-01-02,47.82,51.0,48.31,49.26,186.83,9191.3
2017-01-03,47.7,51.6,49.26,49.16,83.96,4212.14
2017-01-04,48.88,54.8,49.0,54.0,139.7,7319.12
2017-01-05,44.81,56.51,54.14,48.93,253.48,13169.32
2017-01-06,44.9,50.89,48.93,45.9,122.5,5771.81
2017-01-07,43.6,47.4,45.9,46.6,73.61,3337.57
2017-01-08,45.65,48.32,46.6,46.2,102.4,4763.9
2017-01-09,46.01,47.08,46.2,46.01,248.91,11505.08
2017-01-10,44.91,46.3,46.01,45.35,189.27,8660.18
2017-01-11,40.0,46.29,45.25,40.12,281.56,11844.33
2017-01-12,39.3,45.89,39.59,42.89,94.29,4157.07
2017-01-13,42.0,44.5,42.89,42.93,49.03,2136.83
2017-01-14,42.54,44.39,42.93,43.23,195.98,8611.6
2017-01-15,42.95,45.19,43.37,44.81,44.98,1971.04
2017-01-16,43.23,46.36,44.41,43.81,40.76,1807.43
2017-01-17,43.35,45.41,43.81,44.11,73.89,3280.72
2017-01-18,41.94,44.4,44.21,43.22,371.59,16218.92
2017-01-19,42.94,44.26,43.22,44.09,54.36,2374.63
2017-01-20,43.03,44.06,44.05,43.07,8.13,352.41
2017-01-21,43.06,44.7,43.07,43.4,107.76,4709.91
2017-01-22,42.84,44.68,43.4,43.23,78.36,3429.75
2017-01-23,42.67,43.96,43.49,43.09,26.75,1157.99
2017-01-24,41.03,43.33,42.5,41.43,68.16,2852.76
2017-01-25,39.53,41.9,41.43,39.53,276.35,11304.33
2017-01-26,36.91,41.46,39.53,36.91,148.15,5770.73
2017-01-27,37.8,40.0,39.19,38.01,252.42,9739.53
2017-01-28,38.01,38.94,38.01,38.06,141.63,5443.53
2017-01-29,38.06,41.07,38.06,38.23,110.05,4342.83
2017-01-30,38.2,40.3,38.2,40.18,89.27,3479.91
2017-01-31,38.85,40.5,40.18,39.3,256.09,10130.06
2017-02-01,39.0,40.0,39.3,39.5,186.51,7385.08
2017-02-02,38.86,39.91,39.91,39.0,26.79,1053.91
2017-02-03,37.25,39.09,38.86,38.21,297.52,11367.75
2017-02-04,37.84,39.05,38.58,38.64,162.22,6215.86
2017-02-05,37.25,39.15,39.15,37.26,327.8,12559.07
2017-02-06,36.73,38.5,37.76,37.0,371.93,13802.86
2017-02-07,34.95,37.29,37.19,36.01,476.07,16886.84
2017-02-08,34.13,36.53,36.01,35.11,320.87,11204.36
2017-02-09,32.0,38.0,35.11,32.75,1331.23,44761.24
2017-02-10,32.0,33.2,32.75,32.44,210.48,6771.94
2017-02-11,32.12,33.38,32.45,32.7,43.0,1413.21
2017-02-12,31.5,32.6,32.47,31.5,867.69,27796.51
2017-02-13,30.4,34.08,31.38,30.4,985.35,30156.35
2017-02-14,30.4,32.88,30.4,32.88,577.97,18126.64
2017-02-15,31.29,35.1,32.43,33.9,490.36,16237.69
2017-02-16,32.75,34.56,33.9,32.75,506.08,17018.84
2017-02-17,31.6,33.16,32.75,32.05,228.12,7390.71
2017-02-18,30.76,32.37,32.05,30.76,811.32,25437.65
2017-02-19,30.5,31.46,30.76,30.51,294.36,9057.4
2017-02-20,30.4,31.99,30.51,31.33,332.62,10216.87
2017-02-21,30.01,31.33,31.33,30.01,444.22,13464.08
2017-02-22,27.01,30.23,30.01,27.11,605.2,17336.12
2017-02-23,26.3,33.89,27.11,30.28,2029.37,58643.23
2017-02-24,28.01,32.4,30.28,30.02,972.99,29751.12
2017-02-25,28.47,31.0,30.02,29.0,294.45,8723.89
2017-02-26,28.6,30.37,29.0,29.54,127.1,3769.7
2017-02-27,29.54,38.0,29.54,36.6,3264.56,113309.51
