datetime,low,high,open,close,volumefrom,volumeto
2017-07-15,122.0,184.0,166.0,160.1,43.25,7336.11
2017-07-16,140.34,164.1,160.1,164.1,122.31,18804.92
2017-07-17,159.46,186.0,164.1,174.2,102.83,17959.84
2017-07-18,168.6,226.52,174.2,200.8,472.11,93549.37
2017-07-19,176.5,218.0,200.8,176.5,394.98,78452.67
2017-07-20,176.5,220.0,176.5,208.05,703.55,145809.79
2017-07-21,200.24,216.4,208.05,205.0,190.53,40089.78
2017-07-22,202.0,220.0,205.0,215.0,332.44,71342.11
2017-07-23,209.0,226.8,215.0,211.5,445.95,96532.74
2017-07-24,208.0,214.18,211.5,211.0,172.06,36244.15
2017-07-25,176.77,211.99,211.0,187.0,705.03,132204.44
2017-07-26,175.12,193.0,187.0,186.95,673.06,124794.74
2017-07-27,182.51,193.0,186.95,183.01,218.17,40999.73
2017-07-28,171.1,192.0,183.01,173.95,552.76,100854.31
2017-07-29,164.02,187.0,173.95,185.96,392.3,68267.12
2017-07-30,174.0,185.96,185.96,174.1,98.17,17519.34
2017-07-31,168.0,175.33,174.1,172.5,230.33,39375.52
2017-08-01,171.81,198.02,172.5,190.0,1003.73,185920.62
2017-08-02,180.96,195.0,190.0,184.12,863.46,162935.67
2017-08-03,182.71,191.0,184.12,188.0,232.2,43596.77
2017-08-04,184.0,191.3,188.0,187.1,236.18,44451.31
2017-08-05,184.31,216.0,187.1,203.0,1802.31,359215.24
2017-08-06,203.0,214.0,203.0,208.3,1008.38,208261.25
2017-08-07,204.59,211.54,208.3,210.41,945.59,196386.6
2017-08-08,207.2,256.5,210.41,246.9,1877.43,435588.07
2017-08-09,231.85,264.75,246.9,238.52,1635.21,405316.0
2017-08-10,231.81,248.0,238.52,232.12,650.58,155912.8
2017-08-11,224.0,236.49,232.12,235.0,1042.56,241029.73
2017-08-12,217.86,236.4,235.0,221.0,862.27,196197.07
2017-08-13,199.0,225.42,221.0,214.0,1598.54,339899.88
2017-08-14,202.1,217.4,214.0,209.0,861.98,179936.37
2017-08-15,197.0,213.5,209.0,210.12,1437.78,291680.39
2017-08-16,206.03,220.0,210.12,215.8,614.64,131585.38
2017-08-17,207.0,218.44,215.8,208.0,979.41,208489.51
2017-08-18,198.48,211.5,208.0,202.34,1080.77,220992.55
2017-08-19,190.0,246.78,202.34,233.99,2902.92,641468.92
2017-08-20,222.63,253.99,233.99,238.03,1294.11,309942.48
2017-08-21,229.59,258.0,238.03,235.0,1874.3,462903.91
2017-08-22,205.13,239.16,235.0,226.47,1627.96,363469.04
2017-08-23,224.3,239.52,226.47,227.0,1266.74,292504.58
2017-08-24,221.12,233.49,227.0,228.71,596.84,135997.64
2017-08-25,226.45,257.8,228.71,236.0,1159.94,281864.93
2017-08-26,236.0,300.0,236.0,300.0,2958.11,800022.85
2017-08-27,264.01,300.0,300.0,275.0,1245.41,347556.96
2017-08-28,255.2,283.05,275.0,274.12,1330.13,360225.7
2017-08-29,265.0,278.0,274.12,271.0,999.19,269262.15
2017-08-30,269.0,281.5,271.0,274.45,841.8,230579.66
2017-08-31,272.51,286.99,274.45,286.0,1043.04,288334.73
2017-09-01,282.5,313.0,286.0,306.0,2824.0,836653.12
2017-09-02,231.15,311.54,306.0,250.92,3740.96,1012065.86
2017-09-03,241.0,272.0,250.92,263.0,3021.16,776558.44
2017-09-04,195.0,264.78,263.0,217.0,4090.63,920112.71
2017-09-05,195.0,237.69,217.0,229.06,3583.63,783865.05
2017-09-06,220.0,251.0,229.06,251.0,3008.38,710092.9
2017-09-07,235.98,251.52,251.0,247.0,1372.29,333541.73
2017-09-08,204.26,247.87,247.0,223.0,3731.75,837021.24
2017-09-09,210.08,223.37,223.0,221.0,786.58,169940.96
2017-09-10,198.0,228.0,221.0,219.0,1865.03,396337.8
2017-09-11,209.0,222.9,219.0,213.0,1465.05,317491.32
2017-09-12,201.0,224.73,213.0,205.88,1754.71,375814.49
2017-09-13,181.04,213.64,205.88,198.86,2851.27,566457.22
2017-09-14,161.0,208.0,198.86,161.74,5644.56,1014817.54
2017-09-15,141.3,192.1,161.74,185.0,6274.76,1061365.44
2017-09-16,165.0,192.1,185.0,179.03,2237.26,400091.87
2017-09-17,166.67,180.62,179.03,177.0,3780.97,653266.35
2017-09-18,177.0,197.64,177.0,193.63,4664.03,876162.81
2017-09-19,183.0,198.22,193.63,189.3,2146.59,406397.92
2017-09-20,183.3,193.9,189.3,188.47,1159.59,218696.58
2017-09-21,172.01,191.5,188.47,176.84,1960.94,354613.14
2017-09-22,175.0,204.88,176.84,198.09,6556.0,1277215.34
2017-09-23,191.5,218.0,198.09,205.0,5739.7,1199684.54
2017-09-24,200.1,207.0,205.0,207.0,1647.29,333290.0
2017-09-25,205.04,235.0,207.0,232.0,6615.36,1483569.62
2017-09-26,228.5,236.1,232.0,231.82,2088.04,484317.77
2017-09-27,229.55,321.39,231.82,286.0,18865.23,5346808.06
2017-09-28,280.5,430.0,286.0,314.0,48343.29,16497519.34
2017-09-29,268.2,314.0,314.0,291.99,12515.62,3574547.2
2017-09-30,275.84,294.41,291.99,278.2,5453.78,1563645.42
2017-10-01,262.77,280.0,278.2,265.0,3283.78,900600.4
2017-10-02,251.5,278.0,265.0,257.0,4510.65,1191625.87
2017-10-03,236.0,263.0,257.0,252.72,3117.19,766861.06
2017-10-04,236.0,254.02,252.72,237.18,2556.03,624071.27
2017-10-05,224.06,268.59,237.18,257.0,4757.98,1177598.38
2017-10-06,252.01,275.2,257.0,258.12,4315.16,1130870.98
2017-10-07,244.73,259.4,258.12,254.0,1590.37,398614.75
2017-10-08,240.0,257.5,254.0,243.2,2425.5,607680.43
2017-10-09,224.0,243.2,243.2,229.0,2655.34,622462.09
2017-10-10,226.3,243.0,229.0,234.88,1875.18,440428.13
2017-10-11,231.3,239.9,234.88,236.0,861.1,202199.85
2017-10-12,226.0,239.0,236.0,227.0,2449.33,568281.07
2017-10-13,221.78,255.0,227.0,238.13,6660.64,1591129.54
2017-10-14,237.0,244.0,238.13,239.0,825.76,198132.38
2017-10-15,227.5,241.65,239.0,233.0,1738.2,406482.28
2017-10-16,230.0,237.48,231.0,234.49,879.77,205947.62
2017-10-17,228.02,250.13,234.49,230.92,4013.68,965387.87
2017-10-18,215.0,240.0,230.92,228.24,3148.24,709049.03
2017-10-19,224.1,239.0,228.24,230.55,1064.13,247287.44
2017-10-20,210.0,234.48,230.55,222.0,1696.16,380089.41
2017-10-21,206.0,223.81,222.0,211.31,1883.19,403286.45
2017-10-22,208.0,220.0,211.31,214.88,1848.12,394605.13
2017-10-23,198.34,214.88,214.88,206.0,2312.61,473467.65
2017-10-24,200.6,226.93,206.0,214.25,2818.61,609614.49
2017-10-25,205.6,227.5,214.25,216.07,2396.0,520747.38
2017-10-26,216.07,237.9,216.07,232.72,2150.03,490193.71
2017-10-27,228.0,255.12,232.72,243.0,5566.53,1354948.39
2017-10-28,228.33,245.6,243.0,231.07,2343.87,556377.9
2017-10-29,223.2,238.83,231.07,232.91,3053.78,705800.15
2017-10-30,230.01,245.0,232.91,239.4,2455.51,585556.72
2017-10-31,231.22,240.87,239.4,232.6,1649.4,387804.89
2017-11-01,219.0,233.0,232.6,222.01,2843.13,640517.74
2017-11-02,205.0,224.0,222.01,215.37,5031.7,1083810.32
2017-11-03,209.57,240.1,215.37,231.61,3340.44,755983.66
2017-11-04,224.0,235.0,231.61,229.49,1390.47,317650.84
2017-11-05,222.64,232.46,229.49,225.0,1296.31,295241.99
2017-11-06,221.8,236.0,225.0,227.33,1943.06,444392.57
2017-11-07,226.1,243.0,227.33,238.0,2914.47,687453.1
2017-11-08,233.61,249.89,238.0,247.0,4526.58,1097666.17
2017-11-09,243.0,272.0,247.0,260.71,8431.71,2169741.97
2017-11-10,226.95,272.49,260.71,235.5,10690.57,2652639.54
2017-11-11,231.39,268.0,235.5,251.79,5187.09,1291565.35
2017-11-12,230.0,282.9,251.79,282.39,14421.94,3617215.56
2017-11-13,252.0,295.6,282.39,261.6,12462.44,3374260.41
2017-11-14,260.2,273.9,261.6,268.81,3371.65,903760.53
2017-11-15,267.57,293.89,268.81,287.0,7906.13,2223231.23
2017-11-16,284.19,319.0,287.0,294.5,12697.19,3827269.9
2017-11-17,281.18,297.87,294.5,289.5,4043.02,1172263.09
2017-11-18,285.12,304.99,289.5,295.74,5208.47,1537133.41
2017-11-19,294.0,303.0,295.74,300.5,4047.41,1206937.06
2017-11-20,296.73,307.37,300.5,303.9,3309.43,1000482.18
2017-11-21,281.0,310.0,303.9,288.63,8016.61,2378861.72
2017-11-22,288.63,322.68,288.63,318.99,7609.33,2359716.76
2017-11-23,300.0,320.09,318.99,311.07,6996.86,2181893.28
2017-11-24,300.0,354.8,311.07,352.01,16013.21,5168896.03
2017-11-25,335.0,363.99,352.01,343.5,7772.85,2705199.18
2017-11-26,328.0,347.13,343.5,335.0,5149.11,1731763.98
2017-11-27,321.7,360.0,335.0,346.69,8617.54,2908441.78
2017-11-28,339.01,369.84,346.69,358.38,8079.38,2866074.66
2017-11-29,280.0,375.0,358.38,300.0,15202.18,5074215.17
2017-11-30,260.0,324.2,300.0,300.0,8372.68,2440285.89
2017-12-01,287.0,335.0,300.0,329.89,6322.46,1977664.36
2017-12-02,315.01,340.0,329.89,326.6,6178.06,2016673.74
2017-12-03,305.89,340.0,326.6,319.99,8493.56,2784417.59
