datetime,low,high,open,close,volumefrom,volumeto,close_12_ema,close_26_ema,macd,macds,macdh
2014-11-28,360.57,381.34,363.59,376.28,8617.15,3220878.18,376.28,376.28,0.0,0.0,0.0
2014-11-29,372.25,386.6,376.42,376.72,7245.19,2746157.05,376.51833333333326,376.5084615384615,0.009871794871742168,0.005484330484301204,0.008774928774881927
2014-11-30,373.32,381.99,376.57,373.34,3046.33,1145566.61,375.2778290993071,375.3700640709709,-0.09223497166379957,-0.03456456383869091,-0.11534081565021732
2014-12-01,373.03,382.31,376.4,378.39,6660.56,2520662.37,376.2602198275862,376.21430618679693,0.04591364078925153,-0.007302299398331006,0.10643188037516507
2014-12-02,375.23,382.86,378.39,379.25,6832.53,2593576.46,377.07253241502644,376.9182961030982,0.15423631192822995,0.04075178536087917,0.22696905313470156
2014-12-03,374.23,383.0,379.25,376.67,7908.29,2998357.92,376.9746958610233,376.8685643739863,0.10613148703697561,0.05847331955619545,0.09531633496156033
2014-12-04,360.01,378.99,376.67,365.2,8865.09,3297896.46,374.3472136761532,374.7933706883071,-0.4461570121538898,-0.06923515508739765,-0.7538437141329843
2014-12-05,363.99,377.89,365.2,374.95,8951.16,3331762.49,374.4730058911304,374.8186075514329,-0.34560166030246364,-0.13565122336386048,-0.4199008738772063
2014-12-06,371.31,376.99,374.95,375.07,2300.21,861748.71,374.59111257466066,374.85586943111315,-0.26475685645249314,-0.16547526510368316,-0.19856318269761997
2014-12-07,373.16,377.5,375.07,376.87,2429.62,913715.62,375.02296085608566,375.1337998467153,-0.1108389906296452,-0.1532335679901181,0.08478915472094584
2014-12-08,364.6,377.45,376.87,364.61,9920.84,3655238.4,373.11764009364197,373.7688596726518,-0.651219579009819,-0.2621900617409952,-0.7780590345376476
2014-12-09,343.97,365.48,364.61,350.49,20940.84,7376463.45,369.0945199683573,370.90868497057323,-1.8141650022159297,-0.5954891916391472,-2.437351621153565
2014-12-10,347.23,353.74,350.49,348.13,6579.79,2304335.87,365.454282870575,368.2401661349431,-2.785883264368067,-1.0590526783790781,-3.453661171977978
2014-12-11,339.8,364.43,348.13,348.98,16533.38,5842055.01,362.6492384920477,366.07702026724866,-3.4277817752009696,-1.5545925727802976,-3.746378404841344
2014-12-12,348.0,358.59,348.98,354.48,8039.95,2846451.59,361.28075119214725,364.822506748326,-3.541755556178771,-1.966518525451834,-3.1504740614538735
2014-12-13,347.03,354.95,354.48,351.45,3880.75,1359211.39,359.6561420465474,363.4236326899304,-3.7674906433829847,-2.3371451614105467,-2.860690963944876
2014-12-14,348.96,351.98,351.45,350.17,561.33,196831.56,358.10617014133607,362.0782732296621,-3.972103088326037,-2.6716695667293453,-2.600867043193383
2014-12-15,350.17,350.17,350.17,350.17,0.0,0.0,356.82171608697473,360.90175682946546,-4.0800407424907235,-2.9585110791962625,-2.243059326588922
2014-12-16,330.0,350.17,350.17,330.02,5677.83,1902071.15,352.51834462047697,357.92430861542425,-5.405963994947285,-3.4551591148530862,-3.901609760188398
2014-12-17,315.23,335.99,331.56,321.1,23478.02,7586686.22,347.5073714732051,354.4514964201776,-6.944124946972465,-4.161091123209202,-5.566067647526527
2014-12-18,304.99,325.61,321.32,312.17,21637.58,6788858.09,341.90298631253006,350.5431103696175,-8.640124057087462,-5.065236983631108,-7.1497741469127085
2014-12-19,307.11,320.0,310.48,318.0,15958.56,4999167.76,338.12997845406545,347.5891581285164,-9.459179674450922,-5.950558038161466,-7.017243272578913
2014-12-20,316.52,333.0,317.23,329.99,11146.4,3617196.63,336.85022931239524,346.0179090526091,-9.167679740213885,-6.597803038692843,-5.139753403042084
2014-12-21,318.78,332.98,332.58,323.15,6510.0,2114707.57,334.7035477661052,344.00684665635714,-9.303298890251938,-7.1414696017599475,-4.323658576983981
2014-12-22,319.9,333.99,322.24,330.52,11646.6,3821126.0,334.0498884757661,342.8370028341084,-8.78711435834225,-7.47184668239826,-2.630535351887982
2014-12-23,327.49,338.99,330.52,335.49,7804.03,2604314.14,334.2743604797586,342.2076971655946,-7.933336685835968,-7.564424482317415,-0.7378244070371061
2014-12-24,320.92,337.0,337.0,322.14,5544.8,1826465.31,332.3867849194683,340.5084817016469,-8.12169678217856,-7.676149075781092,-0.891095412794936
2014-12-25,316.63,324.23,320.92,319.39,3924.9,1255322.02,330.36850529469035,338.73904809035525,-8.370542795664903,-7.815296970930961,-1.1104916494678836
2014-12-26,316.64,332.0,319.0,330.88,6347.26,2066944.34,330.4478210834524,338.0869032971778,-7.6390822137253735,-7.779999399143086,0.2818343708354245
2014-12-27,311.63,330.97,330.97,315.89,8639.54,2747753.48,328.1931399258394,336.26126075177615,-8.068120825936774,-7.837695108330321,-0.4608514352129056
2014-12-28,311.22,319.56,315.89,316.63,4089.61,1288906.81,326.4041133353081,334.6597264284613,-8.255613093153158,-7.921361564539758,-0.6685030572268005
