datetime,low,high,open,close,volumefrom,volumeto
2017-10-07 22:00:00,355.0,363.8,355.01,363.77,1385.54,498740.87
2017-10-07 23:00:00,359.97,372.0,363.77,360.0,3942.49,1440146.15
2017-10-08 00:00:00,359.58,365.0,360.0,361.9,2055.18,742051.55
2017-10-08 01:00:00,359.57,361.9,361.9,361.55,1547.27,557903.8
2017-10-08 02:00:00,358.94,361.78,361.55,361.0,798.82,288132.08
2017-10-08 03:00:00,359.89,362.39,361.0,362.29,828.2,299079.43
2017-10-08 04:00:00,360.1,362.29,362.29,361.31,295.92,106814.69
2017-10-08 05:00:00,361.11,363.47,361.31,361.4,560.55,202786.62
2017-10-08 06:00:00,361.21,362.91,361.4,361.23,260.43,94233.15
2017-10-08 07:00:00,361.0,363.46,361.23,361.82,431.75,156168.43
2017-10-08 08:00:00,361.4,363.18,361.82,361.84,644.19,233199.08
2017-10-08 09:00:00,360.48,362.84,361.84,361.63,401.03,145043.66
2017-10-08 10:00:00,360.74,363.19,361.63,361.76,875.08,316618.07
2017-10-08 11:00:00,358.1,361.88,361.76,359.16,1481.91,533917.95
2017-10-08 12:00:00,350.0,360.0,359.16,355.94,3619.13,1279834.99
2017-10-08 13:00:00,353.98,361.87,355.94,360.34,1734.88,621165.03
2017-10-08 14:00:00,356.78,364.64,360.34,360.0,2425.62,874549.73
2017-10-08 15:00:00,356.2,360.35,360.0,357.97,1479.77,529571.78
2017-10-08 16:00:00,355.33,358.67,357.97,356.38,932.78,333322.23
2017-10-08 17:00:00,354.01,357.09,356.38,355.77,925.21,328757.34
2017-10-08 18:00:00,353.97,357.8,355.77,354.0,1792.74,637448.18
2017-10-08 19:00:00,353.98,357.85,354.0,355.48,1062.78,377132.01
2017-10-08 20:00:00,334.04,356.06,355.48,349.04,6986.51,2410981.35
2017-10-08 21:00:00,339.86,350.71,349.04,343.98,2804.29,967909.87
2017-10-08 22:00:00,335.0,345.19,343.98,340.16,3623.32,1233094.02
2017-10-08 23:00:00,338.61,349.84,340.16,343.67,1278.04,438278.38
2017-10-09 00:00:00,336.32,343.99,343.67,338.53,1588.32,539073.44
2017-10-09 01:00:00,336.87,340.0,338.53,340.0,1727.59,585036.04
2017-10-09 02:00:00,338.0,341.0,340.0,339.29,2411.19,818259.66
2017-10-09 03:00:00,338.07,340.84,339.29,339.18,875.42,296846.29
2017-10-09 04:00:00,334.1,339.36,339.18,334.64,1579.03,532878.43
2017-10-09 05:00:00,330.3,336.05,334.64,332.61,1902.57,632411.83
2017-10-09 06:00:00,327.57,333.1,332.61,331.24,3464.39,1146604.83
2017-10-09 07:00:00,329.92,333.49,331.24,332.03,2957.29,980632.63
2017-10-09 08:00:00,331.95,341.0,332.03,339.23,3560.05,1197170.14
2017-10-09 09:00:00,329.31,339.23,339.23,335.0,3282.58,1092821.58
2017-10-09 10:00:00,332.12,335.98,335.0,335.11,879.35,294177.09
2017-10-09 11:00:00,333.24,336.76,335.11,334.39,999.07,334838.94
2017-10-09 12:00:00,333.75,339.7,334.39,335.0,2105.44,708672.81
2017-10-09 13:00:00,333.48,335.61,335.0,335.06,1048.93,351206.08
2017-10-09 14:00:00,325.63,335.07,335.06,327.0,2286.5,757409.13
2017-10-09 15:00:00,321.14,327.88,327.0,325.12,3799.03,1234713.82
2017-10-09 16:00:00,309.0,325.16,325.12,309.99,8368.14,2648298.52
2017-10-09 17:00:00,309.0,319.64,309.99,311.98,4055.3,1273330.12
2017-10-09 18:00:00,292.0,313.84,311.98,298.0,8002.91,2399440.24
2017-10-09 19:00:00,280.1,300.01,298.0,284.49,7258.88,2097679.52
2017-10-09 20:00:00,284.49,310.91,284.49,299.01,7367.3,2223330.58
2017-10-09 21:00:00,297.32,308.38,299.01,304.1,4956.35,1493300.13
2017-10-09 22:00:00,298.55,305.54,304.1,303.0,2405.18,723652.45
2017-10-09 23:00:00,302.72,316.8,303.0,312.3,4657.41,1451068.39
2017-10-10 00:00:00,310.5,316.4,312.3,316.4,1417.42,443721.21
2017-10-10 01:00:00,315.0,330.0,316.4,328.86,6112.99,1986072.89
2017-10-10 02:00:00,328.45,350.0,328.86,350.0,9651.62,3284850.27
2017-10-10 03:00:00,336.0,350.0,350.0,339.0,5010.64,1717836.1
2017-10-10 04:00:00,324.23,340.0,339.0,324.89,3034.24,1008942.05
2017-10-10 05:00:00,324.3,341.89,324.89,339.0,2739.7,920678.74
2017-10-10 06:00:00,330.21,339.02,339.0,333.19,2316.5,773189.65
2017-10-10 07:00:00,328.0,336.7,333.19,333.13,2831.28,938092.01
2017-10-10 08:00:00,330.0,336.19,333.13,330.0,1816.55,607511.47
2017-10-10 09:00:00,328.11,332.82,330.0,328.93,724.05,239764.22
2017-10-10 10:00:00,324.24,331.58,328.93,329.3,956.2,313075.13
2017-10-10 11:00:00,323.1,330.2,329.3,323.81,876.41,285404.88
2017-10-10 12:00:00,323.2,328.0,323.81,324.15,2309.39,752667.29
2017-10-10 13:00:00,316.1,324.61,324.15,318.42,2335.6,748223.65
2017-10-10 14:00:00,312.73,319.4,318.42,315.21,1074.18,339430.63
2017-10-10 15:00:00,313.28,328.0,315.21,320.27,5081.81,1626297.84
2017-10-10 16:00:00,300.54,320.29,320.27,315.03,7060.98,2194840.38
2017-10-10 17:00:00,309.21,315.61,315.03,312.0,1518.03,474443.27
2017-10-10 18:00:00,310.73,319.8,312.0,315.77,2316.07,729121.8
2017-10-10 19:00:00,311.6,328.0,315.77,316.16,3681.6,1171996.11
2017-10-10 20:00:00,313.17,318.27,316.16,316.09,2284.16,720215.51
2017-10-10 21:00:00,315.33,324.76,316.09,321.85,2565.91,823568.05
2017-10-10 22:00:00,315.4,323.22,321.85,322.94,1613.51,515166.9
2017-10-10 23:00:00,316.96,326.49,322.94,317.29,4254.74,1360638.41
2017-10-11 00:00:00,309.98,318.45,317.29,314.98,7146.61,2238146.89
2017-10-11 01:00:00,314.98,318.86,314.98,317.34,1095.95,347059.27
2017-10-11 02:00:00,304.13,319.03,317.34,314.25,3457.08,1084687.13
2017-10-11 03:00:00,313.02,318.1,314.25,314.64,1093.76,344601.35
2017-10-11 04:00:00,311.85,316.81,314.64,316.07,1286.62,403790.73
2017-10-11 05:00:00,314.91,317.6,316.07,315.82,863.85,273229.27
2017-10-11 06:00:00,315.4,319.17,315.82,319.11,851.28,270253.49
2017-10-11 07:00:00,316.24,320.35,319.11,316.46,971.39,309406.16
2017-10-11 08:00:00,316.41,320.82,316.46,319.75,958.62,305681.63
2017-10-11 09:00:00,313.54,319.8,319.75,314.0,2771.37,873570.29
2017-10-11 10:00:00,312.82,317.19,314.0,313.23,1497.59,470734.1
2017-10-11 11:00:00,312.01,315.23,313.23,313.89,1304.56,408687.96
2017-10-11 12:00:00,310.01,315.94,313.89,312.0,1756.21,550370.94
