datetime,low,high,open,close,volumefrom,volumeto
2017-10-07 22:00:00,12.08,12.5,12.1,12.38,8236.49,101418.87
2017-10-07 23:00:00,12.38,12.5,12.38,12.4,3432.22,42713.18
2017-10-08 00:00:00,12.31,12.45,12.4,12.36,1025.94,12733.58
2017-10-08 01:00:00,12.31,12.4,12.36,12.4,1554.7,19185.0
2017-10-08 02:00:00,12.3,12.4,12.4,12.36,1719.94,21210.72
2017-10-08 03:00:00,12.31,12.36,12.36,12.33,561.51,6928.29
2017-10-08 04:00:00,12.26,12.36,12.33,12.31,365.44,4502.48
2017-10-08 05:00:00,12.27,12.36,12.31,12.36,555.89,6860.33
2017-10-08 06:00:00,12.27,12.36,12.36,12.3,1168.24,14428.21
2017-10-08 07:00:00,12.28,12.36,12.3,12.36,157.35,1943.0
2017-10-08 08:00:00,12.28,12.36,12.36,12.32,394.45,4865.94
2017-10-08 09:00:00,12.28,12.32,12.32,12.28,358.26,4400.97
2017-10-08 10:00:00,12.28,12.32,12.28,12.29,780.54,9610.86
2017-10-08 11:00:00,12.29,12.36,12.29,12.36,1563.52,19323.86
2017-10-08 12:00:00,12.27,12.39,12.36,12.35,2683.7,33134.07
2017-10-08 13:00:00,12.29,12.46,12.35,12.42,3420.31,42374.82
2017-10-08 14:00:00,12.37,12.6,12.42,12.46,7932.69,99368.82
2017-10-08 15:00:00,12.43,12.63,12.46,12.43,8885.21,111762.02
2017-10-08 16:00:00,12.33,12.47,12.43,12.41,6142.69,76133.98
2017-10-08 17:00:00,12.35,12.41,12.41,12.36,1351.49,16756.97
2017-10-08 18:00:00,12.33,12.4,12.36,12.33,1731.15,21410.22
2017-10-08 19:00:00,12.32,12.44,12.33,12.33,2261.47,27977.23
2017-10-08 20:00:00,12.31,12.43,12.33,12.34,2116.82,26238.52
2017-10-08 21:00:00,12.2,12.36,12.34,12.24,4796.67,58755.83
2017-10-08 22:00:00,12.1,12.27,12.24,12.19,3009.74,36737.51
2017-10-08 23:00:00,12.1,12.21,12.19,12.11,5036.29,61276.78
2017-10-09 00:00:00,12.05,12.21,12.11,12.12,5432.16,65545.66
2017-10-09 01:00:00,12.05,12.13,12.12,12.08,1064.61,12849.15
2017-10-09 02:00:00,12.06,12.17,12.08,12.1,2394.67,28981.94
2017-10-09 03:00:00,12.05,12.14,12.1,12.05,5653.79,68160.33
2017-10-09 04:00:00,11.96,12.1,12.05,11.98,2420.12,29136.82
2017-10-09 05:00:00,11.95,12.1,11.98,12.0,4736.46,57133.64
2017-10-09 06:00:00,11.88,12.1,12.0,11.9,1119.77,13367.77
2017-10-09 07:00:00,11.88,11.94,11.9,11.94,2772.18,32992.9
2017-10-09 08:00:00,11.88,11.98,11.94,11.94,1857.64,22171.7
2017-10-09 09:00:00,11.88,11.97,11.94,11.94,1164.18,13896.28
2017-10-09 10:00:00,11.91,11.98,11.94,11.91,2395.55,28592.07
2017-10-09 11:00:00,11.88,11.97,11.91,11.95,2562.06,30523.02
2017-10-09 12:00:00,11.9,12.0,11.95,11.9,2332.25,27917.01
2017-10-09 13:00:00,11.88,11.94,11.9,11.91,3046.73,36253.89
2017-10-09 14:00:00,11.8,11.95,11.91,11.82,4365.75,51818.67
2017-10-09 15:00:00,11.75,11.84,11.82,11.78,7220.24,85121.04
2017-10-09 16:00:00,11.66,11.78,11.78,11.74,7542.72,88270.03
2017-10-09 17:00:00,11.51,11.74,11.74,11.51,6694.59,77687.51
2017-10-09 18:00:00,11.3,11.55,11.51,11.36,3334.68,38117.13
2017-10-09 19:00:00,10.95,11.4,11.36,11.04,13176.24,145975.57
