datetime,low,high,open,close,volumefrom,volumeto
2017-10-07 22:00:00,306.78,314.98,307.08,314.69,307.05,95607.39
2017-10-07 23:00:00,312.03,314.99,314.69,312.17,460.41,144262.18
2017-10-08 00:00:00,311.28,314.08,312.17,312.19,285.65,89347.54
2017-10-08 01:00:00,311.53,313.47,312.19,313.16,175.72,54972.24
2017-10-08 02:00:00,311.15,313.22,313.16,311.75,162.54,50700.14
2017-10-08 03:00:00,311.04,312.52,311.75,311.68,147.43,45971.19
2017-10-08 04:00:00,309.2,312.13,311.68,310.65,264.91,82163.02
2017-10-08 05:00:00,310.14,312.2,310.65,311.49,151.7,47216.95
2017-10-08 06:00:00,310.55,312.53,311.49,312.2,167.31,52027.94
2017-10-08 07:00:00,311.27,313.07,312.2,312.01,202.68,63284.73
2017-10-08 08:00:00,311.8,312.8,312.01,312.06,208.22,65004.79
2017-10-08 09:00:00,310.39,312.06,312.06,311.1,134.4,41802.21
2017-10-08 10:00:00,310.72,313.01,311.1,312.16,196.69,61347.56
2017-10-08 11:00:00,310.9,312.71,312.16,311.72,154.51,48189.92
2017-10-08 12:00:00,310.38,312.16,311.72,310.66,213.77,66487.03
2017-10-08 13:00:00,310.66,313.74,310.66,312.24,195.44,60972.24
2017-10-08 14:00:00,311.23,314.05,312.24,312.73,235.26,73633.05
2017-10-08 15:00:00,312.25,314.03,312.73,313.72,221.24,69334.37
2017-10-08 16:00:00,311.97,313.89,313.72,313.35,148.6,46459.12
2017-10-08 17:00:00,311.02,313.35,313.35,311.9,166.11,51928.98
2017-10-08 18:00:00,311.53,312.79,311.9,312.08,157.26,49083.11
2017-10-08 19:00:00,311.29,312.5,312.08,312.3,247.77,77290.01
2017-10-08 20:00:00,311.25,312.5,312.3,311.37,143.3,44696.18
2017-10-08 21:00:00,310.0,312.18,311.37,310.36,237.7,73876.06
2017-10-08 22:00:00,308.0,310.49,310.36,309.84,503.97,155845.87
2017-10-08 23:00:00,309.2,310.33,309.84,309.63,171.23,53062.63
2017-10-09 00:00:00,306.7,310.0,309.63,306.88,316.74,97587.65
2017-10-09 01:00:00,306.67,307.83,306.88,307.6,262.65,80700.62
2017-10-09 02:00:00,307.11,307.98,307.6,307.2,145.9,44879.21
2017-10-09 03:00:00,304.28,307.33,307.2,304.79,287.75,88225.11
2017-10-09 04:00:00,301.12,306.52,304.79,305.33,522.12,158156.63
2017-10-09 05:00:00,305.1,309.7,305.33,309.61,258.59,79395.02
2017-10-09 06:00:00,304.89,310.5,309.61,305.7,273.41,84091.2
2017-10-09 07:00:00,304.26,305.7,305.7,304.61,279.51,85136.89
2017-10-09 08:00:00,304.3,304.71,304.61,304.3,155.97,47495.54
2017-10-09 09:00:00,304.05,305.12,304.3,304.87,263.07,80043.63
2017-10-09 10:00:00,304.6,307.12,304.87,306.26,283.08,86638.34
2017-10-09 11:00:00,305.08,307.35,306.26,305.7,193.18,59168.57
2017-10-09 12:00:00,304.12,306.0,305.7,304.37,201.03,61340.62
2017-10-09 13:00:00,303.19,305.49,304.37,303.55,223.27,67951.37
2017-10-09 14:00:00,300.14,304.79,303.55,300.36,192.21,58172.18
