datetime,low,high,open,close,volumefrom,volumeto
2017-10-07 22:00:00,51.67,52.88,51.77,52.81,15928.25,833619.15
2017-10-07 23:00:00,52.57,53.05,52.81,52.57,8593.98,453740.53
2017-10-08 00:00:00,52.56,52.9,52.57,52.73,4490.85,236866.51
2017-10-08 01:00:00,52.61,52.87,52.73,52.71,2609.91,137583.61
2017-10-08 02:00:00,52.51,52.71,52.71,52.54,6019.75,316831.22
2017-10-08 03:00:00,52.48,52.84,52.54,52.7,5898.74,310383.29
2017-10-08 04:00:00,52.5,52.71,52.7,52.63,5163.53,271651.44
2017-10-08 05:00:00,52.51,52.73,52.63,52.55,3264.94,171875.75
2017-10-08 06:00:00,52.49,52.8,52.55,52.64,3502.33,184239.84
2017-10-08 07:00:00,52.36,52.74,52.64,52.58,6037.04,317355.25
2017-10-08 08:00:00,52.48,52.7,52.58,52.55,3859.77,202929.83
2017-10-08 09:00:00,52.45,52.63,52.55,52.57,5615.12,295165.8
2017-10-08 10:00:00,52.33,52.67,52.57,52.57,6991.59,367425.64
2017-10-08 11:00:00,52.35,52.69,52.57,52.5,5187.12,272539.68
2017-10-08 12:00:00,52.31,52.6,52.5,52.32,3841.8,201460.17
2017-10-08 13:00:00,52.32,52.91,52.32,52.87,12447.35,656110.98
2017-10-08 14:00:00,52.69,53.47,52.87,53.22,22409.08,1188274.84
2017-10-08 15:00:00,53.05,53.51,53.22,53.5,13203.02,703300.09
2017-10-08 16:00:00,53.36,54.25,53.5,54.2,18237.96,979737.68
2017-10-08 17:00:00,54.13,54.83,54.2,54.35,24792.52,1352189.68
2017-10-08 18:00:00,53.98,54.4,54.35,54.39,10926.41,591878.96
2017-10-08 19:00:00,54.15,54.41,54.39,54.32,6022.93,326995.66
2017-10-08 20:00:00,53.97,54.48,54.32,53.97,10070.79,546449.11
2017-10-08 21:00:00,53.64,54.1,53.97,54.0,14007.17,755421.52
2017-10-08 22:00:00,53.5,54.05,54.0,53.65,15213.92,817553.08
2017-10-08 23:00:00,53.31,53.79,53.65,53.31,12934.87,693270.63
