datetime,low,high,open,close,volumefrom,volumeto
2017-10-07 22:00:00,51.7,52.82,52.0,52.82,1077.07,56381.9
2017-10-07 23:00:00,52.7,53.0,52.82,52.7,925.01,48910.4
2017-10-08 00:00:00,52.5,52.9,52.7,52.5,292.54,15400.18
2017-10-08 01:00:00,52.5,52.83,52.5,52.75,98.75,5194.13
2017-10-08 02:00:00,52.5,52.75,52.75,52.7,55.03,2893.63
2017-10-08 03:00:00,52.35,52.7,52.7,52.7,93.08,4877.41
2017-10-08 04:00:00,52.35,52.7,52.7,52.35,55.88,2933.22
2017-10-08 05:00:00,52.35,52.75,52.35,52.4,342.68,17986.17
2017-10-08 06:00:00,52.35,52.47,52.4,52.47,525.54,27532.62
2017-10-08 07:00:00,52.47,52.65,52.47,52.47,41.7,2189.39
2017-10-08 08:00:00,52.47,52.75,52.47,52.56,122.0,6415.54
2017-10-08 09:00:00,52.5,52.75,52.56,52.5,583.52,30734.54
2017-10-08 10:00:00,52.5,52.71,52.5,52.71,136.26,7168.16
2017-10-08 11:00:00,52.25,52.77,52.71,52.25,2799.99,147072.41
2017-10-08 12:00:00,52.15,52.45,52.25,52.45,350.67,18342.64
2017-10-08 13:00:00,52.45,52.98,52.45,52.88,1167.96,61738.58
2017-10-08 14:00:00,52.57,53.5,52.88,53.16,2303.14,122382.56
2017-10-08 15:00:00,53.13,53.45,53.16,53.45,1170.86,62402.51
2017-10-08 16:00:00,53.15,54.23,53.45,54.1,1167.22,62645.65
2017-10-08 17:00:00,54.1,54.9,54.1,54.2,3069.13,167274.43
2017-10-08 18:00:00,54.12,54.5,54.2,54.49,2738.01,148637.66
2017-10-08 19:00:00,54.13,54.8,54.49,54.24,554.56,30208.64
2017-10-08 20:00:00,54.12,54.72,54.24,54.12,682.58,37022.86
2017-10-08 21:00:00,53.6,54.12,54.12,53.7,1827.51,98644.66
2017-10-08 22:00:00,53.25,53.95,53.7,53.69,974.87,52056.82
2017-10-08 23:00:00,53.18,53.7,53.69,53.25,228.14,12162.95
2017-10-09 00:00:00,52.76,53.6,53.25,52.76,590.4,31272.94
2017-10-09 01:00:00,52.76,53.6,52.76,53.25,228.32,12176.33
2017-10-09 02:00:00,52.7,53.25,53.25,52.72,1542.29,81346.29
2017-10-09 03:00:00,52.5,52.8,52.72,52.66,611.65,32259.21
2017-10-09 04:00:00,52.0,52.66,52.66,52.27,274.94,14381.61
2017-10-09 05:00:00,52.17,52.69,52.27,52.51,492.87,25798.15
2017-10-09 06:00:00,52.22,52.51,52.51,52.23,476.25,24919.1
2017-10-09 07:00:00,51.98,52.48,52.23,52.0,448.78,23358.6
2017-10-09 08:00:00,51.9,52.35,52.0,51.93,545.6,28388.91
2017-10-09 09:00:00,51.37,51.97,51.93,51.97,876.09,45129.75
2017-10-09 10:00:00,51.59,52.21,51.97,51.6,173.05,8971.24
2017-10-09 11:00:00,51.25,52.1,51.6,51.85,1040.9,53666.18
2017-10-09 12:00:00,51.61,52.06,51.85,51.95,449.82,23307.74
2017-10-09 13:00:00,51.54,52.16,51.95,51.74,564.1,29285.2
2017-10-09 14:00:00,51.71,51.9,51.74,51.71,216.0,11203.54
2017-10-09 15:00:00,51.3,51.71,51.71,51.3,1159.52,59755.55
2017-10-09 16:00:00,50.3,51.56,51.3,50.5,2293.38,116460.46
2017-10-09 17:00:00,50.5,51.24,50.5,50.86,1524.9,77313.29
2017-10-09 18:00:00,48.0,50.86,50.86,48.51,3909.1,192879.17
2017-10-09 19:00:00,48.16,50.1,48.51,49.7,7549.54,367767.71
2017-10-09 20:00:00,49.33,50.48,49.7,50.19,5711.14,285539.3
2017-10-09 21:00:00,49.57,50.43,50.19,50.1,445.14,22228.33
2017-10-09 22:00:00,50.0,50.5,50.1,50.35,426.68,21443.55
2017-10-09 23:00:00,49.58,50.5,50.35,49.6,286.81,14271.03
2017-10-10 00:00:00,49.6,50.49,49.6,50.4,323.37,16247.41
2017-10-10 01:00:00,50.0,50.49,50.4,50.2,1066.86,53714.83
2017-10-10 02:00:00,49.95,50.5,50.2,49.95,378.38,19038.17
2017-10-10 03:00:00,49.95,50.7,49.95,50.64,136.06,6855.04
2017-10-10 04:00:00,50.3,50.87,50.64,50.52,329.24,16660.99
2017-10-10 05:00:00,50.25,50.85,50.52,50.85,869.68,44156.43
2017-10-10 06:00:00,50.0,50.85,50.85,50.02,248.67,12537.35
2017-10-10 07:00:00,49.8,50.67,50.02,50.65,279.02,14023.3
2017-10-10 08:00:00,49.8,50.66,50.65,50.19,118.2,5913.68
2017-10-10 09:00:00,49.8,50.48,50.19,50.47,306.75,15320.44
2017-10-10 10:00:00,49.87,50.47,50.47,50.44,144.7,7258.15
2017-10-10 11:00:00,49.82,50.44,50.44,49.82,296.95,14889.01
2017-10-10 12:00:00,49.75,50.32,49.82,50.31,253.59,12704.78
2017-10-10 13:00:00,50.31,51.7,50.31,51.7,1223.62,62452.58
2017-10-10 14:00:00,50.5,51.7,51.7,50.7,1901.06,97177.8
2017-10-10 15:00:00,50.52,51.31,50.7,51.0,700.41,35651.16
2017-10-10 16:00:00,50.56,51.19,51.0,51.19,902.85,45743.82
2017-10-10 17:00:00,50.58,51.47,51.19,50.71,724.11,37028.94
2017-10-10 18:00:00,50.5,51.0,50.71,50.98,616.97,31305.24
2017-10-10 19:00:00,50.9,51.14,50.98,51.14,716.9,36595.21
2017-10-10 20:00:00,50.64,51.14,51.14,51.1,1817.18,92354.74
2017-10-10 21:00:00,50.8,51.2,51.1,51.1,246.52,12600.46
2017-10-10 22:00:00,50.5,51.13,51.1,50.8,320.76,16281.23
2017-10-10 23:00:00,50.3,50.82,50.8,50.55,303.73,15337.54
2017-10-11 00:00:00,50.55,51.0,50.55,50.55,533.75,27143.26
2017-10-11 01:00:00,50.55,51.0,50.55,50.87,79.84,4068.53
2017-10-11 02:00:00,50.6,50.93,50.87,50.64,190.52,9651.52
2017-10-11 03:00:00,50.2,50.64,50.64,50.21,555.81,28019.54
2017-10-11 04:00:00,50.21,50.6,50.21,50.6,148.44,7503.49
2017-10-11 05:00:00,50.21,50.83,50.6,50.4,238.38,12090.59
2017-10-11 06:00:00,50.22,50.79,50.4,50.79,328.89,16542.16
2017-10-11 07:00:00,50.3,50.84,50.79,50.71,64.91,3286.05
2017-10-11 08:00:00,50.45,50.71,50.71,50.48,291.62,14787.59
2017-10-11 09:00:00,50.25,50.71,50.48,50.56,584.95,29484.43
2017-10-11 10:00:00,50.26,50.71,50.56,50.4,206.92,10481.63
2017-10-11 11:00:00,50.4,50.71,50.4,50.7,274.76,13884.83
2017-10-11 12:00:00,50.33,50.7,50.7,50.7,79.76,4036.37
2017-10-11 13:00:00,50.33,50.7,50.7,50.59,204.85,10355.95
2017-10-11 14:00:00,50.4,50.6,50.59,50.59,217.41,10968.52
2017-10-11 15:00:00,50.4,51.2,50.59,51.2,977.87,49646.36
2017-10-11 16:00:00,50.53,51.2,51.2,50.75,835.26,42418.66
2017-10-11 17:00:00,50.63,50.9,50.75,50.67,394.34,20012.09
2017-10-11 18:00:00,50.65,50.9,50.67,50.74,224.15,11384.67
2017-10-11 19:00:00,50.74,51.15,50.74,51.05,155.83,7943.41
2017-10-11 20:00:00,50.5,51.05,51.05,50.86,336.0,17027.72
2017-10-11 21:00:00,50.6,50.87,50.86,50.6,213.62,10824.78
2017-10-11 22:00:00,50.6,50.8,50.6,50.8,127.51,6467.5
2017-10-11 23:00:00,50.6,50.87,50.8,50.6,44.23,2242.68
2017-10-12 00:00:00,50.6,51.0,50.6,51.0,508.77,25924.38
2017-10-12 01:00:00,50.63,51.0,51.0,50.9,271.65,13813.05
2017-10-12 02:00:00,50.66,51.1,50.9,50.95,372.3,18969.43
2017-10-12 03:00:00,50.83,51.1,50.95,51.09,236.65,12087.38
2017-10-12 04:00:00,50.9,51.2,51.09,51.14,147.52,7544.5
2017-10-12 05:00:00,50.87,51.14,51.14,50.9,172.01,8771.74
2017-10-12 06:00:00,50.77,51.0,50.9,50.8,253.44,12878.83
2017-10-12 07:00:00,50.77,51.3,50.8,51.3,2074.24,106245.6
2017-10-12 08:00:00,50.91,51.87,51.3,51.6,3977.25,204591.28
2017-10-12 09:00:00,51.56,52.22,51.6,52.1,3825.0,198484.45
2017-10-12 10:00:00,51.76,52.2,52.1,52.0,806.66,41923.25
2017-10-12 11:00:00,51.86,52.7,52.0,52.7,3144.72,164113.49
2017-10-12 12:00:00,52.7,54.23,52.7,53.61,3259.74,174576.08
2017-10-12 13:00:00,53.35,54.2,53.61,53.45,2070.7,111420.05
2017-10-12 14:00:00,53.2,53.79,53.45,53.75,1813.0,97077.98
2017-10-12 15:00:00,53.7,54.95,53.75,54.91,2968.32,161211.28
2017-10-12 16:00:00,54.72,60.0,54.91,57.35,23697.47,1366256.3
2017-10-12 17:00:00,55.14,57.78,57.35,55.81,6623.45,373170.53
2017-10-12 18:00:00,55.12,58.0,55.81,56.73,28921.77,1620584.18
2017-10-12 19:00:00,55.94,56.9,56.73,56.9,4429.49,248968.93
2017-10-12 20:00:00,56.36,57.57,56.9,56.5,3287.19,187319.3
2017-10-12 21:00:00,55.7,57.19,56.5,56.37,1917.58,108373.42
2017-10-12 22:00:00,55.95,56.8,56.37,56.46,1780.48,100652.5
2017-10-12 23:00:00,56.46,59.62,56.46,59.62,6492.71,379164.6
2017-10-13 00:00:00,57.81,59.89,59.62,57.81,12035.14,706497.35
2017-10-13 01:00:00,57.81,60.0,57.81,60.0,4468.9,264260.25
2017-10-13 02:00:00,57.52,60.92,60.0,58.26,15313.85,915646.51
2017-10-13 03:00:00,57.2,58.3,58.26,57.6,3486.94,201630.25
2017-10-13 04:00:00,57.1,58.24,57.6,57.2,1451.38,83750.37
2017-10-13 05:00:00,54.33,57.2,57.2,56.47,7973.21,444594.48
2017-10-13 06:00:00,55.8,56.76,56.47,56.5,1791.51,100952.19
2017-10-13 07:00:00,56.0,57.0,56.5,57.0,1329.32,75255.54
2017-10-13 08:00:00,56.65,59.0,57.0,57.69,5768.03,335765.39
2017-10-13 09:00:00,57.14,58.4,57.69,58.1,1350.37,78108.39
2017-10-13 10:00:00,57.04,58.1,58.1,57.09,1135.46,65438.73
2017-10-13 11:00:00,56.88,58.49,57.09,58.27,1182.39,68197.94
2017-10-13 12:00:00,57.21,59.65,58.27,59.5,3156.12,186191.21
2017-10-13 13:00:00,59.01,60.4,59.5,59.5,5401.7,323133.06
2017-10-13 14:00:00,59.0,60.21,59.5,59.48,2446.23,145898.95
2017-10-13 15:00:00,59.0,60.0,59.48,59.0,1410.74,83693.28
2017-10-13 16:00:00,58.41,59.44,59.0,59.0,2259.7,133384.03
2017-10-13 17:00:00,58.11,59.0,59.0,58.4,1350.06,79099.23
2017-10-13 18:00:00,57.33,58.52,58.4,58.0,1919.52,111128.73
2017-10-13 19:00:00,57.43,58.35,58.0,57.54,1983.22,114606.41
2017-10-13 20:00:00,57.33,58.7,57.54,58.58,1200.11,69659.75
2017-10-13 21:00:00,57.82,58.58,58.58,58.0,247.32,14414.97
2017-10-13 22:00:00,57.82,58.7,58.0,58.7,569.56,33133.17
2017-10-13 23:00:00,58.62,59.44,58.7,59.32,663.28,39228.68
2017-10-14 00:00:00,58.8,59.69,59.32,59.67,1260.06,74912.78
2017-10-14 01:00:00,59.0,59.69,59.67,59.24,878.06,52071.66
2017-10-14 02:00:00,58.36,59.5,59.24,59.08,1279.5,75108.46
2017-10-14 03:00:00,59.07,59.5,59.08,59.4,480.89,28547.74
2017-10-14 04:00:00,59.06,59.46,59.4,59.46,326.23,19373.03
2017-10-14 05:00:00,58.6,59.46,59.46,58.74,505.69,29733.1
2017-10-14 06:00:00,58.38,58.8,58.74,58.77,502.89,29529.37
2017-10-14 07:00:00,58.43,58.77,58.77,58.72,432.78,25323.24
2017-10-14 08:00:00,58.72,59.6,58.72,59.6,589.42,35032.44
2017-10-14 09:00:00,59.6,60.0,59.6,59.89,1538.34,91945.36
2017-10-14 10:00:00,59.15,59.89,59.89,59.43,1835.1,109221.53
2017-10-14 11:00:00,59.43,61.28,59.43,60.57,6876.13,417647.49
2017-10-14 12:00:00,60.15,61.27,60.57,60.6,1219.99,74170.53
2017-10-14 13:00:00,60.6,61.0,60.6,60.7,1161.28,70537.53
2017-10-14 14:00:00,60.7,64.37,60.7,63.8,7524.0,475681.26
2017-10-14 15:00:00,63.0,67.0,63.8,66.0,10152.12,661226.43
2017-10-14 16:00:00,64.15,66.1,66.0,65.1,5542.47,361343.43
2017-10-14 17:00:00,64.67,65.99,65.1,64.67,1933.87,126369.62
2017-10-14 18:00:00,64.42,65.25,64.67,64.42,2052.94,132830.09
2017-10-14 19:00:00,63.68,65.0,64.42,63.7,2280.54,146694.92
2017-10-14 20:00:00,63.6,65.5,63.7,64.91,2059.39,132519.55
2017-10-14 21:00:00,64.02,65.4,64.91,65.05,1078.53,69688.69
2017-10-14 22:00:00,64.77,65.49,65.05,65.2,829.8,54121.57
2017-10-14 23:00:00,63.9,65.3,65.2,64.15,1223.77,78829.77
2017-10-15 00:00:00,63.65,64.98,64.15,64.31,2212.92,143310.03
2017-10-15 01:00:00,64.14,66.11,64.31,66.1,3479.42,228590.54
2017-10-15 02:00:00,66.1,68.28,66.1,67.5,10990.15,740328.07
2017-10-15 03:00:00,67.19,68.89,67.5,67.5,3753.43,255424.11
2017-10-15 04:00:00,67.06,68.33,67.5,67.25,2521.46,170998.13
2017-10-15 05:00:00,67.16,67.9,67.25,67.9,724.12,48844.65
2017-10-15 06:00:00,67.5,69.0,67.9,68.95,1618.02,110472.22
2017-10-15 07:00:00,68.8,70.0,68.95,69.0,9455.02,656833.71
2017-10-15 08:00:00,64.76,69.4,69.0,66.0,15223.12,1005549.64
2017-10-15 09:00:00,62.5,66.5,66.0,63.2,9839.16,629074.39
2017-10-15 10:00:00,61.59,64.9,63.2,64.89,12368.64,787738.45
2017-10-15 11:00:00,62.5,65.99,64.89,62.62,5248.19,335044.02
2017-10-15 12:00:00,62.5,64.6,62.62,63.8,3506.63,223028.92
2017-10-15 13:00:00,63.0,64.9,63.8,64.72,3218.95,204509.69
2017-10-15 14:00:00,63.6,64.84,64.72,64.8,948.29,61045.83
2017-10-15 15:00:00,63.5,65.0,64.8,63.99,3623.49,233176.16
2017-10-15 16:00:00,61.87,64.22,63.99,62.68,4279.97,267918.52
2017-10-15 17:00:00,62.1,63.01,62.68,62.35,1343.29,84309.86
2017-10-15 18:00:00,62.26,63.1,62.35,62.51,761.84,47766.44
2017-10-15 19:00:00,62.1,64.19,62.51,64.09,1726.63,109343.58
