datetime,low,high,open,close,volumefrom,volumeto
2017-10-07 22:00:00,51.64,52.8,51.88,52.8,2686.35,140981.27
2017-10-07 23:00:00,52.58,53.2,52.8,52.6,3715.41,196452.37
2017-10-08 00:00:00,52.6,52.83,52.6,52.6,412.32,21745.21
2017-10-08 01:00:00,52.6,52.87,52.6,52.66,291.18,15355.61
2017-10-08 02:00:00,52.39,52.78,52.66,52.39,510.82,26828.05
2017-10-08 03:00:00,52.3,52.76,52.39,52.65,118.85,6246.63
2017-10-08 04:00:00,52.4,52.75,52.65,52.63,357.95,18806.6
2017-10-08 05:00:00,52.43,52.69,52.63,52.52,62.7,3301.47
2017-10-08 06:00:00,52.41,52.7,52.52,52.67,265.93,13974.33
2017-10-08 07:00:00,52.42,52.69,52.67,52.63,419.67,22071.26
2017-10-08 08:00:00,52.49,52.7,52.63,52.61,1767.54,93092.57
2017-10-08 09:00:00,52.4,52.61,52.61,52.5,268.55,14093.88
2017-10-08 10:00:00,52.34,52.6,52.5,52.49,691.11,36263.03
2017-10-08 11:00:00,52.47,52.57,52.49,52.56,207.42,10899.57
2017-10-08 12:00:00,52.36,52.57,52.56,52.36,288.17,15111.09
2017-10-08 13:00:00,52.36,53.0,52.36,52.85,1280.96,67608.56
2017-10-08 14:00:00,52.76,53.47,52.85,53.36,4123.04,218755.51
2017-10-08 15:00:00,53.1,53.45,53.36,53.44,1538.36,81980.65
2017-10-08 16:00:00,53.32,54.3,53.44,54.2,3890.13,209730.08
2017-10-08 17:00:00,54.06,55.0,54.2,54.44,7035.89,383792.36
2017-10-08 18:00:00,54.0,54.49,54.44,54.26,2120.41,115080.48
2017-10-08 19:00:00,54.02,54.45,54.26,54.31,938.3,50841.97
2017-10-08 20:00:00,54.01,54.5,54.31,54.01,1447.7,78774.05
2017-10-08 21:00:00,53.75,54.09,54.01,54.0,1926.74,103926.1
2017-10-08 22:00:00,53.41,54.0,54.0,53.5,1603.0,85937.62
2017-10-08 23:00:00,53.4,53.68,53.5,53.4,1067.8,57159.89
2017-10-09 00:00:00,52.69,53.44,53.4,52.69,1791.9,94956.26
2017-10-09 01:00:00,52.69,53.49,52.69,53.15,969.3,51691.77
2017-10-09 02:00:00,52.83,53.24,53.15,52.83,1191.34,63118.62
2017-10-09 03:00:00,52.61,52.94,52.83,52.88,448.44,23682.31
2017-10-09 04:00:00,52.01,52.88,52.88,52.2,1962.5,102842.56
2017-10-09 05:00:00,52.15,52.71,52.2,52.71,1118.12,58637.57
2017-10-09 06:00:00,52.1,52.71,52.71,52.23,1248.16,65314.14
2017-10-09 07:00:00,52.0,52.23,52.23,52.01,747.56,38894.62
2017-10-09 08:00:00,51.74,52.22,52.01,51.89,578.01,30041.89
2017-10-09 09:00:00,51.55,52.0,51.89,52.0,467.92,24196.81
2017-10-09 10:00:00,51.91,52.17,52.0,51.91,315.76,16420.08
2017-10-09 11:00:00,51.74,52.16,51.91,51.98,390.89,20282.56
2017-10-09 12:00:00,51.75,52.0,51.98,51.77,291.96,15131.23
2017-10-09 13:00:00,51.77,52.09,51.77,51.99,1021.84,53052.38
2017-10-09 14:00:00,51.7,52.05,51.99,51.74,536.45,27845.49
2017-10-09 15:00:00,51.25,51.97,51.74,51.25,1619.63,83322.53
2017-10-09 16:00:00,50.52,51.3,51.25,50.56,1329.19,67630.48
2017-10-09 17:00:00,50.56,51.11,50.56,50.65,1564.99,79585.6
2017-10-09 18:00:00,48.34,50.76,50.65,48.4,5734.89,284002.65
2017-10-09 19:00:00,48.0,49.85,48.4,49.85,6837.11,333137.14
2017-10-09 20:00:00,49.4,50.35,49.85,50.0,3746.29,187286.5
2017-10-09 21:00:00,49.5,50.28,50.0,50.28,1870.41,93249.23
2017-10-09 22:00:00,50.12,50.56,50.28,50.12,1316.27,66192.27
2017-10-09 23:00:00,49.8,50.25,50.12,50.0,415.94,20815.38
2017-10-10 00:00:00,50.0,50.5,50.0,50.5,892.55,44747.17
2017-10-10 01:00:00,50.05,50.5,50.5,50.15,919.48,46131.38
2017-10-10 02:00:00,49.9,50.35,50.15,50.24,1072.32,53772.55
2017-10-10 03:00:00,50.11,50.88,50.24,50.53,886.85,44826.09
2017-10-10 04:00:00,50.35,50.87,50.53,50.35,385.34,19518.03
2017-10-10 05:00:00,50.29,50.78,50.35,50.63,2111.82,106857.31
2017-10-10 06:00:00,50.1,50.67,50.63,50.34,451.99,22748.35
2017-10-10 07:00:00,49.8,50.35,50.34,50.0,917.74,45957.09
2017-10-10 08:00:00,49.5,50.5,50.0,49.9,1442.02,72293.16
2017-10-10 09:00:00,49.82,50.24,49.9,50.17,677.19,33921.16
2017-10-10 10:00:00,49.98,50.4,50.17,50.25,1100.73,55242.17
2017-10-10 11:00:00,49.9,50.4,50.25,49.9,943.96,47511.47
2017-10-10 12:00:00,49.9,50.5,49.9,50.5,1590.91,79992.56
2017-10-10 13:00:00,50.4,51.7,50.5,51.7,4470.96,229068.07
2017-10-10 14:00:00,50.5,51.7,51.7,50.94,1296.52,65985.07
2017-10-10 15:00:00,50.57,50.98,50.94,50.84,1145.15,58242.65
2017-10-10 16:00:00,50.74,51.35,50.84,51.27,641.95,32730.51
2017-10-10 17:00:00,50.26,51.52,51.27,50.74,3271.84,167345.24
2017-10-10 18:00:00,50.6,50.87,50.74,50.6,1199.81,60925.98
2017-10-10 19:00:00,50.53,51.4,50.6,50.91,741.97,37740.14
2017-10-10 20:00:00,50.8,51.08,50.91,51.07,757.16,38509.86
2017-10-10 21:00:00,50.84,51.31,51.07,51.28,1202.31,61405.65
2017-10-10 22:00:00,50.5,51.3,51.28,50.6,970.86,49254.05
2017-10-10 23:00:00,50.18,50.72,50.6,50.58,403.54,20339.41
2017-10-11 00:00:00,50.58,51.0,50.58,50.84,705.33,35862.4
2017-10-11 01:00:00,50.52,50.95,50.84,50.65,418.89,21307.49
2017-10-11 02:00:00,50.5,50.84,50.65,50.58,569.98,28908.93
2017-10-11 03:00:00,50.18,50.59,50.58,50.47,161.74,8155.57
2017-10-11 04:00:00,50.16,50.49,50.47,50.38,309.33,15518.53
2017-10-11 05:00:00,50.38,50.72,50.38,50.57,568.34,28770.11
2017-10-11 06:00:00,50.32,50.57,50.57,50.36,235.21,11868.2
2017-10-11 07:00:00,50.36,50.72,50.36,50.41,555.04,28117.8
2017-10-11 08:00:00,50.39,50.64,50.41,50.59,405.64,20482.65
2017-10-11 09:00:00,50.36,50.59,50.59,50.39,235.52,11867.07
2017-10-11 10:00:00,50.36,50.61,50.39,50.61,287.05,14500.2
2017-10-11 11:00:00,50.38,50.61,50.61,50.5,887.1,44812.79
2017-10-11 12:00:00,50.31,50.57,50.5,50.33,237.07,11944.14
2017-10-11 13:00:00,50.25,50.48,50.33,50.29,302.26,15213.69
2017-10-11 14:00:00,50.29,50.48,50.29,50.48,739.86,37229.91
2017-10-11 15:00:00,50.29,51.08,50.48,51.08,12053.2,614604.0
2017-10-11 16:00:00,50.56,51.1,51.08,50.71,2298.18,117129.64
2017-10-11 17:00:00,50.56,51.0,50.71,50.6,2453.2,124866.23
2017-10-11 18:00:00,50.56,50.97,50.6,50.97,499.61,25322.97
2017-10-11 19:00:00,50.8,51.2,50.97,50.93,532.34,27160.03
2017-10-11 20:00:00,50.69,50.93,50.93,50.7,106.38,5403.38
2017-10-11 21:00:00,50.63,50.81,50.7,50.7,357.76,18162.53
2017-10-11 22:00:00,50.7,50.85,50.7,50.75,22.98,1167.39
2017-10-11 23:00:00,50.7,50.85,50.75,50.85,186.49,9458.41
2017-10-12 00:00:00,50.75,51.02,50.85,51.02,478.82,24368.41
2017-10-12 01:00:00,50.9,51.08,51.02,51.03,225.63,11508.2
2017-10-12 02:00:00,50.9,51.2,51.03,50.98,700.62,35802.38
2017-10-12 03:00:00,50.6,51.0,50.98,50.98,1818.29,92226.77
2017-10-12 04:00:00,50.87,51.12,50.98,50.94,263.55,13464.42
2017-10-12 05:00:00,50.9,51.2,50.94,51.1,611.47,31219.07
2017-10-12 06:00:00,50.85,51.1,51.1,51.0,978.45,49868.55
2017-10-12 07:00:00,50.88,51.48,51.0,51.44,1995.09,102152.88
2017-10-12 08:00:00,51.01,51.99,51.44,51.82,7055.4,363935.7
