datetime,low,high,open,close,volumefrom,volumeto
2017-10-07 22:00:00,90.8,92.35,90.8,92.35,165.05,15066.5
2017-10-07 23:00:00,91.7,92.5,92.35,91.8,85.5,7895.24
2017-10-08 00:00:00,91.16,92.13,91.8,91.3,34.11,3115.57
2017-10-08 01:00:00,91.3,92.16,91.3,91.31,19.11,1745.22
2017-10-08 02:00:00,91.31,91.76,91.31,91.76,4.93,452.08
2017-10-08 03:00:00,91.1,92.11,91.76,91.11,3.58,327.57
2017-10-08 04:00:00,91.11,91.74,91.11,91.21,24.31,2221.72
2017-10-08 05:00:00,91.1,91.21,91.21,91.21,2.6,237.14
2017-10-08 06:00:00,91.12,92.0,91.21,92.0,50.82,4670.67
2017-10-08 07:00:00,92.0,92.0,92.0,92.0,0.0,0.0
2017-10-08 08:00:00,91.21,92.0,92.0,91.21,6.73,613.88
2017-10-08 09:00:00,91.15,91.21,91.21,91.21,46.48,4237.79
2017-10-08 10:00:00,91.21,91.21,91.21,91.21,0.1241,11.32
2017-10-08 11:00:00,91.21,92.21,91.21,92.21,43.71,4022.79
2017-10-08 12:00:00,91.22,92.28,92.21,91.52,20.4,1876.77
2017-10-08 13:00:00,91.2,91.52,91.52,91.2,8.9,811.55
2017-10-08 14:00:00,91.2,92.02,91.2,91.35,31.28,2871.99
2017-10-08 15:00:00,91.25,91.45,91.35,91.45,18.08,1651.13
2017-10-08 16:00:00,91.15,91.61,91.45,91.15,230.13,21013.53
2017-10-08 17:00:00,91.0,91.15,91.15,91.0,29.33,2671.01
2017-10-08 18:00:00,90.0,91.0,91.0,90.09,39.04,3535.88
2017-10-08 19:00:00,90.09,90.82,90.09,90.82,20.03,1813.0
2017-10-08 20:00:00,90.09,90.82,90.82,90.09,17.45,1583.29
2017-10-08 21:00:00,90.09,90.7,90.09,90.25,35.52,3200.33
2017-10-08 22:00:00,90.0,90.81,90.25,90.53,75.96,6860.56
2017-10-08 23:00:00,90.0,91.46,90.53,90.67,109.19,9887.81
2017-10-09 00:00:00,88.98,90.67,90.67,88.98,165.26,14820.21
