datetime,low,high,open,close,volumefrom,volumeto
2017-10-07 22:00:00,91.0,92.34,91.0,92.34,318.81,29301.69
2017-10-07 23:00:00,91.5,92.49,92.34,91.5,1059.31,97513.38
2017-10-08 00:00:00,91.4,91.9,91.5,91.9,142.34,13053.95
2017-10-08 01:00:00,91.28,91.9,91.9,91.62,73.91,6764.18
2017-10-08 02:00:00,91.09,92.06,91.62,92.0,60.21,5519.24
2017-10-08 03:00:00,91.3,92.0,92.0,91.3,42.59,3901.44
2017-10-08 04:00:00,91.0,91.49,91.3,91.0,93.76,8538.89
2017-10-08 05:00:00,91.0,91.42,91.0,91.27,4.15,378.74
2017-10-08 06:00:00,91.27,91.89,91.27,91.53,50.56,4624.92
2017-10-08 07:00:00,91.39,91.99,91.53,91.39,76.99,7072.96
2017-10-08 08:00:00,91.18,91.49,91.39,91.4,25.68,2346.83
2017-10-08 09:00:00,91.4,91.71,91.4,91.4,368.64,33704.06
2017-10-08 10:00:00,91.4,92.07,91.4,92.07,166.2,15226.16
2017-10-08 11:00:00,92.0,92.29,92.07,92.28,245.85,22647.19
2017-10-08 12:00:00,91.36,92.28,92.28,91.36,241.44,22088.09
2017-10-08 13:00:00,90.99,91.72,91.36,91.24,226.38,20682.42
2017-10-08 14:00:00,91.23,92.0,91.24,91.23,172.34,15766.66
2017-10-08 15:00:00,91.02,91.8,91.23,91.04,122.32,11158.86
2017-10-08 16:00:00,90.97,91.44,91.04,91.23,616.67,56134.37
2017-10-08 17:00:00,90.67,91.49,91.23,91.15,194.22,17668.7
2017-10-08 18:00:00,90.09,91.15,91.15,90.4,303.21,27397.1
2017-10-08 19:00:00,90.09,90.92,90.4,90.12,144.77,13086.93
2017-10-08 20:00:00,90.12,90.85,90.12,90.12,112.65,10172.47
2017-10-08 21:00:00,90.06,90.69,90.12,90.06,155.62,14019.95
2017-10-08 22:00:00,90.01,90.96,90.06,90.2,478.0,43112.31
2017-10-08 23:00:00,90.0,90.97,90.2,90.0,296.8,26798.6
2017-10-09 00:00:00,88.69,90.0,90.0,88.69,798.75,71439.59
2017-10-09 01:00:00,88.69,89.43,88.69,89.43,22.11,1973.91
2017-10-09 02:00:00,89.0,89.65,89.43,89.3,266.72,23842.38
2017-10-09 03:00:00,89.3,89.72,89.3,89.3,50.58,4529.12
2017-10-09 04:00:00,88.88,89.31,89.3,88.88,143.2,12743.89
2017-10-09 05:00:00,88.6,89.49,88.88,89.49,137.77,12253.19
2017-10-09 06:00:00,88.6,89.49,89.49,88.73,375.57,33454.32
2017-10-09 07:00:00,88.59,89.21,88.73,88.59,57.65,5116.2
2017-10-09 08:00:00,88.32,89.22,88.59,88.38,136.92,12114.68
2017-10-09 09:00:00,88.38,89.09,88.38,89.04,13.05,1159.06
2017-10-09 10:00:00,88.78,89.49,89.04,89.04,71.47,6377.89
2017-10-09 11:00:00,89.04,90.25,89.04,90.25,286.86,25768.89
2017-10-09 12:00:00,89.78,90.39,90.25,89.78,363.55,32808.4
2017-10-09 13:00:00,89.5,90.22,89.78,89.5,54.82,4918.49
2017-10-09 14:00:00,89.43,89.98,89.5,89.43,8.77,787.15
2017-10-09 15:00:00,88.3,89.45,89.43,88.92,364.52,32319.4
2017-10-09 16:00:00,88.3,88.92,88.92,88.3,956.12,84423.41
2017-10-09 17:00:00,87.5,88.63,88.3,87.5,364.22,32086.85
2017-10-09 18:00:00,85.8,87.5,87.5,85.8,1020.14,88093.31
2017-10-09 19:00:00,83.3,87.0,85.8,86.5,1481.37,126176.48
2017-10-09 20:00:00,85.5,87.67,86.5,87.49,1093.25,95054.37
2017-10-09 21:00:00,86.13,87.49,87.49,87.11,205.18,17832.79
2017-10-09 22:00:00,85.86,87.11,87.11,86.36,426.03,36848.27
