datetime,low,high,open,close,volumefrom,volumeto
2017-10-07 22:00:00,250.67,256.49,251.92,256.49,593.28,150814.39
2017-10-07 23:00:00,253.57,266.29,256.49,253.57,2437.06,633741.42
2017-10-08 00:00:00,253.57,256.86,253.57,255.0,336.28,85782.83
2017-10-08 01:00:00,253.13,255.71,255.0,255.14,305.94,77774.0
2017-10-08 02:00:00,253.0,255.14,255.14,253.86,123.88,31411.02
2017-10-08 03:00:00,253.79,257.0,253.86,256.41,146.68,37478.28
2017-10-08 04:00:00,254.11,256.41,256.41,254.17,86.02,21963.18
2017-10-08 05:00:00,254.17,256.47,254.17,255.56,224.1,57358.7
2017-10-08 06:00:00,254.17,256.39,255.56,256.0,164.89,42063.77
2017-10-08 07:00:00,255.09,257.07,256.0,255.1,303.45,77722.77
2017-10-08 08:00:00,253.77,255.75,255.1,253.78,221.88,56495.67
2017-10-08 09:00:00,253.64,255.17,253.78,253.99,369.54,93927.64
2017-10-08 10:00:00,253.99,255.88,253.99,255.2,219.23,55960.71
2017-10-08 11:00:00,254.36,257.72,255.2,254.36,1325.11,339156.27
2017-10-08 12:00:00,253.65,256.5,254.36,254.0,431.38,109818.84
2017-10-08 13:00:00,252.2,257.0,254.0,252.5,541.36,137315.95
2017-10-08 14:00:00,250.39,253.81,252.5,250.77,844.68,212870.86
2017-10-08 15:00:00,249.52,251.81,250.77,251.22,491.06,122951.87
2017-10-08 16:00:00,247.0,251.55,251.22,248.7,686.19,170932.15
2017-10-08 17:00:00,246.2,248.78,248.7,247.0,637.45,157547.49
2017-10-08 18:00:00,246.35,249.5,247.0,247.21,363.32,90127.41
2017-10-08 19:00:00,244.73,248.6,247.21,244.73,671.83,165326.67
2017-10-08 20:00:00,244.34,246.32,244.73,244.83,604.01,148294.48
2017-10-08 21:00:00,244.28,247.18,244.83,247.14,390.52,95889.69
2017-10-08 22:00:00,240.9,247.14,247.14,241.71,798.61,193800.48
2017-10-08 23:00:00,240.91,243.76,241.71,242.15,408.64,98940.27
2017-10-09 00:00:00,240.61,244.92,242.15,241.87,565.4,136991.15
2017-10-09 01:00:00,241.13,242.76,241.87,242.74,235.89,57097.9
2017-10-09 02:00:00,240.0,242.74,242.74,240.14,565.84,136022.43
2017-10-09 03:00:00,237.8,241.1,240.14,240.6,635.22,152149.6
2017-10-09 04:00:00,235.0,240.87,240.6,238.0,1306.25,310201.0
2017-10-09 05:00:00,237.47,240.5,238.0,240.0,560.47,133961.03
2017-10-09 06:00:00,234.25,240.22,240.0,238.82,557.38,132173.15
2017-10-09 07:00:00,238.11,241.87,238.82,240.01,390.37,93969.55
