datetime,low,high,open,close,volumefrom,volumeto
2017-03-18,800.0,2000.0,1000.0,820.0,13.55,11207.44
2017-03-19,600.0,899.9,820.0,752.48,372.54,274706.36
2017-03-20,752.48,830.0,752.48,830.0,82.06,66667.61
2017-03-21,830.0,879.0,830.0,879.0,65.88,56000.43
2017-03-22,655.07,880.0,879.0,741.81,406.07,297996.74
2017-03-23,690.0,796.0,741.81,718.13,137.28,99249.06
2017-03-24,685.0,745.0,718.13,745.0,105.34,73916.4
2017-03-25,698.86,780.0,745.0,780.0,28.99,21283.65
2017-03-26,770.99,815.0,780.0,801.33,23.0,18347.02
2017-03-27,773.6,829.0,801.33,815.02,47.86,37743.88
2017-03-28,815.02,869.0,815.02,868.1,36.12,30769.06
2017-03-29,845.45,880.0,868.1,879.99,8.37,7234.33
2017-03-30,866.0,880.0,879.99,870.34,6.59,5792.47
2017-03-31,870.34,930.0,870.34,930.0,87.38,77957.45
2017-04-01,870.02,958.91,930.0,930.74,4.37,4068.85
2017-04-02,921.35,944.3,930.74,930.55,12.62,11864.61
2017-04-03,900.0,1004.3,930.55,1004.3,22.76,21821.83
2017-04-04,975.7,1014.3,1004.3,975.7,0.837,836.76
2017-04-05,970.01,1008.7,975.7,988.0,2.2,2188.93
2017-04-06,988.0,1089.0,988.0,1089.0,9.35,9622.92
2017-04-07,1033.0,1099.0,1089.0,1033.0,9.34,10085.43
2017-04-08,1033.0,1098.0,1033.0,1082.4,4.72,5116.68
2017-04-09,1076.8,1100.0,1082.4,1082.1,5.01,5456.67
2017-04-10,1082.1,1100.0,1082.1,1100.0,8.19,9004.41
2017-04-11,1065.0,1100.0,1100.0,1065.0,135.71,149202.11
2017-04-12,1065.0,1100.0,1065.0,1099.8,4.23,4651.55
2017-04-13,1031.0,1099.8,1099.8,1035.0,7.87,8484.93
2017-04-14,1035.0,1099.8,1035.0,1098.7,1.11,1216.86
2017-04-15,1040.0,1098.7,1098.7,1069.3,0.2826,305.98
2017-04-16,1069.3,1098.0,1069.3,1098.0,0.8168,896.84
2017-04-17,1061.0,1101.2,1098.0,1070.0,10.0,10937.51
2017-04-18,1061.0,1120.0,1070.0,1120.0,6.16,6773.73
2017-04-19,1075.0,1129.4,1120.0,1111.1,10.47,11602.65
2017-04-20,1101.9,1175.0,1111.1,1164.8,3.76,4247.03
2017-04-21,1141.1,1164.8,1164.8,1141.1,0.07197,82.35
2017-04-22,1141.1,1200.0,1141.1,1200.0,1.65,1949.9
2017-04-23,1182.0,1200.0,1200.0,1200.0,9.89,11861.03
2017-04-24,1185.0,1200.0,1200.0,1200.0,9.71,11653.58
2017-04-25,1186.2,1220.0,1200.0,1201.3,36.25,43515.86
2017-04-26,1201.3,1320.9,1201.3,1248.9,0.5566,696.33
2017-04-27,1220.0,1300.0,1248.9,1234.0,0.957,1185.25
2017-04-28,1172.3,1349.9,1234.0,1191.3,11.56,15158.38
2017-04-29,1191.3,1269.9,1191.3,1269.9,0.6954,840.25
2017-04-30,1209.4,1269.9,1269.9,1209.4,0.08204,99.39
2017-05-01,1209.4,1312.2,1209.4,1225.0,1.95,2385.46
2017-05-02,1189.4,1280.0,1225.0,1189.4,0.8471,1060.76
2017-05-03,1189.4,1340.3,1189.4,1340.0,1.37,1798.53
2017-05-04,1225.0,1393.2,1340.0,1303.0,6.53,8541.53
2017-05-05,1260.0,1499.9,1303.0,1493.1,0.29,393.89
2017-05-06,1231.0,1493.1,1493.1,1231.0,0.1753,234.97
2017-05-07,1231.0,1359.0,1231.0,1352.6,0.09138,120.64
2017-05-08,1300.2,1451.4,1352.6,1418.9,0.5678,786.63
2017-05-09,1417.0,1652.8,1418.9,1625.0,3.98,5935.57
2017-05-10,1500.0,1625.0,1625.0,1511.0,1.5,2317.65
2017-05-11,1511.0,2400.0,1511.0,1600.1,25.68,44693.65
2017-05-12,1560.0,1774.0,1600.1,1560.0,0.8978,1464.76
2017-05-13,1330.0,1599.9,1560.0,1599.9,0.2,275.0
2017-05-14,1599.0,1599.9,1599.9,1599.0,0.05,79.95
2017-05-15,1500.1,1599.0,1599.0,1500.1,0.05996,90.47
2017-05-16,1500.1,1747.7,1500.1,1747.7,0.02192,35.84
2017-05-17,1433.2,1749.4,1747.7,1749.4,4.77,7330.44
2017-05-18,1580.0,1750.0,1749.4,1750.0,0.1498,253.56
2017-05-19,1583.0,1787.6,1750.0,1787.6,0.1644,290.27
2017-05-20,1668.0,1820.0,1787.6,1820.0,0.09,162.28
2017-05-21,1753.0,1820.0,1820.0,1753.0,0.1,175.3
2017-05-22,1753.0,1999.0,1753.0,1999.0,1.42,2735.03
2017-05-23,1999.0,2000.0,1999.0,2000.0,0.73,1460.0
2017-05-24,2000.0,2200.0,2000.0,2200.0,0.21,435.42
2017-05-25,2013.0,2400.0,2200.0,2013.0,3.41,7331.84
2017-05-26,1345.0,2013.0,2013.0,1345.0,0.07,133.6
2017-05-27,1345.0,1500.0,1345.0,1500.0,0.05,75.0
