datetime,low,high,open,close,volumefrom,volumeto
2017-08-01,176.0,490.0,176.0,440.0,4060.31,1354916.25
2017-08-02,400.0,1470.0,440.0,767.0,20094.19,14867681.71
2017-08-03,380.0,935.0,767.0,485.0,9677.36,6099188.37
2017-08-04,222.22,499.0,485.0,222.22,15034.2,4556484.98
2017-08-05,188.0,273.0,222.22,200.0,17337.93,3851943.21
2017-08-06,189.5,222.37,200.0,216.01,10681.52,2177092.86
2017-08-07,216.01,399.88,216.01,324.1,35113.95,10170389.05
2017-08-08,305.0,387.5,324.1,342.99,23819.79,8239500.12
2017-08-09,290.0,350.88,342.99,299.0,13015.53,4181993.49
2017-08-10,270.02,314.0,299.0,274.0,10817.8,3136000.95
2017-08-11,270.06,357.99,274.0,328.5,14303.61,4575587.73
2017-08-12,311.0,345.0,328.5,316.37,4534.47,1474460.64
2017-08-13,292.5,319.0,316.37,294.5,4471.31,1372010.77
2017-08-14,291.0,332.0,294.5,298.94,5981.93,1864200.48
2017-08-15,286.0,308.0,298.94,298.0,3830.4,1135158.98
2017-08-16,288.0,310.0,298.0,298.0,3030.22,906663.58
2017-08-17,294.2,450.0,298.0,442.0,16247.15,6116027.92
2017-08-18,452.0,799.14,522.0,673.66,32429.52,19509745.19
2017-08-19,603.13,935.5,673.66,739.8,32424.34,25701243.29
2017-08-20,677.77,850.0,739.8,722.44,11893.96,9134451.98
2017-08-21,560.0,750.0,722.44,603.99,11810.8,7481470.92
2017-08-22,561.74,736.96,603.99,682.0,16157.47,10795357.38
2017-08-23,650.0,711.84,682.0,675.0,4566.9,3050192.61
2017-08-24,601.0,699.0,675.0,625.0,4966.93,3221060.75
2017-08-25,612.0,665.0,625.0,632.0,2623.45,1668495.49
2017-08-26,614.0,639.0,632.0,615.8,1069.02,667658.13
2017-08-27,581.65,652.0,615.8,623.0,3297.68,2020689.3
2017-08-28,587.79,626.51,623.0,591.8,1910.29,1143951.27
2017-08-29,523.0,598.51,591.8,548.04,3977.22,2248559.43
2017-08-30,530.76,610.05,548.04,582.0,3647.89,2076591.63
2017-08-31,570.1,609.87,582.0,590.0,2218.86,1317684.93
2017-09-01,586.1,655.0,590.0,626.0,3164.47,1965342.33
2017-09-02,535.0,642.16,626.0,570.43,5224.05,3052314.89
2017-09-03,555.0,620.91,570.43,603.6,3661.73,2167773.17
2017-09-04,450.0,615.0,603.6,511.0,5651.86,3038907.26
2017-09-05,463.28,560.88,511.0,545.17,5079.25,2626982.39
2017-09-06,538.5,660.0,545.17,648.0,7794.28,4802301.01
2017-09-07,603.25,722.0,648.0,668.5,8337.28,5587542.02
2017-09-08,538.2,697.5,668.5,600.0,9880.32,6039653.54
2017-09-09,560.88,609.0,600.0,585.06,1724.89,1014496.98
2017-09-10,520.1,587.0,585.06,556.9,2955.04,1640403.03
2017-09-11,551.0,591.01,556.9,559.96,2031.51,1148511.77
2017-09-12,523.0,580.0,559.96,532.0,3203.36,1768583.83
2017-09-13,470.5,539.33,532.0,503.57,4385.69,2211355.86
2017-09-14,380.36,516.0,503.57,381.03,6965.47,3029251.46
2017-09-15,301.1,456.5,381.03,428.9,16658.58,6616845.39
2017-09-16,401.0,473.1,428.9,440.65,6605.0,2878258.26
2017-09-17,409.0,450.0,440.65,437.0,2688.85,1167286.39
2017-09-18,437.0,497.0,437.0,486.3,6488.81,3081118.09
2017-09-19,451.1,550.0,486.3,526.0,9095.01,4572236.04
2017-09-20,475.0,531.4,526.0,476.0,7981.29,4005502.7
2017-09-21,412.42,486.59,476.0,415.0,5708.61,2561933.54
2017-09-22,396.0,435.2,415.0,411.0,3596.55,1491410.68
2017-09-23,402.2,436.0,411.0,430.0,2315.12,979399.4
2017-09-24,416.13,433.2,430.0,420.0,1220.39,516244.94
2017-09-25,420.0,459.44,420.0,449.0,3764.89,1673515.81
2017-09-26,446.0,465.88,449.0,448.6,1326.25,603300.64
2017-09-27,443.0,468.6,448.6,464.0,3813.29,1740939.25
2017-09-28,443.25,484.0,464.0,458.9,6308.14,2921929.72
2017-09-29,428.5,460.0,458.9,440.0,4318.68,1910273.75
2017-09-30,434.62,454.32,440.0,436.5,3208.91,1428846.88
2017-10-01,416.0,442.0,436.5,417.61,3225.02,1381248.27
2017-10-02,411.0,431.89,417.61,421.53,4836.77,2046085.1
2017-10-03,393.0,421.53,421.53,400.97,2616.85,1057225.66
2017-10-04,351.0,403.3,400.97,355.51,5806.84,2175131.97
2017-10-05,342.1,369.3,355.51,356.5,4416.41,1568252.65
2017-10-06,352.69,374.5,356.5,362.82,3625.38,1332764.8
2017-10-07,355.3,367.76,362.82,360.01,745.14,269019.96
2017-10-08,336.1,364.0,360.01,342.84,3206.53,1135460.64
2017-10-09,283.1,345.0,342.84,311.86,6217.08,1922063.86
2017-10-10,307.0,351.0,311.86,318.0,4280.46,1407775.79
2017-10-11,310.0,321.27,318.0,314.0,1329.55,417876.7
2017-10-12,307.5,331.5,314.0,310.5,5324.75,1703271.53
2017-10-13,296.0,325.0,310.5,320.0,4221.52,1309565.33
2017-10-14,315.84,327.0,320.0,320.62,1735.12,556612.35
2017-10-15,307.0,323.6,320.62,314.99,2019.93,630943.96
2017-10-16,310.0,318.5,315.99,314.5,2259.65,713040.69
2017-10-17,309.0,430.0,314.5,371.0,16829.49,6162016.58
2017-10-18,305.89,375.0,371.0,338.16,7263.82,2470722.64
2017-10-19,323.0,339.3,338.16,330.16,1569.3,518358.54
2017-10-20,322.0,333.97,330.16,327.0,2001.32,655867.67
2017-10-21,313.25,327.7,327.0,323.0,1070.7,343396.26
2017-10-22,319.54,360.42,323.0,327.72,3234.93,1088375.0
2017-10-23,303.0,331.2,327.72,310.53,3085.25,968411.36
2017-10-24,300.1,336.8,310.53,322.0,4600.92,1492710.24
2017-10-25,316.0,329.87,322.0,328.6,2696.34,874360.0
2017-10-26,326.0,350.06,328.6,336.0,4839.0,1637657.2
2017-10-27,335.0,372.8,336.0,363.8,8818.45,3118986.55
2017-10-28,363.3,419.56,363.8,415.59,10416.14,4029233.62
2017-10-29,400.0,538.77,415.59,454.6,24314.48,11276861.63
2017-10-30,413.0,483.0,454.6,448.0,10640.18,4771481.15
2017-10-31,426.0,454.8,448.0,436.5,6173.13,2745913.78
2017-11-01,435.4,547.0,436.5,535.48,14642.87,7192485.73
2017-11-02,490.0,594.32,535.48,572.0,21676.68,11734771.89
2017-11-03,558.7,685.89,572.0,623.49,26629.11,17057297.71
2017-11-04,562.1,639.28,623.49,614.0,19066.33,11581869.04
2017-11-05,569.5,637.0,614.0,624.1,11942.19,7175243.78
2017-11-06,586.0,653.34,624.1,586.1,11154.48,6959151.72
2017-11-07,585.01,616.0,586.1,602.97,4876.88,2923945.27
2017-11-08,501.0,644.8,602.97,607.5,18588.14,11028879.67
2017-11-09,607.5,672.14,607.5,651.3,10054.4,6439856.56
2017-11-10,645.01,1055.0,651.3,1000.0,72680.0,63657746.64
2017-11-11,890.0,1422.8,1000.0,1329.26,73086.4,86869924.38
2017-11-12,1110.0,2492.24,1329.26,1360.0,169947.13,274051072.37
2017-11-13,1010.0,1512.37,1360.0,1342.08,64234.6,81140043.23
2017-11-14,1182.0,1380.0,1342.08,1254.74,21473.02,27489697.9
2017-11-15,1170.0,1319.51,1254.74,1182.0,15168.45,18697846.53
2017-11-16,866.97,1199.3,1182.0,910.0,29229.94,30057780.37
2017-11-17,856.32,1240.0,910.0,1179.8,36045.01,38806673.63
2017-11-18,1171.42,1369.99,1179.8,1243.36,27937.04,35661624.82
2017-11-19,1125.0,1260.0,1243.36,1177.5,13462.6,15940950.39
2017-11-20,1171.1,1250.0,1177.5,1246.0,7216.02,8658365.31
2017-11-21,1130.0,1246.0,1246.0,1168.0,7621.25,9030583.34
2017-11-22,1160.0,1351.0,1168.0,1295.2,13296.31,16980847.33
2017-11-23,1287.75,1670.0,1295.2,1666.0,27017.34,40758845.44
2017-11-24,1525.0,1769.7,1666.0,1622.0,20742.48,34441377.03
2017-11-25,1510.0,1640.05,1622.0,1529.78,10345.27,16324149.6
2017-11-26,1522.0,1729.0,1529.78,1704.0,10965.71,17763829.18
2017-11-27,1540.0,1718.0,1704.0,1584.0,11711.04,19046360.7
2017-11-28,1473.6,1596.94,1584.0,1484.66,11604.17,17833167.34
2017-11-29,1275.2,1646.52,1484.66,1335.0,27573.34,40902045.51
2017-11-30,1166.0,1420.0,1335.0,1328.66,12558.95,16119525.74
2017-12-01,1240.0,1445.0,1328.66,1420.0,8930.26,12148187.91
2017-12-02,1360.0,1470.0,1420.0,1393.38,4581.78,6488587.72
2017-12-03,1380.0,1620.0,1393.38,1514.98,14384.81,22196755.69
2017-12-04,1430.0,1550.0,1514.98,1542.0,5151.87,7736687.82
2017-12-05,1417.0,1584.9,1542.0,1426.5,6772.57,10176485.34
2017-12-06,1301.0,1480.0,1426.5,1340.0,7706.34,10784516.65
2017-12-07,1216.0,1357.0,1340.0,1220.0,8735.62,11112050.33
