datetime,low,high,open,close,volumefrom,volumeto
2017-12-20,3161.69,9500.0,9000.0,3746.84,79612.84,302352404.28
2017-12-21,2910.0,3749.96,3746.84,3162.53,72406.41,237755366.04
2017-12-22,1550.0,3231.44,3162.53,2719.99,104937.49,264649649.22
2017-12-23,2555.0,3499.77,2719.99,3160.0,66275.45,208508224.21
2017-12-24,2669.0,3164.99,3160.0,2919.99,29996.68,86990905.51
2017-12-25,2761.0,2965.81,2919.99,2835.01,12795.32,36629988.56
2017-12-26,2773.96,2949.0,2835.01,2928.04,15334.61,43773204.02
2017-12-27,2542.0,2938.01,2928.04,2719.69,15394.55,42111355.36
2017-12-28,2303.0,2723.8,2719.69,2493.19,21337.32,52885387.4
2017-12-29,2330.59,2888.0,2493.19,2658.51,20494.18,53851187.26
2017-12-30,2380.25,2672.0,2658.51,2450.0,5492.91,13714740.6
