datetime,low,high,open,close,volumefrom,volumeto
2017-08-14,200.0,750.0,600.0,300.49,13056.65,4152648.59
2017-08-15,289.0,310.0,300.49,297.9,6035.63,1797838.94
2017-08-16,286.8,309.1,297.9,299.15,3867.93,1148992.2
2017-08-17,292.0,457.0,299.15,445.1,43019.85,16967264.11
2017-08-18,436.0,779.11,445.1,694.0,124950.8,74997141.15
2017-08-19,602.0,972.5,694.0,744.0,125575.85,97597212.38
2017-08-20,676.0,850.0,744.0,726.9,52427.16,39974735.66
2017-08-21,562.03,751.0,726.9,605.5,50920.19,32693457.54
2017-08-22,565.12,735.0,605.5,680.0,41647.81,27674372.87
2017-08-23,650.0,713.1,680.0,675.0,18107.91,12136315.97
2017-08-24,600.2,698.0,675.0,620.0,17206.81,11110130.72
2017-08-25,611.18,667.0,620.0,632.01,11583.65,7369734.61
2017-08-26,611.5,638.4,632.01,622.0,5770.48,3602232.54
2017-08-27,580.2,653.0,622.0,615.0,17693.7,10849882.46
2017-08-28,586.7,624.0,615.0,592.9,7661.77,4603432.87
2017-08-29,519.0,595.74,592.9,543.92,16684.67,9385843.33
2017-08-30,528.79,613.0,543.92,580.99,18124.66,10298909.43
2017-08-31,568.2,609.0,580.99,590.11,11319.14,6716097.35
2017-09-01,586.0,648.88,590.11,627.24,12062.35,7468719.6
2017-09-02,550.91,646.0,627.24,571.25,14086.04,8358687.74
2017-09-03,557.56,623.31,571.25,609.9,12587.93,7504496.08
2017-09-04,490.52,611.14,609.9,517.54,16182.63,8813538.0
2017-09-05,464.29,560.0,517.54,547.0,10837.5,5602662.66
2017-09-06,539.78,660.0,547.0,642.59,19915.64,12246124.4
2017-09-07,604.12,720.0,642.59,669.85,23917.14,15907563.15
2017-09-08,556.0,699.3,669.85,608.9,23230.79,14435046.17
2017-09-09,565.0,609.77,608.9,584.53,8897.37,5234082.22
2017-09-10,523.0,588.0,584.53,558.58,12204.26,6779190.43
2017-09-11,550.3,592.0,558.58,555.1,7978.17,4541959.12
2017-09-12,530.0,578.8,555.1,536.1,8575.5,4762733.18
2017-09-13,465.9,538.0,536.1,508.21,15787.97,7890339.92
2017-09-14,300.0,515.6,508.21,388.01,16680.83,7336460.43
2017-09-15,300.0,454.84,388.01,429.65,35036.26,13864301.23
2017-09-16,410.0,473.04,429.65,441.84,16618.66,7304610.25
2017-09-17,407.56,451.5,441.84,439.97,6368.84,2751004.25
2017-09-18,439.97,496.0,439.97,486.01,11866.24,5639768.61
2017-09-19,455.0,549.0,486.01,530.0,22142.38,11098421.41
2017-09-20,475.37,530.0,530.0,476.0,17105.06,8554960.64
2017-09-21,412.1,485.0,476.0,414.36,13770.02,6226083.42
2017-09-22,396.0,434.72,414.36,408.0,9085.3,3732087.79
2017-09-23,402.95,436.0,408.0,430.0,4872.82,2055553.0
2017-09-24,416.0,434.5,430.0,421.57,2156.47,913923.29
2017-09-25,418.38,458.9,421.57,449.81,7153.33,3182549.0
2017-09-26,449.76,464.9,449.81,449.76,3378.48,1540926.33
2017-09-27,443.76,468.45,449.76,465.88,7086.03,3243235.73
2017-09-28,441.97,480.0,465.88,458.0,11597.39,5335128.04
2017-09-29,430.0,459.9,458.0,440.0,4795.41,2124322.33
2017-09-30,434.0,454.79,440.0,438.32,4217.1,1878571.49
2017-10-01,418.0,440.52,438.32,419.93,4471.66,1910658.79
2017-10-02,410.0,432.1,419.93,420.9,4985.76,2097874.26
2017-10-03,393.0,421.0,420.9,401.99,3080.62,1241232.19
2017-10-04,350.12,403.22,401.99,356.76,8679.0,3227074.09
2017-10-05,342.11,368.0,356.76,353.1,9094.16,3228493.5
2017-10-06,353.0,373.84,353.1,364.33,4542.08,1665466.37
2017-10-07,354.0,366.15,364.33,360.0,2780.69,1003857.98
2017-10-08,335.1,364.0,360.0,344.84,5361.46,1885133.03
2017-10-09,282.92,344.84,344.84,312.66,15387.06,4777764.22
2017-10-10,306.7,350.86,312.66,317.4,13214.97,4329038.31
2017-10-11,310.0,320.5,317.4,312.68,3294.16,1037576.76
2017-10-12,306.79,330.66,312.68,311.0,10614.99,3369762.35
2017-10-13,294.76,326.84,311.0,319.6,10702.3,3321669.28
2017-10-14,314.5,327.5,319.6,323.45,4825.43,1547533.63
2017-10-15,306.0,325.5,323.45,314.66,4363.39,1370148.53
2017-10-16,310.0,318.02,314.66,314.54,3181.53,1000179.24
2017-10-17,308.0,398.98,314.54,370.0,32013.24,11647260.79
2017-10-18,305.83,375.9,370.0,340.02,11264.39,3819291.73
2017-10-19,323.0,340.02,340.02,331.0,3332.26,1104828.8
2017-10-20,320.0,334.0,331.0,326.07,2489.18,817298.41
2017-10-21,312.69,328.34,326.07,323.15,2315.15,742341.41
2017-10-22,318.76,358.99,323.15,326.0,6883.68,2310527.05
2017-10-23,302.6,330.54,326.0,311.87,3172.92,996959.66
2017-10-24,302.39,336.61,311.87,322.0,4388.99,1427064.69
2017-10-25,315.49,331.0,322.0,330.0,1932.88,629893.41
2017-10-26,327.05,350.66,330.0,336.0,6189.92,2095345.42
2017-10-27,334.53,373.61,336.0,362.51,9528.53,3403555.53
2017-10-28,362.51,420.5,362.51,417.24,18544.32,7198241.52
2017-10-29,399.1,522.7,417.24,453.17,47494.73,21999805.1
2017-10-30,415.1,482.04,453.17,446.0,17014.17,7656239.24
2017-10-31,424.64,455.0,446.0,435.11,8015.27,3542653.04
2017-11-01,434.1,546.77,435.11,534.25,27565.54,13558468.14
2017-11-02,495.0,594.0,534.25,572.0,44936.47,24412201.63
2017-11-03,557.0,686.0,572.0,622.52,37419.71,23924681.93
2017-11-04,560.0,638.2,622.52,611.93,27537.37,16753959.8
2017-11-05,570.0,637.8,611.93,625.0,19507.85,11782129.5
2017-11-06,585.95,651.0,625.0,587.0,20946.46,12967385.05
2017-11-07,585.84,617.57,587.0,604.98,8435.2,5078289.0
2017-11-08,522.83,643.0,604.98,617.9,22864.57,13703153.24
2017-11-09,613.0,670.0,617.9,641.0,14294.7,9062619.13
2017-11-10,638.91,1034.0,641.0,1019.0,97866.83,84273279.54
2017-11-11,890.0,1499.32,1019.0,1326.0,90466.33,106569208.19
2017-11-12,1153.0,2860.0,1326.0,1367.71,151452.37,246663664.39
2017-11-13,1005.33,1500.0,1367.71,1347.0,76296.38,95827014.92
2017-11-14,1186.16,1379.73,1347.0,1246.0,23669.01,30276607.3
2017-11-15,1167.0,1320.26,1246.0,1181.0,20657.17,25538391.55
2017-11-16,866.67,1193.8,1181.0,906.0,38300.23,39449266.32
2017-11-17,856.0,1219.98,906.0,1178.0,43649.39,46953906.41
2017-11-18,1171.0,1373.0,1178.0,1240.18,40888.97,52258952.06
2017-11-19,1129.0,1259.0,1240.18,1181.21,17470.52,20703099.36
2017-11-20,1171.0,1253.85,1181.21,1245.0,9157.14,11010906.7
2017-11-21,1144.0,1245.5,1245.0,1170.0,13925.23,16548076.89
2017-11-22,1165.0,1345.0,1170.0,1296.0,21009.84,26726018.92
2017-11-23,1292.15,1670.0,1296.0,1660.0,43102.47,64500290.15
2017-11-24,1525.61,1757.0,1660.0,1619.66,31391.34,52149270.07
2017-11-25,1506.23,1641.83,1619.66,1545.93,18522.12,29287124.63
2017-11-26,1525.0,1730.0,1545.93,1717.03,16408.92,26601049.02
2017-11-27,1553.0,1724.9,1717.03,1584.27,15756.44,25760952.83
2017-11-28,1470.0,1594.5,1584.27,1482.0,15663.6,24074961.75
2017-11-29,1280.0,1635.15,1482.0,1335.0,39183.01,57793877.43
2017-11-30,1163.0,1418.0,1335.0,1317.51,19187.02,24706834.97
2017-12-01,1239.93,1450.0,1317.51,1418.0,13048.2,17637610.37
2017-12-02,1365.47,1469.0,1418.0,1391.5,8982.71,12746140.36
