datetime,low,high,open,close,volumefrom,volumeto
2015-12-12,420.0,420.0,420.0,420.0,0.0003038,0.1276
2015-12-13,420.0,420.0,420.0,420.0,0.0,0.0
2015-12-14,420.0,420.0,420.0,420.0,0.0,0.0
2015-12-15,420.0,450.0,420.0,450.0,0.4015,180.09
2015-12-16,450.0,470.0,450.0,451.0,0.07427,34.14
2015-12-17,451.0,451.0,451.0,451.0,0.0,0.0
2015-12-18,459.0,459.0,459.0,459.0,1.181e-05,0.005421
2015-12-19,451.0,459.0,459.0,451.0,0.0102,4.6
2015-12-20,450.0,450.0,450.0,450.0,0.01392,6.26
2015-12-21,450.0,450.0,450.0,450.0,0.0,0.0
2015-12-22,450.0,450.0,450.0,450.0,0.0,0.0
2015-12-23,450.0,450.0,450.0,450.0,0.0,0.0
2015-12-24,450.0,450.0,450.0,450.0,0.0,0.0
2015-12-25,450.0,450.0,450.0,450.0,0.0,0.0
2015-12-26,430.0,440.0,440.0,430.0,0.004499,1.94
2015-12-27,430.0,430.0,430.0,430.0,0.0,0.0
2015-12-28,430.0,430.0,430.0,430.0,0.0,0.0
2015-12-29,325.61,424.04,400.0,424.04,0.2752,104.24
2015-12-30,424.87,430.71,424.87,429.1,0.06513,27.75
2015-12-31,429.1,429.1,429.1,429.1,0.0,0.0
2016-01-01,430.23,430.23,430.23,430.23,0.003129,1.35
2016-01-02,407.48,430.23,430.23,407.48,6.519e-05,0.02656
2016-01-03,407.48,407.48,407.48,407.48,0.0,0.0
2016-01-04,415.51,429.91,429.91,429.91,0.2751,118.26
2016-01-05,404.71,429.91,429.91,411.94,0.01158,4.73
2016-01-06,411.94,411.94,411.94,411.94,0.0,0.0
2016-01-07,435.5,445.0,444.4,435.5,0.04205,18.68
2016-01-08,435.5,435.5,435.5,435.5,0.0,0.0
2016-01-09,448.5,448.5,448.5,448.5,0.2373,106.44
2016-01-10,441.52,449.36,449.36,442.97,0.1541,68.34
2016-01-11,442.97,450.69,442.97,446.8,0.008453,3.78
2016-01-12,441.9,442.86,441.97,442.86,1.05,462.8
2016-01-13,400.53,442.86,442.86,436.92,1.95,819.02
2016-01-14,428.53,432.66,432.66,428.53,0.2144,91.94
2016-01-15,375.48,428.14,426.66,375.48,3.36,1332.7
2016-01-16,362.93,397.59,375.48,397.59,3.95,1467.17
2016-01-17,360.0,365.0,360.0,365.0,0.00095,0.345
2016-01-18,370.0,393.0,370.0,393.0,0.0309,11.92
2016-01-19,383.0,387.0,387.0,383.0,0.001302,0.4988
2016-01-20,393.0,414.99,393.0,409.72,0.02464,9.93
2016-01-21,365.0,448.0,409.72,403.88,0.3357,144.58
2016-01-22,403.88,403.88,403.88,403.88,0.0,0.0
2016-01-23,403.88,403.88,403.88,403.88,0.0,0.0
2016-01-24,403.88,403.88,403.88,403.88,0.0501,20.24
2016-01-25,403.88,403.88,403.88,403.88,0.0,0.0
2016-01-26,403.88,403.88,403.88,403.88,0.0,0.0
2016-01-27,398.5,401.67,400.88,398.5,0.267,106.72
2016-01-28,367.98,388.74,388.74,376.46,0.2213,83.03
