datetime,low,high,open,close,volumefrom,volumeto
2017-10-24,56.0,200.01,154.0,105.13,77153.02,9943982.54
2017-10-25,85.9,136.44,105.13,110.0,55892.9,6369052.62
2017-10-26,105.03,125.14,110.0,114.77,30127.89,3426194.3
2017-10-27,99.26,117.2,114.77,102.0,21834.42,2324305.97
2017-10-28,87.2,105.0,102.0,97.04,12893.4,1231275.75
2017-10-29,96.41,116.68,97.04,115.0,23349.63,2535569.8
2017-10-30,108.3,117.39,115.0,111.66,12971.42,1459570.42
2017-10-31,111.66,155.0,111.66,149.0,64572.67,8777439.33
2017-11-01,127.61,152.71,149.0,130.0,49147.56,6920112.45
2017-11-02,111.48,137.02,130.0,120.0,30313.69,3731678.01
2017-11-03,115.11,129.5,120.0,120.2,20577.09,2484154.29
2017-11-04,118.2,139.43,120.2,137.52,23258.56,3041050.54
2017-11-05,134.3,174.49,137.52,164.42,50359.85,7930560.79
2017-11-06,141.1,168.57,164.42,145.0,27013.92,4213429.32
2017-11-07,142.2,160.0,145.0,151.4,14972.02,2259687.46
2017-11-08,125.55,157.0,151.4,131.07,38440.63,5378255.23
2017-11-09,128.4,153.6,131.07,151.3,32991.07,4625611.98
2017-11-10,140.0,194.9,151.3,190.0,73395.85,12149181.58
2017-11-11,184.1,478.0,190.0,400.0,139447.15,42531537.59
2017-11-12,235.0,437.98,400.0,252.91,98740.19,32578124.9
2017-11-13,182.0,282.04,252.91,240.0,71064.95,16871688.77
2017-11-14,160.0,247.0,240.0,173.69,59196.98,11997742.94
2017-11-15,160.0,194.0,173.69,163.6,48191.51,8384247.43
2017-11-16,151.0,198.26,163.6,154.8,48633.64,8566782.46
2017-11-17,152.68,173.0,154.8,162.91,32317.53,5266727.79
2017-11-18,162.7,180.3,162.91,176.21,29481.44,5110030.66
2017-11-19,160.0,178.0,176.21,163.99,23524.24,3957526.76
2017-11-20,150.0,235.0,163.99,195.9,41892.3,6934393.91
2017-11-21,181.74,260.05,195.9,252.0,122438.75,28187600.3
2017-11-22,216.5,258.8,252.0,233.2,40278.13,9541711.84
2017-11-23,232.8,294.57,233.2,284.5,73987.41,19856264.85
2017-11-24,274.55,411.99,284.5,392.3,130678.15,45833047.0
2017-11-25,319.5,394.4,392.3,357.05,77948.13,28766910.34
2017-11-26,357.04,357.05,357.05,357.05,1.9,676.72
2017-11-27,346.08,393.0,357.05,361.91,57197.22,21068663.97
2017-11-28,321.5,367.0,361.91,329.4,37338.29,12831891.76
2017-11-29,277.0,345.0,329.4,287.0,70465.53,22012782.94
2017-11-30,254.0,305.5,287.0,286.2,47431.95,13286176.56
2017-12-01,272.01,307.83,286.2,299.55,40418.46,11680427.41
2017-12-02,280.68,305.89,299.55,286.34,24086.29,6991779.38
2017-12-03,281.0,338.7,286.34,303.0,60686.38,19038762.86
2017-12-04,292.88,324.0,303.0,311.04,32209.24,9887867.41
2017-12-05,271.0,312.03,311.04,275.0,32767.33,9671144.89
2017-12-06,240.99,311.0,275.0,256.26,44125.73,11740650.48
2017-12-07,212.51,264.0,256.26,214.5,43684.53,10317359.83
2017-12-08,208.98,249.89,214.5,240.0,59593.63,13997963.72
2017-12-09,220.0,249.36,240.0,230.32,44177.89,10375155.75
2017-12-10,189.86,240.0,230.32,219.89,61525.42,13079828.07
2017-12-11,219.1,277.79,219.89,245.78,93140.32,23099731.16
2017-12-12,242.94,294.97,245.78,269.93,57448.46,14965559.03
2017-12-13,240.0,298.14,269.93,265.26,94877.4,25667305.35
2017-12-14,262.71,347.38,265.26,305.0,102475.03,31584287.67
2017-12-15,262.5,307.8,305.0,288.5,42516.73,12066025.5
2017-12-16,282.01,305.0,288.5,286.31,27505.31,8052308.73
2017-12-17,283.7,300.0,286.31,289.8,28266.31,8259128.38
2017-12-18,267.2,326.92,289.8,311.06,71808.87,21444247.44
2017-12-19,289.09,344.8,311.06,316.99,74153.76,23032250.98
2017-12-20,294.01,422.79,316.99,390.0,134078.84,50976647.97
2017-12-21,319.99,394.59,390.0,341.95,72236.71,25937622.64
2017-12-22,193.45,349.9,341.95,250.09,83194.94,21744198.01
2017-12-23,246.46,296.98,250.09,263.68,26970.2,7367358.97
2017-12-24,216.03,292.9,263.68,256.43,49440.84,12145604.68
2017-12-25,247.0,290.0,256.43,266.87,27283.14,7231505.97
2017-12-26,255.3,280.18,266.87,274.92,29642.05,7829609.74
2017-12-27,260.0,296.22,274.92,270.09,28571.81,7923933.99
2017-12-28,225.14,271.31,270.09,247.57,20485.54,4994728.27
2017-12-29,240.04,274.9,247.57,253.43,31236.3,8039567.87
2017-12-30,226.86,256.14,253.43,238.0,11371.45,2693642.48
