datetime,low,high,open,close,volumefrom,volumeto
2017-07-22,186.0,199.0,186.0,196.14,310.87,60299.8
2017-07-23,186.15,199.98,196.14,192.0,624.61,121709.36
2017-07-24,191.0,219.0,192.0,208.47,682.45,142505.69
2017-07-25,181.87,213.47,208.47,196.23,1006.71,197379.76
2017-07-26,184.0,200.0,196.23,191.97,660.41,127306.8
2017-07-27,190.0,199.01,191.97,194.0,271.38,52727.07
2017-07-28,177.1,197.76,194.0,185.0,250.24,46335.98
2017-07-29,168.0,186.02,185.0,185.0,741.92,130077.45
2017-07-30,170.13,188.0,185.0,172.81,624.3,109266.32
2017-07-31,170.51,180.0,172.81,176.28,991.49,172415.76
2017-08-01,171.6,187.05,176.28,184.62,1450.87,259744.34
2017-08-02,180.46,186.76,184.62,183.7,479.58,87601.22
2017-08-03,178.0,190.8,183.7,187.0,1065.88,196349.91
2017-08-04,185.64,191.0,187.0,186.5,315.41,59283.72
2017-08-05,184.58,199.0,186.5,194.5,1814.42,349023.17
2017-08-06,187.6,194.52,194.5,191.16,852.36,163746.99
2017-08-07,187.6,198.5,191.16,197.2,916.85,177892.4
2017-08-08,194.01,206.0,197.2,205.41,940.74,187287.3
2017-08-09,192.08,207.0,205.41,198.0,1050.14,208669.68
2017-08-10,195.0,205.67,198.0,200.01,538.85,108761.47
2017-08-11,198.0,209.0,200.01,205.0,1021.27,207714.6
2017-08-12,200.0,210.03,205.0,205.0,665.36,136723.03
2017-08-13,190.97,206.71,205.0,196.0,1333.29,265446.35
2017-08-14,195.25,203.4,196.0,197.8,1303.35,258618.63
2017-08-15,186.0,204.35,197.8,203.48,711.06,139218.79
2017-08-16,197.65,238.25,203.48,232.1,2719.46,601108.34
2017-08-17,227.64,264.57,232.1,231.11,2918.41,723415.35
2017-08-18,216.0,239.7,232.0,222.0,1175.86,271690.72
2017-08-19,221.25,350.52,222.0,288.1,4924.41,1439620.22
2017-08-20,282.3,319.11,288.1,295.52,1604.22,485013.85
2017-08-21,275.5,301.0,295.52,280.91,497.02,141314.72
2017-08-22,260.0,304.0,280.91,295.97,2138.09,611738.03
2017-08-23,287.0,297.69,295.97,293.4,832.45,242071.22
2017-08-24,290.07,313.25,293.4,313.25,1040.28,314309.04
2017-08-25,308.0,322.0,313.25,315.7,727.59,228626.27
2017-08-26,310.97,410.5,315.7,399.0,2520.69,930004.64
2017-08-27,354.5,399.0,399.0,360.08,702.28,263457.26
2017-08-28,347.51,375.0,360.08,358.61,668.0,238934.82
2017-08-29,351.76,369.91,358.61,361.52,1002.32,361496.98
2017-08-30,358.0,377.98,361.52,373.0,440.04,161905.49
2017-08-31,368.5,382.14,373.0,382.14,453.57,169464.77
2017-09-01,375.0,396.11,382.14,394.0,1068.49,411602.71
2017-09-02,312.25,400.0,394.0,347.99,2793.0,980813.33
2017-09-03,335.89,373.7,347.99,353.15,1033.88,365402.09
2017-09-04,291.0,357.01,353.15,310.94,2459.79,790753.01
2017-09-05,275.88,334.32,310.94,327.73,1576.5,488442.15
2017-09-06,321.27,353.0,327.73,349.37,1398.7,470020.46
2017-09-07,331.27,352.0,349.37,347.89,469.15,160809.07
2017-09-08,304.46,371.8,347.89,329.99,3345.12,1112538.5
2017-09-09,313.0,334.0,329.99,326.0,432.69,139595.34
2017-09-10,295.0,330.62,326.0,321.27,1467.13,451786.37
2017-09-11,314.3,334.23,321.27,319.0,1388.91,445990.21
2017-09-12,314.56,331.0,319.0,328.0,648.25,209449.26
2017-09-13,282.0,328.0,328.0,304.82,1638.93,487840.97
2017-09-14,234.73,304.82,304.82,234.73,3194.48,835657.82
2017-09-15,219.08,300.5,234.73,285.11,4165.73,1094772.47
2017-09-16,275.0,305.0,285.11,297.17,1618.0,472068.15
2017-09-17,275.26,318.25,297.17,308.74,1042.78,314415.69
