datetime,low,high,open,close,volumefrom,volumeto
2017-07-01,1.06,1.65,1.5,1.14,214636.57,287761.23
2017-07-02,0.9406,3.3,1.14,2.91,2671308.46,5030766.82
2017-07-03,2.41,5.48,2.91,4.02,3291282.55,13690188.3
2017-07-04,2.55,4.2,4.02,3.12,3782379.14,12411215.52
2017-07-05,2.6,3.31,3.12,2.83,1953777.03,5633285.0
2017-07-06,2.82,3.53,2.83,3.25,2297424.38,7503183.57
2017-07-07,2.6,3.32,3.25,2.66,2013861.37,5697200.37
2017-07-08,2.01,2.76,2.66,2.4,2988652.4,7047325.22
2017-07-09,2.12,2.55,2.4,2.21,1854079.7,4264888.13
2017-07-10,1.23,2.28,2.21,1.6,3551703.45,6596473.76
2017-07-11,1.36,1.78,1.6,1.5,4884372.9,7535384.35
2017-07-12,1.4,2.05,1.5,1.99,2894801.08,4969172.02
2017-07-13,1.6,1.99,1.99,1.64,1585475.9,2797482.89
2017-07-14,1.45,1.7,1.64,1.52,1767454.88,2736935.68
2017-07-15,1.29,1.53,1.52,1.3,2502381.76,3418762.14
2017-07-16,1.13,1.33,1.3,1.24,2359833.74,2892612.16
2017-07-17,1.22,1.58,1.24,1.56,2924505.33,4074137.91
2017-07-18,1.46,1.73,1.56,1.65,2462716.68,3975965.77
2017-07-19,1.45,1.77,1.65,1.49,2213771.18,3553829.75
2017-07-20,1.49,1.75,1.49,1.72,1615707.3,2697716.61
2017-07-21,1.67,2.0,1.72,1.8,1959637.76,3598664.7
2017-07-22,1.77,2.1,1.8,2.03,1694044.01,3292225.64
2017-07-23,1.8,2.14,2.03,1.93,2127861.42,4167041.32
2017-07-24,1.8,1.99,1.93,1.88,1375837.28,2597125.2
2017-07-25,1.55,1.9,1.88,1.65,1866393.29,3089567.89
2017-07-26,1.48,1.71,1.65,1.7,1804972.91,2849268.03
2017-07-27,1.69,1.98,1.7,1.92,1676507.32,3038167.79
2017-07-28,1.8,1.99,1.92,1.81,1561020.56,2958323.18
2017-07-29,1.6,1.87,1.81,1.83,1730520.17,2996705.33
2017-07-30,1.67,1.85,1.83,1.78,865246.52,1526050.1
2017-07-31,1.63,1.78,1.78,1.7,1221616.88,2090179.7
2017-08-01,1.65,1.81,1.7,1.78,1804711.81,3154269.85
2017-08-02,1.67,1.8,1.78,1.74,1217172.56,2137276.03
2017-08-03,1.7,1.78,1.74,1.78,733369.87,1288383.08
2017-08-04,1.74,1.84,1.78,1.76,1143064.18,2041745.27
