datetime,low,high,open,close,volumefrom,volumeto
2016-07-27,1.32,1.65,1.32,1.6,44228.88,66886.93
2016-07-28,1.36,2.0,1.65,1.72,606786.34,1050666.05
2016-07-29,1.55,1.8,1.72,1.66,481680.53,799244.91
2016-07-30,1.54,1.71,1.64,1.58,218901.37,353452.34
2016-07-31,1.56,1.93,1.59,1.81,579851.12,1038925.71
2016-08-01,1.78,2.33,1.78,2.3,1041728.63,2174803.25
2016-08-02,2.3,2.95,2.38,2.85,1769054.19,4664507.39
2016-08-03,2.85,2.85,2.85,2.85,0.0,0.0
2016-08-04,2.85,2.85,2.85,2.85,0.0,0.0
2016-08-05,2.85,2.85,2.85,2.85,0.0,0.0
2016-08-06,2.85,2.85,2.85,2.85,0.0,0.0
2016-08-07,2.85,2.85,2.85,2.85,0.0,0.0
2016-08-08,2.85,2.85,2.85,2.85,0.0,0.0
2016-08-09,2.85,2.85,2.85,2.85,0.0,0.0
2016-08-10,1.51,1.96,1.71,1.67,166746.02,285873.42
2016-08-11,1.56,1.96,1.7,1.86,225154.47,391633.35
2016-08-12,1.77,2.35,1.85,1.81,205653.22,403660.26
2016-08-13,1.81,1.9,1.87,1.86,87793.14,162666.2
2016-08-14,1.85,1.98,1.86,1.93,182227.23,351166.85
2016-08-15,1.83,2.03,1.93,1.83,170909.06,330436.91
2016-08-16,1.78,1.9,1.85,1.86,48014.76,88449.46
2016-08-17,1.7,1.87,1.85,1.74,121920.2,214367.53
2016-08-18,1.65,1.78,1.74,1.7,87323.89,148372.36
2016-08-19,1.6,1.81,1.66,1.77,154697.04,260083.26
2016-08-20,1.67,1.79,1.77,1.74,65339.68,112781.2
2016-08-21,1.69,1.78,1.74,1.72,38388.41,65847.2
2016-08-22,1.62,1.75,1.72,1.65,210774.98,356859.92
2016-08-23,1.56,1.68,1.67,1.6,289650.33,465634.68
2016-08-24,1.44,1.65,1.6,1.46,307058.9,463356.74
2016-08-25,1.26,1.47,1.46,1.39,818847.2,1127344.0
2016-08-26,1.31,1.48,1.39,1.43,529581.61,732575.82
2016-08-27,1.33,1.46,1.44,1.34,243374.59,346046.3
2016-08-28,1.29,1.37,1.34,1.32,365775.79,486018.11
2016-08-29,1.24,1.34,1.32,1.26,478726.27,614810.55
2016-08-30,1.16,1.36,1.27,1.25,1039782.12,1316141.69
2016-08-31,1.16,1.3,1.23,1.19,354207.53,436761.5
2016-09-01,1.17,1.5,1.17,1.48,955975.94,1233664.02
2016-09-02,1.36,1.48,1.45,1.4,294628.7,421435.39
2016-09-03,1.33,1.41,1.4,1.36,80147.76,109312.18
2016-09-04,1.34,1.47,1.36,1.46,212286.0,300435.23
2016-09-05,1.44,1.55,1.5,1.47,133925.35,200641.29
2016-09-06,1.44,1.53,1.47,1.48,149541.12,222997.97
2016-09-07,1.44,1.5,1.47,1.49,236369.9,344920.89
2016-09-08,1.47,1.53,1.49,1.47,105816.75,157934.7
2016-09-09,1.38,1.45,1.44,1.41,157867.69,223208.57
2016-09-10,1.4,1.45,1.4,1.43,127798.58,183014.99
2016-09-11,1.33,1.44,1.43,1.34,626273.54,857414.11
2016-09-12,1.31,1.36,1.34,1.33,155230.09,206518.82
2016-09-13,1.28,1.33,1.33,1.3,222703.7,292323.82
2016-09-14,1.25,1.33,1.3,1.32,211304.35,271698.17
2016-09-15,1.28,1.32,1.32,1.29,120643.57,157442.71
2016-09-16,1.28,1.34,1.29,1.33,175025.69,230198.43
2016-09-17,1.31,1.33,1.33,1.32,104287.45,137394.42
2016-09-18,1.32,1.36,1.32,1.33,252686.72,336970.8
2016-09-19,1.28,1.34,1.33,1.28,141846.45,185741.51
2016-09-20,1.23,1.28,1.28,1.25,220918.55,277730.35
2016-09-21,1.22,1.26,1.22,1.23,362629.68,451369.86
2016-09-22,1.12,1.34,1.22,1.26,494482.67,592877.66
2016-09-23,1.21,1.3,1.26,1.23,109431.33,136093.42
2016-09-24,1.22,1.26,1.23,1.25,110422.91,136707.1
2016-09-25,1.21,1.25,1.25,1.21,49820.12,61756.63
2016-09-26,1.2,1.22,1.21,1.2,112237.99,135885.62
2016-09-27,1.16,1.21,1.2,1.19,54999.45,65335.83
2016-09-28,1.19,1.27,1.19,1.24,244075.26,303986.43
2016-09-29,1.23,1.29,1.24,1.27,91160.6,113324.02
2016-09-30,1.24,1.27,1.27,1.26,57254.61,71709.55
2016-10-01,1.16,1.27,1.26,1.18,67962.9,81979.84
2016-10-02,1.17,1.22,1.18,1.2,111837.19,133253.85
2016-10-03,1.16,1.22,1.19,1.19,73810.62,86835.76
2016-10-04,1.13,1.2,1.19,1.16,137725.69,158823.29
2016-10-05,1.16,1.23,1.16,1.19,119911.84,142324.64
2016-10-06,1.16,1.19,1.19,1.18,17154.34,20203.32
2016-10-07,1.16,1.19,1.17,1.17,15301.83,17803.47
2016-10-08,1.16,1.2,1.18,1.19,12713.87,14967.53
2016-10-09,1.17,1.19,1.19,1.17,10864.79,12809.48
2016-10-10,1.15,1.18,1.17,1.16,44178.35,51105.51
2016-10-11,1.1,1.18,1.16,1.1,266107.55,299743.6
2016-10-12,1.01,1.11,1.1,1.04,250944.17,261840.7
2016-10-13,0.983,1.05,1.03,1.02,237998.66,238565.02
2016-10-14,0.99,1.02,1.02,0.99,65404.31,65242.87
2016-10-15,0.9921,1.01,1.0,0.999,6828.94,6806.37
2016-10-16,0.9922,1.23,0.999,1.16,127368.01,145193.02
2016-10-17,1.07,1.18,1.18,1.08,131306.62,145087.31
2016-10-18,1.02,1.08,1.08,1.05,104178.12,108386.52
2016-10-19,1.02,1.09,1.05,1.05,47910.28,50811.08
2016-10-20,1.04,1.06,1.06,1.04,12242.04,12844.64
2016-10-21,1.03,1.07,1.04,1.03,32187.91,33442.78
2016-10-22,1.03,1.07,1.03,1.05,30231.4,31650.48
2016-10-23,1.04,1.07,1.05,1.05,36942.52,38722.4
2016-10-24,1.02,1.06,1.04,1.03,68552.96,70736.84
2016-10-25,1.01,1.04,1.03,1.02,49151.86,50161.34
2016-10-26,1.02,1.05,1.02,1.03,76604.78,78512.54
2016-10-27,0.99,1.04,1.03,0.99,188696.37,189617.41
2016-10-28,0.95,0.9982,0.99,0.956,177686.68,173127.05
2016-10-29,0.873,0.9745,0.956,0.9048,352266.05,326520.24
2016-10-30,0.8836,0.9534,0.9048,0.9285,161778.5,148564.24
2016-10-31,0.8959,0.9328,0.9285,0.8995,67806.01,61733.16
2016-11-01,0.8706,0.905,0.903,0.8873,120840.82,107330.29
2016-11-02,0.88,0.9072,0.8851,0.8862,39229.79,34817.02
2016-11-03,0.8847,0.9224,0.8862,0.8956,79203.3,71376.53
2016-11-04,0.8972,1.02,0.922,0.9769,148740.6,141972.9
2016-11-05,0.96,1.07,0.9769,1.05,109262.07,110332.77
2016-11-06,0.9756,1.05,1.05,0.978,47771.35,47771.57
2016-11-07,0.9148,1.0,0.978,0.9301,65361.94,62322.64
2016-11-08,0.9227,0.955,0.9301,0.934,40257.19,37676.04
2016-11-09,0.901,0.9504,0.934,0.9154,40999.47,37955.71
2016-11-10,0.9011,0.9624,0.9154,0.9205,40003.75,37450.96
2016-11-11,0.8988,0.9349,0.9205,0.92,33729.5,30721.44
2016-11-12,0.9063,0.945,0.92,0.9063,29583.57,27457.22
2016-11-13,0.8997,0.923,0.9063,0.9112,16941.44,15380.31
2016-11-14,0.8887,0.9112,0.9112,0.8931,7282.53,6520.52
2016-11-15,0.886,0.9311,0.8931,0.9288,28391.36,25909.05
2016-11-16,0.905,0.9336,0.9288,0.9094,29365.27,27033.86
2016-11-17,0.8878,0.9178,0.9094,0.8901,33500.64,30368.5
2016-11-18,0.875,0.9,0.8901,0.875,28879.01,25557.95
2016-11-19,0.8521,0.873,0.873,0.8627,42548.44,36734.65
