datetime,low,high,open,close,volumefrom,volumeto
2016-03-09,10.1,11.2,10.3,11.2,41.17,448.43
2016-03-10,11.07,11.85,11.2,11.75,1.03,12.09
2016-03-11,11.75,11.95,11.75,11.95,50.85,607.42
2016-03-12,11.95,13.45,11.95,12.92,237.78,3057.52
2016-03-13,12.92,15.07,12.92,15.07,369.64,5243.67
2016-03-14,11.4,15.07,15.07,12.5,26338.06,354314.35
2016-03-15,11.98,13.42,12.63,13.06,11350.2,144519.53
2016-03-16,12.62,13.89,13.06,12.88,5496.81,73150.28
2016-03-17,10.44,12.61,12.58,10.74,25556.88,291265.73
2016-03-18,8.34,11.2,11.09,10.74,44964.49,433007.06
2016-03-19,9.78,11.1,10.97,10.31,19298.78,202796.97
2016-03-20,9.56,10.88,10.55,10.18,9478.65,96539.39
2016-03-21,10.14,12.05,10.18,11.95,11102.31,123992.15
2016-03-22,11.08,11.97,11.53,11.37,7509.91,86635.92
2016-03-23,11.2,12.43,11.37,12.43,7721.47,92226.84
2016-03-24,10.67,12.47,12.43,11.2,14512.64,165125.09
2016-03-25,10.52,11.35,11.32,10.67,24977.64,270650.89
2016-03-26,10.58,11.2,10.67,11.0,4606.57,50345.26
2016-03-27,10.17,10.98,10.93,10.4,15947.08,167274.53
2016-03-28,10.4,11.94,10.4,11.62,22089.06,251757.93
2016-03-29,11.37,11.88,11.78,11.79,13591.62,157433.64
2016-03-30,11.44,12.3,11.79,11.85,10560.26,125755.82
2016-03-31,11.29,12.02,11.92,11.41,9334.01,108841.19
2016-04-01,11.39,11.94,11.41,11.62,6342.09,74115.68
2016-04-02,11.43,11.77,11.65,11.61,3477.5,40162.3
2016-04-03,11.4,11.76,11.61,11.75,5385.89,62344.39
2016-04-04,10.88,11.67,11.6,11.15,11069.47,123810.27
2016-04-05,9.7,11.15,11.15,10.4,15253.87,160223.19
2016-04-06,10.2,10.96,10.4,10.76,11440.26,121760.17
2016-04-07,9.4,10.85,10.76,10.12,14497.06,146156.13
2016-04-08,9.6,10.34,10.05,9.71,7421.29,73439.5
2016-04-09,9.0,10.2,9.69,9.15,18560.63,173703.24
2016-04-10,7.52,9.43,9.15,8.76,49139.41,411127.91
2016-04-11,8.01,8.93,8.56,8.68,17221.72,146542.11
2016-04-12,7.21,8.54,8.53,7.53,18235.47,141800.36
2016-04-13,6.86,8.8,7.48,8.09,40631.85,314280.2
2016-04-14,8.0,8.86,8.08,8.46,10327.77,86759.61
2016-04-15,8.1,8.69,8.39,8.32,8708.18,72559.07
2016-04-16,8.18,8.68,8.23,8.54,8358.72,69951.53
2016-04-17,8.61,10.9,8.7,9.46,27442.24,253831.35
2016-04-18,8.44,9.55,9.3,8.97,10822.2,97968.38
2016-04-19,8.65,9.38,8.97,8.71,10074.25,91329.08
2016-04-20,8.35,9.05,8.73,8.61,47916.15,419024.34
2016-04-21,8.0,8.8,8.61,8.11,13005.85,109474.51
2016-04-22,7.73,8.41,8.23,7.97,27818.77,222058.44
2016-04-23,7.81,8.8,7.95,8.46,25591.93,208092.84
2016-04-24,8.01,8.5,8.35,8.1,14873.15,122801.06
2016-04-25,7.32,8.15,8.05,7.54,59160.53,461248.62
2016-04-26,7.12,7.6,7.56,7.5,36933.51,271095.33
2016-04-27,7.31,7.99,7.4,7.8,25846.89,198931.28
2016-04-28,7.25,7.87,7.73,7.33,19827.7,147364.13
2016-04-29,7.19,7.72,7.23,7.52,14618.38,109547.35
2016-04-30,7.45,9.36,7.45,8.87,76561.91,665792.47
2016-05-01,8.35,9.0,8.74,8.75,20568.7,177602.74
2016-05-02,8.79,10.3,8.83,10.0,84392.87,813291.22
2016-05-03,9.18,10.01,10.01,9.34,36663.0,348946.34
2016-05-04,9.25,10.0,9.38,9.46,21344.46,206323.23
2016-05-05,9.3,10.0,9.4,9.79,17838.74,172454.9
2016-05-06,9.12,9.98,9.85,9.35,26406.27,253973.36
2016-05-07,9.2,9.64,9.45,9.35,8967.69,84135.68
2016-05-08,9.0,9.64,9.41,9.5,22882.18,212084.51
2016-05-09,9.25,9.65,9.51,9.32,22082.38,209335.8
2016-05-10,9.28,9.47,9.31,9.38,5233.56,49014.27
2016-05-11,9.3,9.98,9.38,9.89,31515.66,307708.58
2016-05-12,9.79,10.47,9.92,10.04,40625.81,410920.57
2016-05-13,10.08,11.11,10.09,10.6,55507.89,591359.67
2016-05-14,9.71,10.75,10.6,10.16,34816.92,352942.02
2016-05-15,9.93,10.42,10.25,9.97,12209.03,123288.98
2016-05-16,10.0,11.47,10.01,11.09,73487.59,806189.62
2016-05-17,11.1,12.6,11.15,12.08,154564.32,1845120.28
2016-05-18,12.21,14.4,12.28,13.35,120019.47,1583113.81
2016-05-19,13.2,14.65,13.4,14.58,112326.52,1577575.02
2016-05-20,13.31,14.89,14.74,13.79,96767.73,1386487.68
2016-05-21,13.01,14.0,13.6,14.0,59723.74,804580.0
2016-05-22,13.62,14.51,14.06,14.21,33768.01,477875.98
2016-05-23,13.32,14.49,14.21,13.42,48597.56,672354.48
2016-05-24,12.0,13.82,13.38,12.73,124992.22,1588567.02
2016-05-25,11.8,12.99,12.84,12.49,70737.63,875751.14
2016-05-26,12.13,13.07,12.52,12.48,61609.99,773700.18
2016-05-27,10.53,12.43,12.4,11.12,184525.4,2103927.21
2016-05-28,10.38,12.5,10.99,11.98,167734.65,1926040.81
