datetime,low,high,open,close,volumefrom,volumeto
2017-04-21,51.0,70.0,51.0,70.0,0.7827,40.92
2017-04-22,47.0,70.0,70.0,50.0,33.3,1567.69
2017-04-23,50.0,57.5,50.0,57.5,20.24,1072.82
2017-04-24,52.2,57.5,57.5,53.0,19.73,1062.13
2017-04-25,53.0,55.25,53.0,55.25,24.57,1351.23
2017-04-26,55.25,64.5,55.25,55.5,68.01,4008.72
2017-04-27,55.5,68.5,55.5,68.0,40.13,2647.47
2017-04-28,67.5,88.0,68.0,76.5,20.62,1415.35
2017-04-29,73.0,76.5,76.5,73.0,19.62,1471.65
2017-04-30,73.0,92.0,73.0,92.0,243.21,18419.12
2017-05-01,74.0,92.0,92.0,79.0,217.11,17618.9
2017-05-02,79.0,85.0,79.0,82.5,285.14,24094.36
2017-05-03,80.5,92.0,82.5,92.0,17.19,1400.64
2017-05-04,81.9,98.0,92.0,98.0,100.68,9386.9
2017-05-05,87.0,128.0,98.0,96.0,90.38,8428.39
2017-05-06,90.0,97.0,96.0,93.1,8.52,816.72
2017-05-07,85.5,100.0,93.1,93.41,250.21,21615.3
2017-05-08,90.0,107.0,93.41,90.0,102.74,9699.4
2017-05-09,76.0,107.0,90.0,94.0,190.07,16445.54
2017-05-10,86.04,94.0,94.0,86.04,30.42,2755.69
2017-05-11,86.04,93.0,86.04,92.47,13.69,1229.65
2017-05-12,86.6,93.0,92.47,89.0,243.24,21699.93
2017-05-13,86.0,92.0,89.0,91.0,45.44,3949.55
2017-05-14,83.94,92.0,91.0,91.9,0.6618,56.26
2017-05-15,85.04,100.0,91.9,100.0,46.43,4281.24
2017-05-16,93.0,100.0,100.0,93.0,10.47,1020.44
2017-05-17,85.0,93.0,93.0,90.85,24.65,2182.21
2017-05-18,87.5,97.95,90.85,96.24,41.3,3879.42
2017-05-19,96.24,128.0,96.24,128.0,968.66,107816.39
2017-05-20,121.0,131.0,128.0,124.13,91.41,11535.37
2017-05-21,124.13,144.26,124.13,135.1,85.64,11470.84
2017-05-22,135.1,180.64,135.1,146.54,269.02,42943.48
2017-05-23,146.54,174.85,146.54,153.0,27.81,4313.42
2017-05-24,153.0,194.59,153.0,180.4,158.62,28433.02
2017-05-25,143.0,192.0,180.4,154.0,229.11,38119.52
2017-05-26,110.87,188.0,154.0,144.8,495.01,68267.37
2017-05-27,71.16,144.8,144.8,132.0,898.94,85049.01
2017-05-28,115.0,177.77,132.0,157.7,491.26,74467.71
2017-05-29,135.93,178.77,157.7,178.77,375.24,63065.46
2017-05-30,178.77,230.0,178.77,230.0,1249.02,251858.59
2017-05-31,194.0,230.0,230.0,221.0,562.5,119132.29
2017-06-01,200.0,226.61,221.0,205.62,740.03,158584.32
2017-06-02,205.62,221.03,205.62,215.0,426.03,90535.7
2017-06-03,210.0,219.73,215.0,217.0,268.09,57847.0
2017-06-04,213.08,247.75,217.0,239.5,451.05,104540.74
2017-06-05,230.39,248.86,239.5,246.41,545.96,130981.54
2017-06-06,228.0,265.0,246.41,264.82,811.07,203945.18
2017-06-07,240.0,265.0,264.82,253.93,574.32,146865.27
2017-06-08,242.09,260.0,253.93,257.0,923.85,231211.9
2017-06-09,255.7,280.27,257.0,278.5,741.77,197781.68
2017-06-10,276.6,344.98,278.5,324.1,1878.45,578892.32
2017-06-11,306.82,346.02,324.1,335.72,1004.97,333707.02
2017-06-12,295.87,428.62,335.72,385.02,3851.18,1347067.14
2017-06-13,346.6,394.72,385.02,376.93,1693.13,632655.62
2017-06-14,305.0,386.0,376.93,338.0,1887.71,656902.56
2017-06-15,235.0,346.79,338.0,331.13,5870.67,1773826.35
