datetime,low,high,open,close,volumefrom,volumeto
2016-05-27,10.25,11.98,11.98,11.25,13749.03,151147.98
2016-05-28,10.7,12.44,11.25,11.93,15810.34,180822.02
2016-05-29,11.65,12.49,11.93,12.34,3481.3,42228.37
2016-05-30,12.0,12.88,12.34,12.41,4110.59,51655.95
2016-05-31,12.37,14.24,12.41,14.0,5654.91,76994.75
2016-06-01,13.5,14.45,14.0,13.93,10369.02,145746.12
2016-06-02,13.76,14.18,13.93,14.02,8048.39,112783.07
2016-06-03,13.49,14.12,14.02,13.88,12207.16,168475.99
2016-06-04,13.56,14.03,13.88,13.81,6130.33,84986.59
2016-06-05,13.8,14.06,13.81,14.04,2107.55,29378.03
2016-06-06,13.83,14.3,14.04,14.22,5069.23,71184.96
2016-06-07,13.97,14.69,14.22,14.65,12603.05,179454.21
2016-06-08,14.4,14.87,14.65,14.61,12109.89,177565.8
2016-06-09,14.55,14.85,14.61,14.71,8848.44,129706.89
2016-06-10,13.76,14.74,14.71,14.11,16995.71,242199.34
2016-06-11,13.86,14.29,14.11,14.1,7305.84,102532.3
2016-06-12,13.92,15.9,14.1,15.9,20750.08,309647.42
2016-06-13,15.49,17.93,15.9,17.9,24221.67,411340.35
2016-06-14,16.96,19.08,17.9,18.7,34698.03,625567.59
2016-06-15,17.89,18.81,18.7,18.58,13471.3,249416.27
2016-06-16,18.42,21.35,18.58,21.09,32005.03,635952.27
2016-06-17,13.75,22.0,21.09,15.75,122187.18,2046737.16
2016-06-18,10.0,15.75,15.75,11.55,79296.12,977144.59
2016-06-19,10.72,13.4,11.55,12.36,30892.52,370778.28
2016-06-20,10.8,12.74,12.36,11.8,32647.05,383026.97
2016-06-21,11.2,12.8,11.8,12.8,31632.08,383368.4
2016-06-22,12.76,15.89,12.8,13.35,65589.9,937751.6
2016-06-23,12.68,14.5,13.35,13.87,35402.07,472302.04
2016-06-24,13.25,14.8,13.87,14.52,33067.56,465788.3
2016-06-25,14.0,14.74,14.52,14.39,10391.12,150523.13
2016-06-26,13.75,14.49,14.39,14.04,5726.83,80358.56
2016-06-27,13.6,14.59,14.04,14.07,11846.86,167372.59
2016-06-28,11.52,14.25,14.07,12.17,42160.13,536610.13
2016-06-29,11.62,13.13,12.17,12.81,23679.15,291315.39
2016-06-30,12.19,13.06,12.81,12.49,14560.12,182893.14
2016-07-01,11.8,12.54,12.49,12.3,19132.21,233295.09
2016-07-02,12.0,12.45,12.3,12.16,11562.02,140575.03
2016-07-03,11.65,12.16,12.16,11.99,12186.5,144805.86
2016-07-04,11.41,12.02,11.99,11.43,5278.27,61069.63
2016-07-05,9.31,11.48,11.43,10.5,34353.15,348385.71
2016-07-06,10.24,11.0,10.5,10.59,14605.23,154142.82
2016-07-07,9.75,10.7,10.59,10.08,20921.16,210156.3
2016-07-08,10.05,11.8,10.08,11.22,27964.91,305714.65
2016-07-09,10.68,11.57,11.22,11.0,9092.21,100852.1
2016-07-10,10.9,11.3,11.0,11.02,9647.39,106589.02
2016-07-11,10.11,11.16,11.02,10.68,10893.75,116212.43
2016-07-12,10.5,10.98,10.68,10.52,13903.14,148530.79
2016-07-13,10.49,10.65,10.52,10.5,5540.36,58480.48
2016-07-14,10.33,11.78,10.5,11.68,24023.93,268878.96
2016-07-15,11.36,12.75,11.68,12.0,24795.42,301973.25
2016-07-16,11.8,12.4,12.0,11.91,7523.89,90180.86
2016-07-17,11.02,11.92,11.91,11.31,11449.78,130318.26
2016-07-18,11.0,11.93,11.31,11.15,15178.86,172749.32
2016-07-19,11.03,11.98,11.15,11.69,7874.88,90324.43
2016-07-20,11.22,13.0,11.69,12.58,38321.88,472248.84
2016-07-21,12.1,13.09,12.58,12.84,71786.16,917191.68
2016-07-22,12.73,15.0,12.84,14.99,191777.76,2678035.96
2016-07-23,14.0,15.39,14.99,14.5,122836.41,1803112.53
2016-07-24,12.05,14.6,14.5,12.66,139529.33,1836976.95
2016-07-25,12.56,14.0,12.66,14.0,92702.64,1241681.71
2016-07-26,11.92,14.01,14.0,12.1,161498.61,2048560.56
2016-07-27,11.75,13.4,12.1,13.14,115692.4,1453310.66
2016-07-28,12.53,13.14,13.14,12.95,66922.79,858173.96
2016-07-29,12.57,12.98,12.95,12.9,53815.38,686795.14
2016-07-30,12.55,12.9,12.9,12.6,37767.95,481455.69
2016-07-31,11.61,12.67,12.6,11.89,56314.3,683933.51
2016-08-01,11.0,12.12,11.89,11.02,88422.24,1015397.95
2016-08-02,6.68,11.31,11.02,8.46,193498.37,1877009.59
2016-08-03,8.09,10.78,8.46,10.7,216803.56,2138637.67
2016-08-04,10.42,11.55,10.7,11.31,101792.83,1125384.75
2016-08-05,10.81,11.4,11.31,11.18,46720.03,521997.09
2016-08-06,10.42,11.24,11.18,10.99,34629.61,377156.03
2016-08-07,10.84,11.25,10.99,11.05,30423.9,335545.92
2016-08-08,10.94,11.42,11.05,11.34,30466.37,338209.87
2016-08-09,11.24,12.48,11.34,12.31,83827.0,998938.88
2016-08-10,11.87,12.91,12.31,12.25,146769.49,1805041.92
2016-08-11,11.6,12.39,12.25,11.73,55585.22,662172.86
2016-08-12,11.65,12.08,11.73,11.82,29525.34,350447.66
2016-08-13,11.54,11.86,11.82,11.59,28160.61,330244.84
2016-08-14,11.2,11.76,11.59,11.29,25914.82,296885.34
2016-08-15,11.02,11.52,11.29,11.22,32328.91,361830.4
2016-08-16,11.0,11.49,11.22,11.18,51581.45,573793.01
2016-08-17,10.69,11.26,11.18,10.79,39790.65,435573.53
2016-08-18,10.76,11.06,10.79,10.77,35887.01,391209.57
2016-08-19,10.65,10.86,10.77,10.73,28732.12,309823.9
2016-08-20,10.7,11.37,10.73,11.31,35260.07,392463.4
2016-08-21,10.98,11.32,11.31,11.17,17897.44,199217.45
2016-08-22,11.04,11.34,11.17,11.08,36062.83,404540.54
2016-08-23,10.85,11.2,11.08,10.98,32619.53,359402.76
2016-08-24,10.98,11.16,10.98,11.0,24080.06,266356.65
2016-08-25,10.99,11.34,11.0,11.34,28341.96,317571.2
2016-08-26,11.2,11.47,11.34,11.29,27567.11,311916.84
2016-08-27,11.17,11.3,11.29,11.21,19407.52,217997.6
2016-08-28,10.98,11.22,11.21,10.98,17866.23,197944.62
2016-08-29,10.8,11.16,10.98,10.95,33061.33,361476.29
2016-08-30,10.95,11.25,10.95,11.2,25615.97,285024.88
2016-08-31,11.09,11.53,11.2,11.52,36187.64,411082.87
2016-09-01,11.52,12.5,11.52,12.24,84876.65,1026327.84
2016-09-02,11.95,12.35,12.24,12.11,43871.51,532302.29
2016-09-03,11.6,12.47,12.11,11.83,37128.37,443042.48
2016-09-04,11.54,11.9,11.83,11.76,19353.76,227150.01
2016-09-05,11.62,11.84,11.76,11.77,14026.67,164614.3
2016-09-06,11.5,11.77,11.77,11.73,26580.55,309379.3
2016-09-07,11.53,11.9,11.73,11.6,33740.93,393487.14
2016-09-08,11.31,11.7,11.6,11.42,31887.78,365353.9
2016-09-09,11.34,11.69,11.42,11.61,21410.51,247578.18
2016-09-10,11.55,12.07,11.61,12.07,18320.13,214832.59
2016-09-11,11.6,12.21,12.07,11.64,27312.35,325151.28
2016-09-12,11.64,11.95,11.64,11.87,20651.61,243496.83
