datetime,low,high,open,close,volumefrom,volumeto
2015-08-08,0.5,1.85,1.65,1.4,176.54,274.0
2015-08-09,1.4,1.4,1.4,1.4,0.0,0.0
2015-08-10,1.4,1.4,1.4,1.4,0.0,0.0
2015-08-11,0.55,1.4,1.4,1.1,251.52,242.98
2015-08-12,0.9,1.4,1.1,1.38,404.34,476.81
2015-08-13,1.3,2.15,1.38,2.15,347.84,586.28
2015-08-14,2.14,2.15,2.15,2.15,24.92,53.48
2015-08-15,1.15,2.2,2.15,1.5,33.63,53.22
2015-08-16,1.11,1.77,1.5,1.12,199.61,226.15
2015-08-17,1.34,1.77,1.77,1.52,26.26,37.09
2015-08-18,1.52,1.57,1.52,1.52,5.1,7.97
2015-08-19,1.01,1.52,1.52,1.3,153.23,178.44
2015-08-20,1.25,1.73,1.3,1.73,360.58,531.47
2015-08-21,1.44,1.73,1.73,1.5,304.2,442.62
2015-08-22,1.33,1.5,1.5,1.33,0.5894,0.7839
2015-08-23,1.33,1.5,1.33,1.5,65.1,91.28
2015-08-24,1.24,1.5,1.5,1.3,148.95,193.68
2015-08-25,1.05,1.4,1.3,1.05,27.49,28.91
2015-08-26,1.0,1.14,1.05,1.0,81.68,86.33
2015-08-27,1.0,1.27,1.0,1.27,0.00191,0.002425
2015-08-28,1.06,1.27,1.27,1.06,1.01,1.1
2015-08-29,1.06,1.06,1.06,1.06,0.0,0.0
2015-08-30,1.06,1.27,1.06,1.27,1803.1,2253.77
2015-08-31,1.27,1.3,1.27,1.3,263.85,340.89
2015-09-01,1.18,1.39,1.3,1.25,171.12,229.54
2015-09-02,1.25,1.26,1.25,1.26,38.96,49.09
2015-09-03,1.22,1.37,1.26,1.37,191.88,240.99
2015-09-04,1.22,1.37,1.37,1.22,15.39,18.76
2015-09-05,1.16,1.37,1.22,1.37,45.72,58.25
2015-09-06,1.16,1.37,1.37,1.21,39.81,47.55
2015-09-07,1.16,1.35,1.21,1.35,320.59,432.68
2015-09-08,1.35,1.35,1.35,1.35,0.0,0.0
2015-09-09,1.3,1.35,1.35,1.3,18.42,23.94
2015-09-10,1.16,1.3,1.3,1.16,2348.58,2763.8
2015-09-11,0.83,1.28,1.16,0.9999,895.12,987.93
2015-09-12,0.87,1.28,0.9999,0.99,244.52,252.1
2015-09-13,0.87,1.28,0.99,1.19,95.38,95.4
2015-09-14,0.871,1.19,1.19,0.871,0.512,0.446
2015-09-15,0.871,1.03,0.871,0.8885,1.35,1.21
2015-09-16,0.8885,1.02,0.8885,1.0,8.56,8.55
2015-09-17,0.84,1.0,1.0,0.84,99.86,87.11
2015-09-18,0.84,0.87,0.84,0.85,45.0,38.7
2015-09-19,0.8405,0.96,0.85,0.96,0.5426,0.5186
2015-09-20,0.96,0.96,0.96,0.96,0.3683,0.3535
2015-09-21,0.8915,0.97,0.96,0.8915,154.22,147.71
2015-09-22,0.875,0.935,0.8915,0.875,195.71,172.53
2015-09-23,0.875,0.935,0.875,0.9,13.97,12.57
2015-09-24,0.83,0.9,0.9,0.845,386.58,325.69
2015-09-25,0.7,0.845,0.845,0.8,193.4,154.96
2015-09-26,0.685,0.8,0.8,0.685,75.26,55.86
2015-09-27,0.685,0.79,0.685,0.79,10.55,8.13
2015-09-28,0.56,0.79,0.79,0.6099,866.71,547.69
2015-09-29,0.56,0.653,0.6099,0.57,16199.21,9096.8
2015-09-30,0.57,0.77,0.57,0.735,387.75,277.16
2015-10-01,0.6727,0.74,0.735,0.675,105.47,77.51
2015-10-02,0.6429,0.71,0.675,0.71,0.9907,0.7032
2015-10-03,0.643,0.71,0.71,0.68,6.36,4.27
2015-10-04,0.68,0.68,0.68,0.68,0.0,0.0
2015-10-05,0.6429,0.68,0.68,0.6429,43.44,27.93
2015-10-06,0.6429,0.6429,0.6429,0.6429,0.0,0.0
2015-10-07,0.6001,0.7,0.6429,0.7,4.27,2.97
2015-10-08,0.5695,0.7,0.7,0.6286,114.08,68.29
2015-10-09,0.5716,0.6735,0.6286,0.67,189.98,127.27
2015-10-10,0.67,0.67,0.67,0.67,0.0,0.0
2015-10-11,0.67,0.67,0.67,0.67,0.0,0.0
2015-10-12,0.6,0.67,0.67,0.6001,1.24,0.7963
2015-10-13,0.6,0.6001,0.6001,0.6,76.71,46.03
2015-10-14,0.4953,0.6,0.6,0.52,928.98,502.67
2015-10-15,0.4801,0.6233,0.52,0.6,239.9,120.22
2015-10-16,0.521,0.6,0.6,0.521,142.03,75.5
2015-10-17,0.513,0.5586,0.521,0.5586,721.29,393.83
2015-10-18,0.513,0.5586,0.5586,0.513,56.08,29.41
2015-10-19,0.4711,0.513,0.513,0.4711,916.69,460.49
2015-10-20,0.4511,0.48,0.4711,0.4511,202.31,94.36
2015-10-21,0.4195,0.5,0.4511,0.4297,892.04,392.34
2015-10-22,0.4093,0.6233,0.4297,0.6233,503.06,262.96
2015-10-23,0.5239,0.645,0.6233,0.645,442.81,238.85
2015-10-24,0.4652,0.645,0.645,0.4652,1.01,0.4678
2015-10-25,0.4652,0.6735,0.4652,0.6735,429.77,275.39
2015-10-26,0.67,0.748,0.6735,0.737,223.6,158.33
2015-10-27,0.7297,0.89,0.737,0.85,349.79,281.1
2015-10-28,0.85,1.0,0.85,0.88,1044.13,925.77
2015-10-29,0.77,1.35,0.77,1.2,159.71,191.01
2015-10-30,0.95,1.32,1.2,1.02,44.13,48.98
2015-10-31,0.8913,1.03,1.02,0.8913,61.28,59.31
2015-11-01,0.8913,1.07,0.8913,1.05,185.32,175.19
2015-11-02,0.9434,1.12,1.05,0.9899,2543.45,2582.44
2015-11-03,0.9131,1.28,0.9899,1.0,3153.89,3110.59
2015-11-04,0.6689,1.04,1.0,0.8293,4578.35,4145.79
2015-11-05,0.8281,0.9924,0.8293,0.92,590.46,533.6
2015-11-06,0.8456,1.03,0.92,0.9309,1641.96,1614.24
2015-11-07,0.8432,0.9503,0.9309,0.939,390.27,345.06
2015-11-08,0.9045,1.04,0.939,0.9929,590.06,584.42
2015-11-09,0.9485,1.11,0.9929,1.01,5695.82,5979.0
2015-11-10,0.9143,1.07,1.01,0.9143,1080.37,1097.29
2015-11-11,0.7278,0.9507,0.9143,0.7425,9343.39,7447.3
2015-11-12,0.7425,0.8961,0.7425,0.896,2035.48,1761.22
2015-11-13,0.8475,0.909,0.896,0.8958,1299.32,1131.74
2015-11-14,0.8802,0.91,0.8958,0.8802,429.66,383.43
