datetime,low,high,open,close,volumefrom,volumeto
2015-01-29,1.91,1.91,1.91,1.91,11.31,21.57
2015-01-30,1.91,1.91,1.91,1.91,0.05447,0.104
2015-01-31,1.91,2.14,1.91,2.14,13.99,29.92
2015-02-01,1.86,2.14,2.14,1.86,13.36,25.23
2015-02-02,1.86,1.86,1.86,1.86,1.18,2.19
2015-02-03,1.86,2.14,1.86,1.9,31.24,62.55
2015-02-04,1.9,1.9,1.9,1.9,0.0,0.0
2015-02-05,1.9,1.9,1.9,1.9,1.6,3.04
2015-02-06,1.8,1.9,1.9,1.8,8.81,15.87
2015-02-07,1.8,1.8,1.8,1.8,0.0,0.0
2015-02-08,1.8,1.8,1.8,1.8,0.0,0.0
2015-02-09,1.8,1.8,1.8,1.8,0.0,0.0
2015-02-10,1.8,1.8,1.8,1.8,0.0,0.0
2015-02-11,1.8,1.8,1.8,1.8,0.0,0.0
2015-02-12,1.8,1.8,1.8,1.8,0.0,0.0
2015-02-13,1.8,1.8,1.8,1.8,0.0,0.0
2015-02-14,1.8,1.8,1.8,1.8,0.0,0.0
2015-02-15,1.8,1.8,1.8,1.8,0.0,0.0
2015-02-16,1.8,1.8,1.8,1.8,0.0,0.0
2015-02-17,1.8,1.8,1.8,1.8,0.0,0.0
2015-02-18,1.8,1.8,1.8,1.8,0.0,0.0
2015-02-19,1.8,1.8,1.8,1.8,0.0,0.0
2015-02-20,1.8,1.8,1.8,1.8,0.0,0.0
2015-02-21,1.8,1.8,1.8,1.8,0.0,0.0
2015-02-22,1.8,1.8,1.8,1.8,0.0,0.0
2015-02-23,1.8,1.8,1.8,1.8,0.0,0.0
2015-02-24,1.8,1.8,1.8,1.8,0.0,0.0
2015-02-25,1.8,1.8,1.8,1.8,0.0,0.0
2015-02-26,1.8,1.8,1.8,1.8,0.0,0.0
2015-02-27,1.8,1.8,1.8,1.8,0.0,0.0
2015-02-28,1.8,1.8,1.8,1.8,0.0,0.0
2015-03-01,1.8,1.8,1.8,1.8,0.0,0.0
2015-03-02,1.8,1.8,1.8,1.8,0.0,0.0
2015-03-03,1.8,1.8,1.8,1.8,0.0,0.0
2015-03-04,1.8,1.8,1.8,1.8,0.0,0.0
2015-03-05,1.8,1.8,1.8,1.8,0.0,0.0
2015-03-06,1.8,1.8,1.8,1.8,0.0,0.0
2015-03-07,0.045,3.65,3.65,0.045,0.006561,0.0002952
2015-03-08,0.045,0.045,0.045,0.045,0.0,0.0
2015-03-09,0.045,0.045,0.045,0.045,0.0,0.0
2015-03-10,0.045,0.96,0.045,0.96,0.007179,0.006892
2015-03-11,0.96,0.96,0.96,0.96,0.06139,0.05893
2015-03-12,0.96,0.96,0.96,0.96,0.0,0.0
2015-03-13,0.96,2.65,0.96,2.65,0.0003774,0.001
2015-03-14,1.01,2.65,2.65,1.01,0.006164,0.006238
2015-03-15,1.01,2.65,1.01,1.87,0.163,0.3
2015-03-16,1.87,1.87,1.87,1.87,0.0,0.0
2015-03-17,1.87,2.65,1.87,2.65,0.005417,0.01436
2015-03-18,2.65,2.65,2.65,2.65,0.0,0.0
2015-03-19,2.65,2.65,2.65,2.65,0.0,0.0
2015-03-20,2.65,2.65,2.65,2.65,0.0,0.0
2015-03-21,1.01,2.65,2.65,1.01,0.02077,0.02165
2015-03-22,1.01,1.01,1.01,1.01,0.0,0.0
2015-03-23,1.01,1.01,1.01,1.01,0.0,0.0
2015-03-24,1.01,1.01,1.01,1.01,0.0,0.0
2015-03-25,1.01,1.01,1.01,1.01,0.0,0.0
2015-03-26,1.01,1.01,1.01,1.01,0.0,0.0
2015-03-27,1.01,1.01,1.01,1.01,0.0,0.0
2015-03-28,1.01,1.71,1.01,1.71,0.03656,0.03735
2015-03-29,1.71,1.71,1.71,1.71,0.003116,0.005339
2015-03-30,1.01,1.71,1.71,1.01,0.006428,0.006505
2015-03-31,1.01,2.5,1.01,1.03,5.41,12.05
2015-04-01,1.03,2.5,1.03,2.5,0.0515,0.12
2015-04-02,2.23,2.5,2.5,2.23,0.02246,0.05008
2015-04-03,2.23,2.23,2.23,2.23,0.0,0.0
2015-04-04,2.23,2.23,2.23,2.23,0.0,0.0
2015-04-05,2.23,2.23,2.23,2.23,0.0,0.0
2015-04-06,2.23,2.23,2.23,2.23,0.0,0.0
2015-04-07,2.23,2.23,2.23,2.23,0.0,0.0
2015-04-08,2.23,2.23,2.23,2.23,0.0,0.0
2015-04-09,2.23,2.23,2.23,2.23,0.0,0.0
2015-04-10,2.23,2.23,2.23,2.23,0.0,0.0
2015-04-11,2.29,2.29,2.29,2.29,2.0,4.58
2015-04-12,1.03,2.29,2.29,1.03,0.1269,0.1307
2015-04-13,1.03,1.03,1.03,1.03,4.92,5.07
2015-04-14,1.03,1.4,1.03,1.4,16.78,23.48
2015-04-15,1.32,1.4,1.4,1.4,30.63,41.53
2015-04-16,1.35,1.4,1.4,1.35,0.03728,0.05026
2015-04-17,1.35,1.46,1.35,1.36,2.0,2.93
2015-04-18,1.36,1.44,1.36,1.44,2.03,2.92
2015-04-19,1.36,1.44,1.44,1.36,0.02073,0.02812
2015-04-20,1.36,1.45,1.36,1.44,2.28,3.25
2015-04-21,1.36,1.44,1.44,1.36,0.1111,0.1515
2015-04-22,1.36,1.51,1.36,1.51,0.1624,0.242
2015-04-23,1.41,1.51,1.51,1.41,0.02,0.0283
2015-04-24,1.38,1.41,1.41,1.38,0.01013,0.01395
2015-04-25,1.36,1.38,1.38,1.36,0.0285,0.0389
2015-04-26,1.3,1.36,1.36,1.3,0.037,0.04819
2015-04-27,1.29,1.3,1.3,1.29,0.01368,0.01768
2015-04-28,1.29,1.32,1.29,1.32,0.004031,0.005341
2015-04-29,1.32,1.41,1.32,1.41,0.1574,0.2146
2015-04-30,1.41,1.49,1.41,1.48,86.22,128.18
2015-05-01,1.45,1.48,1.48,1.45,0.0009431,0.001381
2015-05-02,1.45,1.45,1.45,1.45,0.0,0.0
2015-05-03,1.45,1.45,1.45,1.45,0.0,0.0
2015-05-04,1.45,1.48,1.45,1.48,0.01534,0.02263
2015-05-05,1.35,1.48,1.48,1.35,0.7205,0.9829
2015-05-06,1.35,1.45,1.35,1.45,0.2483,0.3606
2015-05-07,1.01,1.45,1.45,1.42,7.76,7.89
2015-05-08,1.4,1.5,1.42,1.49,51.9,77.49
2015-05-09,1.49,1.49,1.49,1.49,0.0,0.0
2015-05-10,1.49,1.49,1.49,1.49,0.0,0.0
2015-05-11,1.49,1.49,1.49,1.49,0.0,0.0
2015-05-12,1.49,1.49,1.49,1.49,0.0,0.0
2015-05-13,1.49,1.49,1.49,1.49,0.0,0.0
2015-05-14,1.38,1.51,1.49,1.51,100.26,139.67
2015-05-15,1.38,1.51,1.51,1.45,23.12,34.1
2015-05-16,1.45,1.51,1.45,1.51,1.17,1.77
2015-05-17,1.38,1.51,1.51,1.51,2.84,4.28
2015-05-18,1.39,1.51,1.51,1.39,0.01718,0.0238
2015-05-19,1.37,1.51,1.39,1.51,13.21,18.81
2015-05-20,1.41,1.52,1.51,1.52,7.97,11.88
2015-05-21,1.42,1.52,1.52,1.42,0.0025,0.003546
2015-05-22,1.42,1.67,1.42,1.67,7.81,12.91
2015-05-23,1.67,1.67,1.67,1.67,0.0,0.0
2015-05-24,1.67,1.85,1.67,1.73,5.22,9.45
2015-05-25,1.73,1.91,1.73,1.76,0.06758,0.1206
2015-05-26,1.7,1.89,1.76,1.7,6.46,11.92
2015-05-27,1.7,1.7,1.7,1.7,0.0,0.0
2015-05-28,1.7,1.7,1.7,1.7,0.0,0.0
2015-05-29,1.7,1.7,1.7,1.7,0.0,0.0
2015-05-30,1.7,1.7,1.7,1.7,0.0,0.0
2015-05-31,1.7,1.7,1.7,1.7,0.0,0.0
2015-06-01,1.7,2.2,1.7,2.2,0.005,0.011
2015-06-02,2.2,2.2,2.2,2.2,0.0,0.0
2015-06-03,2.2,2.2,2.2,2.2,0.0,0.0
2015-06-04,2.2,2.2,2.2,2.2,0.0,0.0
2015-06-05,2.2,2.2,2.2,2.2,0.0,0.0
2015-06-06,2.2,2.2,2.2,2.2,0.0,0.0
2015-06-07,1.01,2.2,2.2,2.2,0.2153,0.4555
2015-06-08,2.2,2.2,2.2,2.2,0.0,0.0
2015-06-09,2.2,2.2,2.2,2.2,0.0,0.0
2015-06-10,1.01,2.2,2.2,1.01,0.002953,0.002988
2015-06-11,1.01,1.1,1.01,1.1,0.0006,0.00066
2015-06-12,1.1,2.2,1.1,2.2,0.03412,0.07505
2015-06-13,2.2,2.2,2.2,2.2,0.0,0.0
2015-06-14,1.7,2.2,2.2,2.19,0.003549,0.006793
2015-06-15,2.19,2.19,2.19,2.19,0.03132,0.0686
2015-06-16,2.19,2.65,2.19,2.65,28.76,75.52
2015-06-17,2.65,2.65,2.65,2.65,0.0,0.0
2015-06-18,2.65,2.65,2.65,2.65,0.0,0.0
2015-06-19,1.7,2.65,2.65,2.65,0.004298,0.009346
2015-06-20,2.65,12.0,2.65,12.0,0.01761,0.2113
2015-06-21,1.8,12.0,12.0,1.8,2.27,4.08
2015-06-22,1.8,1.8,1.8,1.8,0.0,0.0
2015-06-23,1.8,1.8,1.8,1.8,0.1,0.18
2015-06-24,1.8,3.65,1.8,3.65,0.01101,0.04019
2015-06-25,3.65,3.65,3.65,3.65,0.0,0.0
2015-06-26,3.65,3.65,3.65,3.65,0.0,0.0
2015-06-27,3.65,3.65,3.65,3.65,0.00255,0.009307
2015-06-28,3.65,3.65,3.65,3.65,0.0,0.0
2015-06-29,3.65,3.75,3.65,3.75,1.02,3.75
2015-06-30,3.65,3.85,3.65,3.85,0.3116,1.19
2015-07-01,3.85,3.85,3.85,3.85,0.0,0.0
2015-07-02,3.85,4.12,3.85,4.1,3.46,13.95
2015-07-03,4.0,4.1,4.1,4.1,6.32,25.87
2015-07-04,4.1,4.1,4.1,4.1,0.0,0.0
2015-07-05,1.8,4.8,4.1,4.8,9.39,22.3
2015-07-06,1.8,5.9,4.8,5.9,18.97,74.08
2015-07-07,1.81,5.9,5.9,1.81,0.1677,0.3035
2015-07-08,1.81,6.25,1.81,6.25,1.94,12.04
2015-07-09,6.25,9.99,6.25,9.99,2.0,19.98
2015-07-10,5.0,9.99,9.99,5.0,20.11,118.77
2015-07-11,3.9,5.0,5.0,3.9,10.66,41.57
2015-07-12,3.9,7.0,3.9,4.19,33.18,149.57
2015-07-13,4.19,4.19,4.19,4.19,0.0,0.0
2015-07-14,4.19,4.19,4.19,4.19,0.0,0.0
2015-07-15,4.19,4.9,4.19,4.9,11.66,50.62
2015-07-16,3.65,4.9,4.9,3.65,15.95,61.61
2015-07-17,3.65,3.65,3.65,3.65,0.0,0.0
2015-07-18,3.65,4.14,3.65,4.14,0.4749,1.96
2015-07-19,4.14,4.28,4.14,4.28,0.001531,0.006547
2015-07-20,4.28,4.28,4.28,4.28,0.0458,0.1958
2015-07-21,4.28,4.28,4.28,4.28,0.0,0.0
2015-07-22,3.0,4.28,4.28,3.0,0.003269,0.01279
2015-07-23,3.0,4.28,3.0,4.28,0.0006007,0.002568
2015-07-24,4.28,4.28,4.28,4.28,0.0,0.0
2015-07-25,4.28,4.6,4.28,4.6,2.17,9.57
2015-07-26,4.6,4.6,4.6,4.6,0.3773,1.74
2015-07-27,4.6,4.6,4.6,4.6,0.0,0.0
2015-07-28,4.6,4.8,4.6,4.8,0.6313,3.02
2015-07-29,3.0,5.24,4.8,5.24,0.006904,0.02829
2015-07-30,3.0,5.63,5.24,3.0,5.0,26.2
2015-07-31,3.0,3.0,3.0,3.0,0.0,0.0
2015-08-01,3.0,5.63,3.0,5.63,0.000847,0.004765
2015-08-02,5.63,5.63,5.63,5.63,0.0,0.0
2015-08-03,5.63,5.63,5.63,5.63,0.0,0.0
2015-08-04,3.0,5.63,5.63,3.0,0.0008453,0.002536
2015-08-05,3.0,3.0,3.0,3.0,0.0,0.0
2015-08-06,3.0,4.75,3.0,4.75,0.3152,1.5
2015-08-07,4.75,4.75,4.75,4.75,0.0,0.0
2015-08-08,4.75,4.75,4.75,4.75,0.0,0.0
2015-08-09,3.89,4.75,4.75,3.89,0.001987,0.007721
2015-08-10,3.89,3.89,3.89,3.89,0.0,0.0
2015-08-11,3.89,3.89,3.89,3.89,0.0,0.0
2015-08-12,3.83,3.89,3.89,3.83,0.306,1.19
2015-08-13,3.81,3.83,3.83,3.81,0.07193,0.2742
2015-08-14,3.81,3.81,3.81,3.81,0.002364,0.009011
2015-08-15,3.81,3.81,3.81,3.81,0.0,0.0
2015-08-16,3.81,4.75,3.81,4.75,0.1505,0.7151
2015-08-17,4.75,4.75,4.75,4.75,0.0,0.0
2015-08-18,3.77,3.81,3.81,3.77,1.43,5.42
2015-08-19,2.74,3.77,3.77,2.74,4.61,14.57
2015-08-20,2.2,2.74,2.74,2.2,0.04872,0.1072
2015-08-21,2.2,3.86,2.2,3.86,0.0021,0.008103
2015-08-22,3.15,3.86,3.86,3.15,1.5,4.73
2015-08-23,3.15,3.82,3.15,3.82,0.0009276,0.003545
2015-08-24,3.08,3.82,3.82,3.74,0.0172,0.05367
2015-08-25,1.88,3.74,3.74,1.88,0.7765,1.46
2015-08-26,1.88,2.8,1.88,2.8,48.4,135.51
2015-08-27,2.7,2.8,2.8,2.7,0.1237,0.3339
2015-08-28,2.7,2.7,2.7,2.7,0.0,0.0
2015-08-29,2.47,3.27,2.7,2.47,0.0008504,0.002309
2015-08-30,2.47,2.47,2.47,2.47,0.0,0.0
2015-08-31,2.47,2.47,2.47,2.47,0.0,0.0
2015-09-01,2.47,3.27,2.47,2.47,0.01532,0.04396
2015-09-02,2.47,2.47,2.47,2.47,0.0,0.0
2015-09-03,2.47,2.47,2.47,2.47,0.0001062,0.0002623
2015-09-04,2.47,2.49,2.47,2.49,2.5,6.24
2015-09-05,2.49,2.49,2.49,2.49,0.0,0.0
2015-09-06,2.49,3.27,2.49,3.2,0.9091,2.91
2015-09-07,3.2,3.2,3.2,3.2,0.2283,0.7306
2015-09-08,2.85,3.2,3.2,2.85,0.01286,0.03666
2015-09-09,2.85,2.85,2.85,2.85,0.0,0.0
2015-09-10,2.85,2.95,2.85,2.95,1.52,4.47
2015-09-11,2.95,2.95,2.95,2.95,0.1121,0.3308
2015-09-12,2.49,3.27,2.95,2.49,0.01344,0.03873
2015-09-13,2.49,2.97,2.49,2.97,1.56,4.63
2015-09-14,2.97,2.97,2.97,2.97,0.0,0.0
2015-09-15,2.76,3.0,2.97,3.0,0.07963,0.2307
2015-09-16,2.79,3.0,3.0,3.0,0.5563,1.61
2015-09-17,2.86,3.0,3.0,2.86,1.0,2.86
2015-09-18,2.86,2.96,2.86,2.96,4.62,13.66
2015-09-19,2.91,2.96,2.96,2.91,0.00468,0.01372
2015-09-20,2.9,2.91,2.91,2.9,1.28,3.72
2015-09-21,2.84,2.9,2.9,2.84,4.35,12.35
2015-09-22,2.84,2.84,2.84,2.84,0.00025,0.0007091
2015-09-23,2.84,2.9,2.84,2.84,0.003097,0.008835
2015-09-24,2.84,2.85,2.84,2.85,0.0008094,0.002307
2015-09-25,2.85,2.9,2.85,2.88,4.83,14.0
2015-09-26,2.88,2.89,2.88,2.89,4.8,13.88
2015-09-27,2.89,2.91,2.89,2.89,7.17,20.76
2015-09-28,2.76,3.04,2.89,2.76,17.63,51.76
2015-09-29,2.76,3.25,2.76,3.25,1.02,3.32
2015-09-30,3.0,3.25,3.25,3.05,18.87,56.97
2015-10-01,2.93,3.1,3.05,2.95,10.34,30.52
2015-10-02,2.93,3.1,2.95,2.93,0.02537,0.0759
2015-10-03,2.93,2.94,2.93,2.94,0.9814,2.89
2015-10-04,2.94,3.07,2.94,2.95,0.04541,0.1347
2015-10-05,2.95,3.07,2.95,3.07,0.001705,0.005232
2015-10-06,2.95,3.09,3.07,3.09,5.57,16.71
2015-10-07,3.09,3.09,3.09,3.09,0.0,0.0
2015-10-08,2.98,3.16,3.09,3.15,5.8,17.79
2015-10-09,3.0,3.15,3.15,3.15,0.3389,1.06
2015-10-10,3.04,3.15,3.15,3.15,0.07462,0.2308
2015-10-11,3.15,3.15,3.15,3.15,0.8461,2.66
2015-10-12,3.15,3.15,3.15,3.15,7.3,22.99
2015-10-13,3.08,3.2,3.15,3.18,13.3,41.94
2015-10-14,3.1,3.31,3.18,3.1,6.24,20.06
2015-10-15,3.1,3.24,3.1,3.11,7.48,23.62
2015-10-16,3.04,3.19,3.11,3.19,42.41,131.46
2015-10-17,2.98,3.19,3.19,3.01,154.55,468.35
2015-10-18,2.95,3.13,3.01,3.13,0.6459,2.02
2015-10-19,2.95,3.13,3.13,3.11,0.1595,0.4961
2015-10-20,2.99,3.11,3.11,3.0,0.1633,0.4904
2015-10-21,3.0,3.14,3.0,3.14,9.93,30.41
2015-10-22,3.0,3.14,3.14,3.06,0.7343,2.24
2015-10-23,3.03,3.18,3.06,3.03,7.16,22.48
2015-10-24,3.03,3.18,3.03,3.18,9.18,29.18
2015-10-25,3.07,3.18,3.18,3.18,14.37,45.09
2015-10-26,3.01,3.18,3.18,3.16,20.21,62.21
2015-10-27,3.02,3.17,3.16,3.02,8.42,25.65
2015-10-28,3.0,3.15,3.02,3.0,3.44,10.34
2015-10-29,3.0,3.79,3.0,3.7,96.25,300.21
2015-10-30,3.52,3.95,3.7,3.85,4.52,17.26
