datetime,low,high,open,close,volumefrom,volumeto
2017-09-07,29.21,31.64,29.9,31.15,13389.04,407901.78
2017-09-08,22.32,31.39,31.15,25.89,295659.85,7883609.21
2017-09-09,22.18,25.92,25.89,22.6,133108.92,3181014.53
2017-09-10,19.53,25.4,22.6,23.81,172319.91,3844551.92
2017-09-11,21.51,24.5,23.81,22.05,79781.23,1808485.63
2017-09-12,19.88,23.8,22.05,21.0,147224.67,3213065.75
2017-09-13,17.53,21.4,21.0,20.09,142959.63,2734092.17
2017-09-14,14.7,20.99,20.09,15.72,169838.55,2919161.29
2017-09-15,13.19,19.33,15.72,18.53,239632.91,3970274.86
2017-09-16,18.25,23.2,18.53,20.35,176983.26,3612876.94
2017-09-17,18.2,20.5,20.35,19.86,61487.39,1198874.78
2017-09-18,19.51,21.4,19.86,21.22,135644.7,2785265.49
2017-09-19,18.9,21.92,21.22,19.9,172619.6,3531051.01
2017-09-20,19.51,20.6,19.9,19.67,76113.6,1526467.46
2017-09-21,16.56,19.97,19.67,17.43,142022.89,2528919.04
2017-09-22,16.99,19.5,17.43,18.55,108624.1,1967777.74
2017-09-23,18.17,20.6,18.55,20.02,89398.41,1755039.06
2017-09-24,19.1,20.38,20.02,19.55,45313.37,891842.32
2017-09-25,19.55,27.4,19.55,25.9,595933.37,14554711.55
2017-09-26,24.38,27.36,25.9,26.4,523803.59,13703612.9
2017-09-27,26.4,34.01,26.4,31.87,1163600.12,36122750.92
2017-09-28,27.61,32.8,31.87,29.91,749429.81,22369645.39
2017-09-29,26.08,30.5,29.91,28.62,607684.17,17121759.29
2017-09-30,28.46,34.49,28.62,34.3,683104.46,21936583.35
2017-10-01,31.85,36.0,34.3,35.63,541050.47,18237227.72
2017-10-02,34.56,38.94,35.63,36.58,865438.74,31593107.07
2017-10-03,31.9,36.88,36.58,33.55,623695.75,21031999.99
2017-10-04,30.1,35.24,33.55,31.15,496717.23,16249938.62
2017-10-05,28.76,33.68,31.15,32.2,650716.75,20564507.69
2017-10-06,32.0,34.49,32.2,33.45,369114.15,12346200.47
2017-10-07,33.05,36.37,33.45,35.88,261315.74,8990081.8
2017-10-08,31.01,37.23,35.88,32.13,760719.32,26273350.5
2017-10-09,26.59,33.0,32.13,28.95,772910.07,22959529.2
2017-10-10,28.0,31.52,28.95,29.36,310378.44,9258686.71
2017-10-11,29.32,31.31,29.36,30.01,195467.97,5910634.18
2017-10-12,27.5,30.48,30.01,28.25,330385.17,9561519.53
2017-10-13,26.62,29.85,28.25,29.31,454071.52,12761387.55
2017-10-14,27.57,29.65,29.31,27.69,153436.81,4383507.9
2017-10-15,27.0,28.4,27.69,27.9,180866.41,4966431.02
2017-10-16,27.0,29.08,27.9,28.54,227413.42,6395202.48
2017-10-17,27.67,32.78,28.54,31.66,509458.68,15483646.2
2017-10-18,28.22,31.75,31.66,29.67,342398.62,10175581.96
2017-10-19,28.48,30.08,29.67,28.77,142170.02,4114006.31
2017-10-20,27.67,29.65,28.77,27.68,199902.21,5711472.41
2017-10-21,25.83,28.26,27.68,27.16,176456.88,4761642.87
2017-10-22,26.92,29.65,27.16,28.54,194974.9,5567464.26
2017-10-23,26.5,28.59,28.54,27.88,149015.39,4058151.02
2017-10-24,26.8,32.62,27.88,30.0,393903.83,12089898.94
2017-10-25,28.46,30.37,30.0,28.6,104201.49,3043412.42
2017-10-26,27.71,29.34,28.6,28.26,106410.41,3030067.45
2017-10-27,28.2,29.34,28.26,28.88,58810.85,1683546.15
2017-10-28,27.0,29.03,28.88,27.31,78273.81,2186528.1
2017-10-29,27.01,28.6,27.31,27.7,79035.47,2210260.77
2017-10-30,27.65,29.57,27.7,28.79,88375.53,2547235.78
2017-10-31,28.07,31.89,28.79,28.36,331093.88,9822983.39
2017-11-01,26.62,28.51,28.36,26.7,257480.78,7028524.14
2017-11-02,22.52,26.93,26.7,24.7,385133.44,9609250.29
2017-11-03,24.3,26.88,24.7,26.65,149250.62,3877052.71
2017-11-04,25.76,27.7,26.65,26.46,129800.35,3486917.9
2017-11-05,25.59,26.6,26.46,26.45,85642.92,2226028.78
2017-11-06,25.9,26.84,26.45,26.21,69132.34,1823651.63
2017-11-07,25.01,26.75,26.21,26.15,653657.47,16945293.48
2017-11-08,25.87,32.75,26.15,30.46,609798.42,18042789.75
2017-11-09,28.4,33.2,30.46,31.94,639176.58,20099752.61
