datetime,low,high,open,close,volumefrom,volumeto
2015-01-29,0.3107,0.35,0.35,0.3107,68.21,23.86
2015-01-30,0.3027,0.35,0.3107,0.3027,230.0,80.2
2015-01-31,0.2896,0.3027,0.3027,0.2896,82.1,24.55
2015-02-01,0.2896,0.2896,0.2896,0.2896,0.0,0.0
2015-02-02,0.2867,0.3035,0.2896,0.3029,59.58,17.89
2015-02-03,0.3021,0.36,0.3029,0.3311,254.39,90.77
2015-02-04,0.2755,0.3311,0.3311,0.2922,366.07,103.14
2015-02-05,0.2727,0.368,0.2922,0.2755,419.03,118.1
2015-02-06,0.2737,0.2767,0.2755,0.2747,119.43,32.88
2015-02-07,0.2747,0.2747,0.2747,0.2747,0.0,0.0
2015-02-08,0.2747,0.2747,0.2747,0.2747,0.0,0.0
2015-02-09,0.2747,0.2747,0.2747,0.2747,0.0,0.0
2015-02-10,0.2747,0.2747,0.2747,0.2747,0.0,0.0
2015-02-11,0.2747,0.2747,0.2747,0.2747,0.0,0.0
2015-02-12,0.2747,0.2747,0.2747,0.2747,0.0,0.0
2015-02-13,0.2747,0.2747,0.2747,0.2747,0.0,0.0
2015-02-14,0.2747,0.2747,0.2747,0.2747,0.0,0.0
2015-02-15,0.2747,0.2747,0.2747,0.2747,0.0,0.0
2015-02-16,0.2747,0.2747,0.2747,0.2747,0.0,0.0
2015-02-17,0.01,0.52,0.52,0.099,12.26,1.0
2015-02-18,0.099,0.099,0.099,0.099,0.0,0.0
2015-02-19,0.0886,0.35,0.099,0.26,171.26,41.34
2015-02-20,0.25,0.26,0.26,0.25,110.97,28.85
2015-02-21,0.25,0.25,0.25,0.25,0.0,0.0
2015-02-22,0.25,0.32,0.25,0.295,39.33,11.64
2015-02-23,0.295,0.35,0.295,0.35,150.8,48.56
2015-02-24,0.25,0.38,0.35,0.25,10.43,3.32
2015-02-25,0.25,0.25,0.25,0.25,0.001098,0.0002745
2015-02-26,0.25,0.38,0.25,0.25,0.263,0.0829
2015-02-27,0.25,0.25,0.25,0.25,0.02204,0.00551
2015-02-28,0.25,0.5499,0.25,0.35,40.3,16.51
2015-03-01,0.35,0.35,0.35,0.35,0.0,0.0
2015-03-02,0.35,0.5399,0.35,0.5399,1.02,0.5501
2015-03-03,0.35,0.5399,0.5399,0.497,0.4669,0.1756
2015-03-04,0.497,0.497,0.497,0.497,0.0,0.0
2015-03-05,0.26,0.497,0.497,0.26,0.0005611,0.0001459
2015-03-06,0.26,0.497,0.26,0.497,1.1,0.5469
2015-03-07,0.497,0.497,0.497,0.497,0.00261,0.001297
2015-03-08,0.26,0.497,0.497,0.497,0.4993,0.239
2015-03-09,0.25,0.5399,0.497,0.25,8.03,4.21
2015-03-10,0.25,0.5399,0.25,0.5399,0.02206,0.005515
2015-03-11,0.261,0.8399,0.5399,0.2611,21.82,5.8
2015-03-12,0.2611,0.2611,0.2611,0.2611,0.0,0.0
2015-03-13,0.2611,0.81,0.2611,0.8,4.12,3.28
2015-03-14,0.6,0.8,0.8,0.7998,22.21,13.32
2015-03-15,0.6,0.7998,0.7998,0.7998,0.051,0.03215
2015-03-16,0.4,0.7998,0.7998,0.4,13.72,10.95
2015-03-17,0.4,0.4,0.4,0.4,0.0,0.0
