datetime,low,high,open,close,volumefrom,volumeto
2016-10-28,2100.0,5000.0,2100.0,5000.0,0.08311,414.42
2016-10-29,1900.0,9000.0,5000.0,1900.0,9.13,39470.57
2016-10-30,404.85,2400.0,1900.0,604.39,16.15,14660.37
2016-10-31,404.85,2502.78,604.39,1644.62,45.19,65992.54
2016-11-01,1047.45,2080.88,1644.62,1373.0,55.32,89179.1
2016-11-02,851.0,1500.0,1373.0,975.52,84.77,91800.41
2016-11-03,863.99,1125.47,975.52,871.0,118.73,114408.4
2016-11-04,605.0,900.0,871.0,614.37,63.1,45490.78
2016-11-05,505.0,650.0,614.37,505.0,67.27,37936.57
2016-11-06,320.0,509.46,505.0,344.57,113.61,47488.06
2016-11-07,231.53,358.35,344.57,231.53,116.26,33728.64
2016-11-08,180.0,290.35,231.53,270.0,140.44,32338.93
2016-11-09,221.14,400.61,270.0,255.3,399.1,109169.68
2016-11-10,224.84,260.0,255.3,226.72,161.72,39905.41
2016-11-11,180.0,226.87,226.72,182.83,161.98,32255.22
2016-11-12,142.5,191.47,182.83,143.0,76.11,12511.12
2016-11-13,112.79,150.0,143.0,119.51,160.18,21234.22
2016-11-14,94.52,121.0,119.51,102.65,313.78,34030.64
2016-11-15,96.76,133.93,102.65,111.25,215.78,24765.83
2016-11-16,94.17,116.0,111.25,94.17,460.47,48000.02
2016-11-17,83.0,99.65,94.17,84.15,131.25,12010.56
2016-11-18,65.1,88.3,84.15,68.31,238.06,18549.72
2016-11-19,63.0,72.0,68.31,64.29,237.55,16028.35
2016-11-20,60.0,68.3,64.29,60.54,150.32,9417.95
2016-11-21,53.54,63.01,60.54,53.54,141.26,8095.66
2016-11-22,53.0,73.0,53.54,56.0,566.11,34437.31
2016-11-23,55.78,95.63,56.0,83.7,862.15,61720.56
2016-11-24,68.49,104.0,83.7,93.42,1007.55,85990.32
2016-11-25,86.59,107.5,93.42,91.64,539.04,52294.85
2016-11-26,73.75,93.15,91.64,76.02,411.92,34133.53
2016-11-27,65.14,81.77,76.02,70.55,355.7,24885.16
2016-11-28,65.0,75.59,70.55,74.4,159.67,10926.17
2016-11-29,67.07,77.1,74.4,68.61,158.38,11138.85
2016-11-30,65.4,72.5,68.61,67.5,205.76,14215.77
2016-12-01,61.6,68.4,67.5,61.89,239.03,15251.16
2016-12-02,58.63,64.6,61.89,59.03,415.77,25825.45
2016-12-03,57.78,60.77,59.03,58.66,173.26,10212.2
2016-12-04,57.67,61.88,58.66,57.67,136.73,8017.27
2016-12-05,50.0,58.41,57.67,50.0,458.04,25332.55
2016-12-06,46.0,52.5,50.0,48.49,442.38,21695.45
2016-12-07,47.08,61.5,48.49,55.69,618.5,34451.03
2016-12-08,52.55,57.4,55.69,52.61,240.4,13102.11
2016-12-09,49.3,53.0,52.61,49.66,242.43,12237.58
2016-12-10,47.74,52.0,49.66,48.42,208.39,10258.37
2016-12-11,47.78,51.15,48.42,47.79,144.24,7105.21
