datetime,low,high,open,close,volumefrom,volumeto,close_12_ema,close_26_ema,macd,macds,macdh
2017-12-20,3161.69,9500.0,9000.0,3746.84,79612.84,302352404.28,3746.84,3746.84,0.0,0.0,0.0
2017-12-21,2910.0,3749.96,3746.84,3162.53,72406.41,237755366.04,3430.33875,3443.448269230769,-13.10951923076891,-7.283066239316061,-11.652905982905699
2017-12-22,1550.0,3231.44,3162.53,2719.99,104937.49,264649649.22,3153.0894688221706,3183.516737309019,-30.427268486848334,-16.7683950292883,-27.31774691512007
2017-12-23,2555.0,3499.77,2719.99,3160.0,66275.45,208508224.21,3155.2708534482754,3176.9424852289508,-21.671631780675398,-18.42938308870127,-6.484497383948252
2017-12-24,2669.0,3164.99,3160.0,2919.99,29996.68,86990905.51,3091.3458864546565,3117.354144078414,-26.008257623757345,-20.683926917549464,-10.648661412415763
2017-12-25,2761.0,2965.81,2919.99,2835.01,12795.32,36629988.56,3029.0427802653,3060.8028639156164,-31.760083650316574,-23.686181214530748,-16.14780487157165
2017-12-26,2773.96,2949.0,2835.01,2928.04,15334.61,43773204.02,3006.5043632308616,3037.1916767926664,-30.687313561804785,-25.457981038410452,-10.458665046788667
2017-12-27,2542.0,2938.01,2928.04,2719.69,15394.55,42111355.36,2946.650626324804,2986.0342895013905,-39.38366317658665,-28.804584328724847,-21.15815769572361
2017-12-28,2303.0,2723.8,2719.69,2493.19,21337.32,52885387.4,2856.9399744254315,2912.98394641763,-56.043971992198294,-35.097018014286256,-41.893907955824076
2017-12-29,2330.59,2888.0,2493.19,2658.51,20494.18,53851187.26,2819.3375713905107,2877.8690185274945,-58.53144713698384,-40.34769050451417,-36.36751326493935
2017-12-30,2380.25,2672.0,2658.51,2450.0,5492.91,13714740.6,2751.7577011838935,2822.3742712753783,-70.61657009148485,-46.970348403700314,-47.292443375569064
