datetime,low,high,open,close,volumefrom,volumeto,close_12_ema,close_26_ema,macd,macds,macdh
2015-02-09,215.4,225.0,224.22,220.61,29625.03,6493501.42,220.61,220.61,0.0,0.0,0.0
2015-02-10,214.0,223.88,220.61,220.96,29268.95,6402350.57,220.79958333333332,220.79173076923075,0.00785256410256352,0.004362535612535289,0.0069800569800564614
2015-02-11,218.1,224.4,220.96,219.19,19289.28,4268986.79,220.17136258660508,220.21624445539678,-0.044881868791691204,-0.01581959734001655,-0.058124542903349306
2015-02-12,217.87,223.2,219.19,222.6,11190.65,2468883.37,220.93798850574714,220.8826383365527,0.05535016919444047,0.008289402163525797,0.09412153406182934
2015-02-13,221.46,241.76,222.39,236.0,29079.11,6806972.89,225.03028319745817,224.38841685935978,0.6418663380983958,0.19676421651825862,0.8902042431602744
2015-02-14,235.51,261.3,236.13,258.12,42984.94,10739014.48,233.07282522400797,231.14458392897419,1.9282412950337857,0.666090773059244,2.5243010439490834
2015-02-15,228.2,266.84,257.0,234.14,71361.28,17384420.7,233.31096154151092,231.67730314938086,1.6336583921300587,0.910956325090819,1.4454041340784793
2015-02-16,228.62,243.65,234.14,236.78,45750.85,10798751.12,234.03489639913963,232.49947404830044,1.535422350839184,1.0610272541643682,0.9487901933496317
2015-02-17,231.5,246.28,236.78,242.87,42669.08,10228035.45,235.78279435900345,234.0366136578455,1.7461807011579538,1.2193010994836646,1.0537592033485783
2015-02-18,231.01,244.99,242.87,234.8,38588.38,9164141.83,235.59655520992982,234.1419535432618,1.454601666668026,1.2720220857121411,0.36515916191176956
2015-02-19,234.62,243.42,234.8,241.9,22792.55,5446200.04,236.74993361972372,235.1481746264534,1.6017589932703231,1.3441666369902598,0.5151847125601265
2015-02-20,238.95,248.98,241.9,245.53,33337.97,8136342.67,238.31100059841185,236.42374545390678,1.887255144505076,1.4607992721518694,0.8529117447064132
2015-02-21,243.28,247.73,245.53,245.1,16514.04,4052466.26,239.48982880510505,237.44016710901468,2.049661696090368,1.5854230199284371,0.9284773523238616
2015-02-22,232.1,247.78,245.1,236.59,33394.5,7971863.56,238.99608054593315,237.34468322503204,1.6513973209011112,1.5992248929163855,0.10434485596945153
2015-02-23,232.61,241.0,236.59,239.73,23893.09,5666261.84,239.11902461875195,237.60271607072443,1.5163085480275242,1.5820368742960038,-0.13145665253695915
2015-02-24,236.7,240.99,239.73,239.68,16784.31,4013461.44,239.21173022354438,237.82001703420678,1.3917131893375938,1.5428696787591665,-0.30231297884314534
2015-02-25,235.53,240.83,239.68,238.0,13574.5,3230232.16,239.01374164252027,237.8382868770025,1.1754547655177703,1.467693887789905,-0.5844782445442696
2015-02-26,233.62,238.34,238.0,237.0,18691.43,4418655.89,238.6878213848762,237.75546561149721,0.9323557733789869,1.358662123251128,-0.8526126997442822
2015-02-27,236.64,262.8,237.0,256.4,69269.58,17536633.13,241.53174689376846,239.55306851094463,1.97867838282383,1.4844785814188564,0.9883996028099471
2015-02-28,251.25,257.33,255.05,255.77,10695.34,2721373.29,243.80263369067768,241.08244841140203,2.720185279275654,1.7345025005201957,1.9713655575109166
2015-03-01,245.65,265.0,255.7,261.15,24361.06,6156716.71,246.5538661187738,242.93743807208827,3.6164280466855416,2.114391467024026,3.004073159323031
2015-03-02,259.6,276.0,262.47,275.99,35351.14,9448438.14,251.20026314233166,245.9376334520678,5.2626296902638785,2.7487196273650194,5.027820125797718
2015-03-03,267.04,294.0,277.3,283.2,75940.04,21157890.72,256.2311899449477,249.26440957266465,6.96678037228304,3.59734115366417,6.73887843723774
2015-03-04,267.0,285.99,283.2,273.74,71328.67,19833718.19,258.9746359549114,251.41685557991622,7.557780374995161,4.393187274979188,6.3291862000319465
2015-03-05,262.0,284.99,273.74,278.51,67235.69,18281541.95,262.02694297090534,253.76690436690888,8.260038603996463,5.169490330807758,6.181096546377411
2015-03-06,268.8,279.75,278.51,273.89,40490.63,11083898.02,263.8760526683057,255.49054303098535,8.385509637320354,5.81464404958089,5.141731175478927
2015-03-07,270.55,280.76,273.89,275.95,22095.92,6096102.1,265.7542305860918,257.2229304284455,8.531300157646285,6.359292149495149,4.344016016302273
2015-03-08,271.61,278.68,275.95,275.23,14729.83,4059996.89,267.2257293033274,258.73167118883316,8.494058114494237,6.787072790594415,3.413970647799644
2015-03-09,275.01,295.0,275.23,291.2,62709.27,17935918.08,270.9433400049884,261.425897173194,9.51744283179437,7.3339931170474255,4.366899429493888
2015-03-10,289.03,303.96,291.2,292.62,66533.18,19689801.8,274.30057022306625,263.9915379981235,10.309032224942769,7.929738435609558,4.758587578666422
2015-03-11,290.8,298.75,292.62,296.33,26799.48,7898592.99,277.708920887154,266.6297362022064,11.07918468494762,8.560252115981369,5.037865137932503
2015-03-12,291.04,298.8,296.33,295.65,27237.56,8044592.43,280.4823117232296,268.9795933032941,11.50271841993549,9.149211998865347,4.707012842140287
2015-03-13,285.0,295.91,295.65,287.9,42613.88,12368444.8,281.6281176965538,270.50113793968995,11.126979756863818,9.54501642132189,3.163926671083857
2015-03-14,281.36,287.91,287.9,283.0,27077.04,7697730.93,281.83989955872124,271.49993716925866,10.339962389462585,9.704086272947185,1.2717522330307993
2015-03-15,281.59,287.8,283.0,286.12,13491.22,3846739.5,282.50028430945576,272.6614641312585,9.838820178197238,9.731043989346116,0.21555237770224522
2015-03-16,286.12,295.2,286.12,291.1,22427.27,6538607.02,283.8265594672891,274.1185297184552,9.708029748833894,9.726439647049169,-0.036819796430549445
2015-03-17,281.56,292.9,291.1,285.0,22077.69,6363650.41,284.0074629528452,274.9741800540921,9.0332828987531,9.587772297287728,-1.1089787970692555
2015-03-18,248.0,285.5,285.0,257.49,87951.0,23520537.51,279.9207008313415,273.60557451657786,6.315126314763631,8.933107132147695,-5.2359616347681275
2015-03-19,246.98,269.5,257.49,262.05,78178.66,20177686.14,277.16728472444015,272.7048267949081,4.462457929532036,8.038828704134247,-7.152741549204421
2015-03-20,259.36,267.0,262.05,262.66,16500.89,4328441.8,274.9325945566403,271.9248630937355,3.0077314629048146,7.0324754886015866,-8.049488051393544
