datetime,low,high,open,close,volumefrom,volumeto,close_12_ema,close_26_ema,macd,macds,macdh
2017-10-24,56.0,200.01,154.0,105.13,77153.02,9943982.54,105.13,105.13,0.0,0.0,0.0
2017-10-25,85.9,136.44,105.13,110.0,55892.9,6369052.62,107.76791666666665,107.65865384615385,0.10926282051279657,0.06070156695155365,0.09712250712248584
2017-10-26,105.03,125.14,110.0,114.77,30127.89,3426194.3,110.50083140877598,110.21369147363234,0.28713993514364233,0.15350417686634407,0.2672715165545965
2017-10-27,99.26,117.2,114.77,102.0,21834.42,2324305.97,107.81745114942528,107.91750227246904,-0.1000511230437553,0.0676114600946302,-0.335325166276771
2017-10-28,87.2,105.0,102.0,97.04,12893.4,1231275.75,104.88925619048526,105.39496463014932,-0.5057084396640619,-0.10293824830574222,-0.8055403827166393
2017-10-29,96.41,116.68,97.04,115.0,23349.63,2535569.8,107.34669886045256,107.31877660771649,0.027922252736075848,-0.06746777682029845,0.1907800591127486
2017-10-30,108.3,117.39,115.0,111.66,12971.42,1459570.42,108.30919691865344,108.0908406837286,0.21835623492484046,0.00486665546161786,0.4269791589264452
2017-10-31,111.66,155.0,111.66,149.0,64572.67,8777439.33,116.80074035006362,114.68231991005608,2.11842044000754,0.5127933752757308,3.2112541294636188
2017-11-01,127.61,152.71,149.0,130.0,49147.56,6920112.45,119.41202370972783,116.95273636745226,2.459287342275573,0.9624431382590601,2.9936884080330257
2017-11-02,111.48,137.02,130.0,120.0,30313.69,3731678.01,119.52344498822073,117.37322909067798,2.1502158975427506,1.2285731864526586,1.843285422180184
2017-11-03,115.11,129.5,120.0,120.2,20577.09,2484154.29,119.6472382424828,117.73986217313936,1.9073760693434423,1.3770913785928813,1.060569381501122
2017-11-04,118.2,139.43,120.2,137.52,23258.56,3041050.54,122.82495660920233,120.1701637691612,2.654792840041125,1.6514880677816746,2.006609544518901
2017-11-05,134.3,174.49,137.52,164.42,50359.85,7930560.79,130.04743631603958,125.35402410210351,4.693412213936071,2.295264902802463,4.796294622267216
2017-11-06,141.1,168.57,164.42,145.0,27013.92,4213429.32,132.59338050285328,127.56050099760947,5.0328795052438124,2.867975920210558,4.329807170066509
2017-11-07,142.2,160.0,145.0,151.4,14972.02,2259687.46,135.74381122671556,130.13935083089837,5.604460395817199,3.4352313411309567,4.3384581093724846
2017-11-08,125.55,157.0,151.4,131.07,38440.63,5378255.23,134.97142707057964,130.2367043790868,4.734722691492834,3.7026569735695816,2.0641314358465053
2017-11-09,128.4,153.6,131.07,151.3,32991.07,4625611.98,137.63940623098097,132.37481282761453,5.264593403366433,4.022240644024832,2.484705518683203
2017-11-10,140.0,194.9,151.3,190.0,73395.85,12149181.58,146.11386881906,138.06807972409797,8.045789094962032,4.841712629119117,6.40815293168583
2017-11-11,184.1,478.0,190.0,400.0,139447.15,42531537.59,186.8786589958552,163.32210696524712,23.55655203060809,8.639411112536216,29.834281836143745
2017-11-12,235.0,437.98,400.0,252.91,98740.19,32578124.9,197.41012653964378,171.77092621469316,25.63920032495062,12.079025003240469,27.120350643420306
2017-11-13,182.0,282.04,252.91,240.0,71064.95,16871688.77,204.16473348592555,178.07783544929325,26.086898036632306,14.906680125099662,22.360435823065288
2017-11-14,160.0,247.0,240.0,173.69,59196.98,11997742.94,199.35439692698526,177.67954972270442,21.674847204280837,16.27037583926938,10.808942730022913
2017-11-15,160.0,194.0,173.69,163.6,48191.51,8384247.43,193.73317089592692,176.4225305329544,17.31064036297252,16.479664164223784,1.6619523974974726
2017-11-16,151.0,198.26,163.6,154.8,48633.64,8566782.46,187.63275333392104,174.52098990820392,13.111763425717129,15.802888031597332,-5.382249211760406
2017-11-17,152.68,173.0,154.8,162.91,32317.53,5266727.79,183.76994160020334,173.5138571691435,10.256084431059833,14.689320371815462,-8.86647188151126
2017-11-18,162.7,180.3,162.91,176.21,29481.44,5110030.66,182.59156394506505,173.74479460103123,8.846769344033817,13.51726785488498,-9.340997021702325
2017-11-19,160.0,178.0,176.21,163.99,23524.24,3957526.76,179.6979744934864,172.91881553143853,6.779158962047887,12.166379829490946,-10.774441734886118
2017-11-20,150.0,235.0,163.99,195.9,41892.3,6934393.91,182.21399812260302,174.84431760116325,7.369680521439761,11.205180738442374,-7.671000434005226
2017-11-21,181.74,260.05,195.9,252.0,122438.75,28187600.3,193.03548214970849,181.2467057736197,11.788776376088776,11.322080759993243,0.9333912321910667
2017-11-22,216.5,258.8,252.0,233.2,40278.13,9541711.84,199.25606839558574,185.5197407570856,13.736327638500143,11.80552861515143,3.861598046697427
2017-11-23,232.8,294.57,233.2,284.5,73987.41,19856264.85,212.44484422116696,193.59463133658087,18.850212884586085,13.215862195764911,11.268701377642348
2017-11-24,274.55,411.99,284.5,392.3,130678.15,45833047.0,240.24744392659974,209.6843962274666,30.563047699133136,16.68805024723077,27.749994903804733
2017-11-25,319.5,394.4,392.3,357.05,77948.13,28766910.34,258.28986650555254,221.53526960474838,36.75459690080416,20.703904928243855,32.10138394512061
2017-11-26,357.04,357.05,357.05,357.05,1.9,676.72,273.53578441470427,232.36441610311604,41.171368311588225,24.799474305304372,32.743788012567705
2017-11-27,346.08,393.0,357.05,361.91,57197.22,21068663.97,287.1712084266732,242.65648462883092,44.514723797842294,28.7441243439685,31.541198907747585
2017-11-28,321.5,367.0,361.91,329.4,37338.29,12831891.76,293.6838652660855,249.51120411738142,44.172661148704066,31.830833399273804,24.683655498860524
2017-11-29,277.0,345.0,329.4,287.0,70465.53,22012782.94,292.6534470302089,252.45908707341815,40.19435995679075,33.50397308267329,13.380773748234915
2017-11-30,254.0,305.5,287.0,286.2,47431.95,13286176.56,291.6588683662135,255.10021751986977,36.55865084634371,34.11503554811616,4.8872305964550975
2017-12-01,272.01,307.83,286.2,299.55,40418.46,11680427.41,292.8746891192553,258.56504224496285,34.30964687429247,34.153964281496705,0.3113651855915265
2017-12-02,280.68,305.89,299.55,286.34,24086.29,6991779.38,291.86809099963426,260.7217204329345,31.146370566699773,33.55236557235267,-4.811990011305795
2017-12-03,281.0,338.7,286.34,303.0,60686.38,19038762.86,293.58251015734595,263.99286506800655,29.5896450893394,32.75973718904303,-6.340184199407261
2017-12-04,292.88,324.0,303.0,311.04,32209.24,9887867.41,296.27068956401985,267.6210199135328,28.649669650487056,31.9376537462069,-6.575968191439692
2017-12-05,271.0,312.03,311.04,275.0,32767.33,9671144.89,292.9957896806648,268.18834143540573,24.80744824525908,30.511515588083732,-11.408134685649301
2017-12-06,240.99,311.0,275.0,256.26,44125.73,11740650.48,287.34049706163825,267.27381851928004,20.066678542358204,28.422434438542105,-16.7115117923678
2017-12-07,212.51,264.0,256.26,214.5,43684.53,10317359.83,276.128172559423,263.2382200330226,12.88995252640035,25.315802743219493,-24.851700433638285
