datetime,low,high,open,close,volumefrom,volumeto,close_12_ema,close_26_ema,macd,macds,macdh
2017-11-22,230.0,283.0,275.3,241.25,19049.14,4738958.12,241.25,241.25,0.0,0.0,0.0
2017-11-23,241.25,309.5,241.25,295.0,29515.7,8198164.71,270.3645833333333,269.1586538461538,1.2059294871795032,0.6699608262108351,1.0719373219373363
2017-11-24,283.7,415.0,295.0,393.0,90474.45,32494023.17,318.22921478060044,313.6536471168063,4.575567663794118,2.2706193662039835,4.609896595180269
2017-11-25,341.0,395.0,393.0,357.0,28251.84,10454665.6,330.4676364942529,325.7713931655494,4.696243328703474,3.092307700384027,3.207871256638894
2017-11-26,330.0,365.5,357.0,363.74,19244.48,6664359.46,339.50761874411387,334.5764696957334,4.931149048380462,3.6393214283696396,2.5836552400216446
2017-11-27,341.0,385.0,363.74,360.51,23148.84,8477415.85,344.6123023204662,339.7707489772604,4.841553343205817,3.9651931200916497,1.7527204462283343
2017-11-28,323.0,361.5,360.51,329.0,18389.98,6342452.16,341.1284716809319,337.85522710573724,3.273244575194667,3.7900794028856546,-1.033669655381975
2017-11-29,278.68,345.0,329.0,283.0,39118.43,12181744.88,328.9979555814252,329.01669079831606,-0.01873521689088875,2.874749624978551,-5.78696968373888
2017-11-30,255.0,305.0,283.0,289.0,15995.19,4444391.21,321.08493632122236,323.0853387381123,-2.0004024168899264,1.748565317552936,-7.497935468885725
2017-12-01,271.8,307.97,289.0,298.98,14244.69,4162970.99,316.89605947931045,319.75903660199134,-2.8629771226808884,0.715312111269286,-7.156578467900349
2017-12-02,282.1,304.0,298.98,287.87,7881.82,2305026.15,311.58499046232345,315.62301845225176,-4.03802798992831,-0.32469154259126437,-7.42667289467409
2017-12-03,281.25,343.0,287.87,304.0,28017.44,8826150.49,310.2364040585809,314.19494749833046,-3.958543439749576,-1.1050905322366613,-5.706905815025829
2017-12-04,294.0,324.0,304.0,312.4,11970.66,3692248.38,310.6120865079025,313.9846697226621,-3.3725832147595725,-1.5849707634491415,-3.575224902620862
2017-12-05,285.0,312.4,312.4,285.0,15475.01,4640456.0,306.2511659236343,310.7293463730201,-4.478180449385832,-2.1902323884164034,-4.5758961219388565
2017-12-06,241.0,291.78,285.0,250.2,31138.9,8357232.67,296.86163606895144,304.18155378780284,-7.3199177188514,-3.253582769989471,-8.132669897723858
2017-12-07,213.0,253.0,250.2,213.5,20781.61,4909017.0,283.0854684391614,294.69551833041606,-11.610049891254675,-4.9732814076407355,-13.27353696722788
2017-12-08,205.32,248.0,213.5,239.0,17491.14,4046146.73,275.8821989568486,289.0419368382036,-13.159737881355,-6.648290555248634,-13.022894652212731
2017-12-09,218.0,251.25,239.0,231.4,13654.35,3229515.49,268.6828395959098,283.3470151042679,-14.664175508358085,-8.280877619853747,-12.766595777008675
2017-12-10,188.2,239.13,231.4,220.31,20339.59,4330855.73,260.9159377678706,277.26933470942686,-16.35339694155624,-9.91898915945615,-12.868815564200183
2017-12-11,217.0,278.0,220.31,242.7,31915.83,7972129.47,258.01064227538683,274.00918369303616,-15.998541417649335,-11.149081611500955,-9.69891961229676
2017-12-12,242.12,278.95,242.7,264.0,23704.61,6044116.34,258.9605337402698,273.08396208936824,-14.123428349098447,-11.749488737315419,-4.747879223566056
2017-12-13,234.2,275.0,264.0,262.5,22095.4,5721081.69,259.51922686079143,272.12325126060836,-12.604024399816922,-11.921666316108208,-1.364716167417427
2017-12-14,261.3,338.8,262.5,306.0,46452.16,14087734.92,266.8268296836666,275.147760146932,-8.320930463265427,-11.197242904491622,5.752624882452391
2017-12-15,261.0,306.49,306.0,288.29,22333.25,6376586.51,270.18988227149936,276.303522324848,-6.113640053348661,-10.175698225912154,8.124116345126986
2017-12-16,284.43,305.0,288.29,287.0,14570.19,4272309.91,272.8163826102676,277.2313306292599,-4.414948018992277,-9.019178978342966,9.208461918701378
2017-12-17,287.0,299.63,287.0,290.91,16495.93,4813152.66,275.6366576282795,278.40297359266935,-2.7663159643898325,-7.764815293939183,9.9969986590987
2017-12-18,269.0,325.9,290.91,312.4,35757.97,10702838.5,281.35542514727655,281.28164335347367,0.07378179380287975,-6.193296176316145,12.53415594023805
2017-12-19,290.0,343.0,312.4,316.49,39629.29,12316786.22,286.8114973212698,284.2316115627814,2.5798857584884445,-4.435259251386614,14.030290019750117
2017-12-20,295.49,444.0,316.49,386.3,67188.14,25816718.55,302.23884970792693,292.7012591972114,9.537590510715518,-1.6363582093838225,22.34789744019868
2017-12-21,310.0,403.0,386.3,335.0,21884.03,7815796.92,307.3128197644231,296.18023010556806,11.132589658855068,0.920596721151112,20.42398587540791
2017-12-22,200.0,346.9,335.0,256.0,29685.01,7862491.98,299.37379977656065,292.9022940399012,6.471505736659424,2.031879084999302,8.879253303320244
2017-12-23,245.4,297.0,256.0,266.0,14141.19,3873838.95,294.2147683781059,290.723935251515,3.4908331265908714,2.32390125711872,2.333863738944303
2017-12-24,217.0,267.11,266.0,257.58,14713.92,3572267.44,288.55581711556266,288.0585603618846,0.497256753678073,1.9583406548721618,-2.9221678023881776
2017-12-25,248.68,275.0,257.58,267.34,7661.69,2015273.99,285.28066352195566,286.40291506974756,-1.1222515477919046,1.3419096466843374,-4.928322388952484
2017-12-26,256.1,279.0,267.34,273.8,10282.07,2746679.06,283.50929034456635,285.40164538829816,-1.8923550437318113,0.6947942073930968,-5.174298502249816
2017-12-27,260.51,294.8,273.8,272.2,12518.54,3448608.54,281.76513607523225,284.3584137929808,-2.593277717748549,0.036966345018313786,-5.260488125533726
2017-12-28,227.0,273.0,272.2,247.0,8762.75,2141510.13,276.40556810691623,281.4207832638563,-5.015215156940087,-0.973732347755737,-8.0829656183687
2017-12-29,240.24,276.0,247.0,253.5,10368.63,2665271.91,272.8754563357664,279.23523390046455,-6.359777564698163,-2.051165165185551,-8.617224799025223
2017-12-30,228.04,257.0,253.5,239.5,3767.43,893306.76,267.733155543124,276.13790443800366,-8.404748894879674,-3.3220930802450406,-10.165311629269267
