datetime,low,high,open,close,volumefrom,volumeto,close_12_ema,close_26_ema,macd,macds,macdh
2017-03-03,42.99,51.88,42.99,47.85,3898.13,193578.22,47.85,47.85,0.0,0.0,0.0
2017-03-04,43.33,75.58,47.85,43.79,7866.83,367074.09,45.650833333333324,45.74192307692308,-0.0910897435897553,-0.05060541310541961,-0.08096866096867138
2017-03-05,40.0,44.97,43.79,42.77,4257.81,178235.66,44.52644341801385,44.67413997042879,-0.14769655241494206,-0.09039686364210912,-0.11459937754566588
2017-03-06,42.77,47.58,42.77,46.38,3446.92,155913.76,45.11153879310344,45.15102388933076,-0.039485096227316774,-0.07315032996501145,0.06733046747538934
2017-03-07,43.54,46.89,46.38,45.93,1161.9,53317.91,45.33391177785599,45.33167166235899,0.002240115496995543,-0.05072337688849819,0.10592698477098747
2017-03-08,42.0,45.93,45.93,42.5,1031.78,45303.52,44.64512212429236,44.76451041299146,-0.11938828869910623,-0.06933538568441719,-0.10010580602937807
2017-03-09,41.4,53.97,42.5,51.66,6675.81,330614.4,46.210467579071626,45.990837490770474,0.21963008830115172,0.003794066883965466,0.4316720428343725
2017-03-10,43.0,56.99,51.66,50.24,4376.54,226147.87,47.05136888770848,46.67548285814022,0.3758860295682567,0.0932147627079098,0.5653425337206938
2017-03-11,50.0,74.18,50.24,72.0,14316.75,907905.64,51.98709611770066,50.42913224609402,1.5579638716066384,0.43157907352131675,2.2527695961706433
2017-03-12,64.5,80.99,72.0,78.0,6635.32,480840.53,56.916531293626974,54.233643657482254,2.68288763614472,0.9360028798316672,3.4937695126261055
2017-03-13,69.23,82.1,78.0,75.0,10227.87,773375.46,60.22537004366571,56.92704665389794,3.2983233897677735,1.4528651092573037,3.6909165610209396
2017-03-14,73.01,93.27,75.0,88.7,18573.4,1532522.81,65.28806577169041,60.83085460019553,4.457211171494883,2.098072646017074,4.718277050955618
2017-03-15,85.51,105.42,88.7,96.85,48240.98,4679814.72,70.76841657528952,65.05049098688116,5.717925588408363,2.864159293325298,5.70753259016613
2017-03-16,79.34,99.45,96.85,89.0,36195.18,3187898.96,73.87267313072836,67.74030586656943,6.13236726415893,3.5478708392851255,5.1689928497476085
2017-03-17,79.6,99.1,89.0,96.0,25474.15,2304922.47,77.5793791879479,70.79731253845814,6.7820666494897495,4.218298580429136,5.127536138121227
2017-03-18,91.63,115.0,96.0,107.91,55022.21,5807984.63,82.59175342058434,74.67960452038548,7.912148900198858,4.9784654392719805,5.867366921853755
2017-03-19,96.0,112.13,107.91,104.99,25550.33,2644052.65,86.25147649385676,77.75637435828473,8.495102135572026,5.697995147153475,5.594213976837102
2017-03-20,98.0,109.99,104.99,98.15,11984.9,1252069.09,88.17722990969848,79.77122861668256,8.406001293015919,6.249531980636994,4.31293862475785
2017-03-21,89.45,103.0,98.15,95.0,29543.83,2848322.31,89.27271625966944,81.23950253670893,8.033213722960511,6.611484616318274,2.8434582132844746
2017-03-22,88.91,108.0,95.0,101.1,20482.33,2029531.25,91.15907284350212,83.1124984024152,8.046574441086918,6.901850269327538,2.2894483435187603
2017-03-23,97.5,103.02,101.1,101.52,4068.32,408638.9,92.80228013328998,84.81403757583315,7.988242557456829,7.12115142308259,1.7341822687484783
2017-03-24,85.01,107.79,101.52,94.4,24612.04,2405477.4,93.05447496509483,85.68415954218385,7.370315422910977,7.171354657535317,0.3979215307513204
2017-03-25,86.1,99.84,94.4,93.15,11496.24,1095914.36,93.06949319666852,86.35070818243994,6.7187850142285725,7.080303256267007,-0.7230364840768697
2017-03-26,90.0,95.71,93.15,93.93,6421.92,594466.92,93.20432554385393,87.01725048543096,6.187075058422963,6.9008099836838515,-1.4274698505217778
2017-03-27,76.26,93.93,93.93,84.32,32755.34,2725023.54,91.81619225249109,86.78329202962308,5.032900222868008,6.525811326649402,-2.985822207562787
2017-03-28,80.28,90.0,84.32,86.92,8284.51,714098.01,91.05301657591687,86.79500171623023,4.258014859686639,6.070877078860903,-3.625724438348527
2017-03-29,82.0,87.6,86.92,84.4,15527.46,1316437.83,90.01809829473879,86.59220695015328,3.4258913445855086,5.540597795370989,-4.22941290157096
2017-03-30,75.6,85.0,84.4,78.78,19035.29,1511825.43,88.27292631951073,85.93765319239479,2.33527312711594,4.89829045864238,-5.126034663052881
2017-03-31,64.8,78.78,78.78,72.45,51733.49,3622759.4,85.81931757531771,84.81844604408909,1.0008715312286256,4.117598611039015,-6.233454159620779
2017-04-01,66.5,72.8,72.45,68.23,11228.32,771995.58,83.09512535692178,83.45408577929308,-0.3589604223712968,3.22117708826183,-7.160275021266253
2017-04-02,53.8,70.47,68.23,57.0,38839.23,2351905.76,79.0577381553317,81.2959398047091,-2.2382016493774017,2.1282189273991072,-8.732841153553018
2017-04-03,47.53,68.2,57.0,63.87,60666.13,3581148.37,76.70996779236883,79.88490961289068,-3.174941820521852,1.0667457921542787,-8.483375225352262
2017-04-04,56.51,72.22,63.87,69.49,31481.96,2090263.57,75.59470358672519,79.04896991979375,-3.45426633306856,0.16196989725659172,-7.232472460650303
2017-04-05,65.48,79.0,69.49,75.39,22706.68,1653202.34,75.56310283884753,78.7565771948184,-3.193474355970878,-0.50945940849388,-5.368029894953995
2017-04-06,65.2,75.5,75.39,67.09,15842.2,1088358.91,74.25577185843058,77.8296971859623,-3.5739253275317253,-1.122601312206174,-4.902648030651102
2017-04-07,65.0,71.2,67.09,67.4,9217.02,627945.54,73.19845319455814,77.00551282757674,-3.8070596330185964,-1.6596672642346295,-4.294784737567934
2017-04-08,66.62,70.9,67.4,68.49,7816.79,538012.27,72.47257440417287,76.33590649492938,-3.8633320907565007,-2.1005146800716212,-3.525634821369759
2017-04-09,65.78,69.99,68.49,66.38,5730.05,385889.33,71.53361194227774,75.5565900661475,-4.022978123869763,-2.4850872414273377,-3.07578176488485
2017-04-10,60.55,67.0,66.38,62.89,9767.47,624100.86,70.20185329619638,74.56923957768507,-4.367386281488692,-2.861609609948768,-3.0115533430798473
