datetime,low,high,open,close,volumefrom,volumeto,close_12_ema,close_26_ema,macd,macds,macdh
2016-11-30,7.0,9.55,7.56,9.0,1037.68,8919.45,9.0,9.0,0.0,0.0,0.0
2016-12-01,8.36,9.11,9.0,8.6,3462.0,29848.85,8.783333333333333,8.792307692307691,-0.008974358974358054,-0.004985754985754475,-0.007977207977207159
2016-12-02,7.91,8.45,8.45,8.15,3288.18,26871.0,8.536143187066976,8.561532774765894,-0.025389587698917637,-0.013347981507542654,-0.024083212382749967
2016-12-03,8.08,8.46,8.15,8.1,861.74,7061.83,8.398469827586208,8.432508379729576,-0.03403855214336815,-0.02035698240043747,-0.02736313948586136
2016-12-04,7.88,8.4,8.2,7.99,1387.38,11276.71,8.287490035292663,8.329888861300702,-0.042398826008039237,-0.026913932545487972,-0.03096978692510253
2016-12-05,7.61,8.07,7.99,7.78,582.16,4537.02,8.164143257764998,8.219750508138395,-0.055607250373396866,-0.03469141699446145,-0.041831666757870825
2016-12-06,7.0,7.89,7.78,7.32,2101.99,15358.29,7.975775643226633,8.059734544448974,-0.08395890122234029,-0.04715970291565817,-0.07359839661336423
2016-12-07,7.26,7.9,7.42,7.89,392.68,2939.19,7.9578755885543275,8.032386103600409,-0.07451051504608142,-0.05373261740273499,-0.041555795286692856
2016-12-08,7.69,8.01,7.89,7.79,269.11,2106.28,7.924663821946806,7.996459161959958,-0.07179534001315169,-0.057905195935370204,-0.027780288155562965
2016-12-09,7.79,8.01,7.79,7.96,14.96,117.01,7.931360013954679,7.9914281524551285,-0.060068138500449564,-0.05838982062859158,-0.0033566357437159744
2016-12-10,7.65,7.98,7.97,7.71,217.1,1703.11,7.890856468767897,7.954926831925132,-0.06407036315723502,-0.05963269087560187,-0.008875344563266302
2016-12-11,7.72,8.05,7.77,7.9,436.78,3450.06,7.892482158604035,7.948178205173361,-0.05569604656932636,-0.05878726477510141,0.006182436411550099
2016-12-12,7.83,7.99,7.9,7.97,922.48,7253.94,7.905942200733094,7.950734624501227,-0.04479242376813364,-0.055825470194695866,0.022066092853124455
2016-12-13,7.93,8.17,7.97,8.17,281.96,2273.04,7.950902813055886,7.975360735595779,-0.024457922539893318,-0.04926335582148992,0.049610866563193204
