datetime,low,high,open,close,volumefrom,volumeto,close_12_ema,close_26_ema,macd,macds,macdh
2016-10-29,1411.0,20000.0,20000.0,3106.0,0.2026,933.64,3106.0,3106.0,0.0,0.0,0.0
2016-10-30,518.2,3591.3,3106.0,629.8,2.87,3259.67,1764.7249999999997,1820.2807692307692,-55.555769230769556,-30.86431623931642,-49.38290598290627
2016-10-31,470.41,2616.5,629.8,1658.7,22.76,19299.05,1723.3434180138565,1762.2263676688024,-38.88294965494583,-34.15064140965634,-9.46461649057899
2016-11-01,853.0,2498.0,1658.7,1555.0,15.07,22984.01,1670.2039798850574,1704.294930973753,-34.09095108869565,-34.13042111122792,0.07894004506454166
2016-11-02,928.3,1700.0,1555.0,970.8,23.28,25138.71,1480.178418203784,1534.1944311085379,-54.01601290475378,-40.04593509073942,-27.94015562802872
2016-11-03,914.57,1219.0,970.8,993.4,11.87,11251.42,1361.8656532628443,1425.877619779148,-64.0119665163038,-46.542062092638,-34.939808847331605
2016-11-04,620.0,886.21,879.0,620.0,4.68,3458.8,1196.3209283271026,1282.556462660266,-86.23553433316351,-56.58742099123392,-59.29622668385919
2016-11-05,500.1,650.0,608.0,502.5,15.55,8728.01,1051.531194520847,1156.8700380325533,-105.33884351170627,-68.30330459360712,-74.0710778361983
2016-11-06,351.8,502.5,502.5,354.12,23.44,10271.26,913.5584373060425,1037.8848596750913,-124.32642236904883,-81.24492273185463,-86.1629992743884
2016-11-07,250.0,395.09,354.12,250.0,11.17,3215.03,787.8143713248181,929.1644172773637,-141.35004595254554,-94.71195943090405,-93.276173043283
2016-11-08,170.1,298.66,250.0,233.2,11.69,2344.96,686.3333140694042,838.8976118746456,-152.56429780524138,-107.36972050264576,-90.38915460519124
2016-11-09,226.1,349.0,233.2,266.9,23.73,6752.42,611.7594477685343,768.6186926260693,-156.85924485753503,-117.99799482356374,-77.72250006794258
2016-11-10,221.1,349.9,266.9,222.2,10.03,2455.56,544.117128473889,704.6058413444098,-160.48871287052077,-126.99050701904775,-66.99641170294603
2016-11-11,190.1,232.67,222.2,191.11,12.07,2534.39,484.01128537984033,646.934147367316,-162.92286198747564,-134.50758248813875,-56.83055899867378
2016-11-12,147.15,191.11,191.11,147.15,14.62,2454.72,427.5812532147615,592.8697450495749,-165.28849183481344,-140.88826465294068,-48.80045436374553
2016-11-13,117.6,164.89,147.15,120.3,30.94,4262.72,376.8006033451127,543.4350676496001,-166.63446430448744,-146.18664060810855,-40.89564739275778
2016-11-14,100.01,144.0,120.3,106.5,47.31,5270.56,332.63529999093504,499.0823425863819,-166.44704259544687,-150.33206772568627,-32.2299497395212
2016-11-15,100.0,132.59,101.11,119.89,27.48,3175.46,298.202877518492,461.61880767431506,-163.41593015582305,-152.99684456361084,-20.838171184424425
2016-11-16,95.46,128.75,119.89,95.46,27.22,2963.65,265.6498159414858,426.31580033617286,-160.66598439468703,-154.55310054212993,-12.225767705114208
2016-11-17,85.34,104.76,100.01,85.34,20.36,1910.67,236.8918512305305,394.1591906885055,-157.26733945797497,-155.10227993259042,-4.330119050769099
2016-11-18,67.4,85.34,85.34,67.4,13.78,1074.44,210.01102856911655,363.9544635405373,-153.94343497142074,-154.8683533484416,1.8498367540416893
2016-11-19,63.11,74.5,67.4,66.0,30.83,2099.94,187.27936084389916,336.9090076721463,-149.62964682824713,-153.81282360962103,8.366353562747804
2016-11-20,60.45,65.5,64.5,60.5,12.11,781.83,167.34739429914134,312.2312705493922,-144.88387625025086,-152.01643010213476,14.265107703767796
2016-11-21,53.29,60.79,60.45,53.29,15.03,864.54,149.4758026653887,289.45931309400845,-139.98351042861975,-149.59842747285978,19.22983408848006
2016-11-22,50.2,72.89,53.17,55.8,80.85,4861.14,134.83940740577142,269.1917953488527,-134.35238794308125,-146.5376563003466,24.370536714530715
2016-11-23,56.53,91.58,56.53,80.8,80.64,6097.39,126.41621665226567,253.05514379291154,-126.63892714064586,-142.5458459619437,31.8138376425957
2016-11-24,68.3,107.0,77.9,94.3,389.39,34232.73,121.42033856351688,239.61268484567094,-118.19234628215406,-137.66334085300457,38.941989141701015
2016-11-25,83.52,107.7,94.3,90.0,158.36,15815.71,116.54105268479323,227.07723286661778,-110.53618018182455,-132.2273940684936,43.382427773338094
2016-11-26,75.11,100.0,90.0,77.65,87.51,7321.95,110.510346037274,214.67774240002117,-104.16739636274717,-126.60669691978295,44.87860111407156
2016-11-27,66.0,81.42,77.65,70.2,159.49,11898.04,104.26717426410163,202.79479143800137,-98.52761717389974,-120.98392031030949,44.91260627281949
2016-11-28,65.11,76.29,70.2,73.0,61.32,4396.31,99.42957768324115,192.20602609563034,-92.77644841238919,-115.33683332665952,45.12076982854066
2016-11-29,67.11,78.06,70.89,67.39,154.37,11084.52,94.47679471073819,182.09930110877264,-87.62250639803445,-109.78957294846697,44.334133100865046
2016-11-30,65.38,72.28,67.39,67.0,82.29,5540.16,90.2324702888074,172.84322500732947,-82.61075471852206,-104.35036179283489,43.47921414862566
2016-12-01,60.31,68.2,67.1,62.06,157.16,10131.49,85.88339587868296,163.9904031062202,-78.10700722753725,-99.09902813727116,41.98404181946782
2016-12-02,58.92,65.0,62.56,59.31,601.39,36673.0,81.78333662673937,155.67381021544094,-73.89047358870157,-94.05527123668926,40.329595295975395
2016-12-03,57.84,60.2,59.31,58.87,182.7,10769.09,78.24956990180789,148.02409759300008,-69.77452769119219,-89.19754610565626,38.846036828928135
2016-12-04,56.95,61.9,58.87,57.2,632.08,36942.83,75.00446249453582,140.88226219956306,-65.87779970502724,-84.5323856806395,37.30917195122453
2016-12-05,53.76,59.1,57.2,53.76,937.21,51755.16,71.73035347555596,134.062610942358,-62.332257466802034,-80.09143768905979,35.51836044451551
2016-12-06,46.2,59.89,53.76,47.88,866.11,43870.17,68.05562644416192,127.34474586844814,-59.28911942428623,-75.93028264563277,33.28232644269309
2016-12-07,46.84,61.88,48.79,53.7,220.63,12188.1,65.84429759271042,121.62635671826517,-55.78205912555475,-71.90010223875467,32.236086226399834
2016-12-08,52.2,57.31,53.7,52.84,86.58,4724.63,63.84151290189107,116.30423566581841,-52.46272276392734,-68.01221291248225,31.098980297109833
2016-12-09,48.5,52.84,52.84,50.76,28.56,1454.12,61.82716525466619,111.24963166982592,-49.422466415159725,-64.29394729796171,29.742961765603965
2016-12-10,47.23,50.28,49.49,47.8,14.58,711.52,59.6675003449769,106.37140443795981,-46.70390409298291,-60.77569921740909,28.143590248852362
2016-12-11,47.8,50.14,47.8,47.91,5.18,253.57,57.857491481763404,101.88928139034876,-44.03178990858535,-57.42673502069016,26.789890224209614
2016-12-12,47.89,50.0,47.89,48.18,34.89,1726.66,56.36783697310271,97.78214833160146,-41.41431135849875,-54.22411079429321,25.61959887158892
2016-12-13,46.11,49.96,48.18,46.55,70.46,3356.93,54.85670553691085,93.87380387638406,-39.01709833947321,-51.18260232222694,24.331007965507467
2016-12-14,42.17,46.76,46.25,43.84,91.62,4123.41,53.16116794110118,90.06530521115414,-36.904137270052956,-48.32682970447028,22.845384868834643
2016-12-15,39.12,44.35,42.93,39.55,25.08,1044.4,51.066452351892366,86.22800050967683,-35.161548157784466,-45.69371467470576,21.064333033842587
2016-12-16,39.41,41.61,39.91,39.92,5.01,200.71,49.351135601444966,82.71692906440192,-33.36579346295696,-43.228086444078464,19.72458596224301
2016-12-17,35.41,40.15,39.94,35.61,23.66,885.58,47.23661622459085,79.1515077487161,-31.914891524125252,-40.965415166164206,18.101047284077907
2016-12-18,34.6,40.0,35.61,36.35,11.95,431.93,45.561418008712955,75.91717386741594,-30.355755858702985,-38.8434590762165,16.975406435027026
2016-12-19,33.52,37.21,36.35,34.05,86.43,3030.54,43.79013163452858,72.75815641608335,-28.968024781554774,-36.868354175915115,15.800658788720682
2016-12-20,34.07,40.0,34.07,36.98,240.24,8927.45,42.74226941086139,70.06229384307461,-27.320024432213224,-34.958674272173205,15.277299679919963
2016-12-21,35.11,39.15,36.67,35.96,65.92,2401.49,41.69871722934144,67.49597939131893,-25.797262161977486,-33.12638113853641,14.658237953117847
2016-12-22,35.7,47.89,35.7,47.77,484.42,20799.06,42.63285625923061,66.01328048173261,-23.380424222502,-31.177180639298417,15.593512833592833
2016-12-23,44.7,63.2,47.77,51.86,324.25,17847.4,44.05253967879033,64.9506113220512,-20.89807164326087,-29.121351148319594,16.446559010117447
2016-12-24,46.7,54.0,48.65,47.02,77.18,3780.45,44.50910546427989,63.60568603563611,-19.09658057135622,-27.11639103176982,16.039620920827197
2016-12-25,42.7,48.32,47.02,45.38,37.14,1672.93,44.643097540197346,62.23990248931574,-17.596804949118393,-25.212469256252607,15.231328614268428
2016-12-26,41.22,46.69,45.38,42.57,27.99,1219.73,44.324142736954855,60.76716456665411,-16.443021829699255,-23.458576411150734,14.031109162902958
2016-12-27,41.4,47.51,42.3,43.4,46.55,2063.22,44.181960624529395,59.46787635107418,-15.285915726544786,-21.824041769312494,13.076252085535415
2016-12-28,43.12,54.6,43.4,47.93,214.87,10775.15,44.75860370985632,58.60533146623073,-13.846727756374413,-20.228577010690778,12.763698508632729
2016-12-29,47.93,52.8,47.93,51.19,118.56,5983.33,45.74808071716355,58.05135717955221,-12.30327646238866,-18.643515346406396,12.680477768035473
2016-12-30,49.5,51.73,51.19,50.4,92.52,4699.53,46.463779839450844,57.48011154583316,-11.016331706382317,-17.11807742148545,12.203491430206263
2016-12-31,47.6,60.0,50.0,47.6,67.48,3411.07,46.63858691588323,56.74289997740371,-10.104313061520479,-15.715323668969653,11.222021214898348
2017-01-01,47.56,50.7,47.69,48.31,66.23,3219.06,46.89573233785851,56.11401376146182,-9.218281423603308,-14.415914567374536,10.395266287542455
2017-01-02,47.82,51.0,48.31,49.26,186.83,9191.3,47.25947174604075,55.60312956933356,-8.343657823292808,-13.201462730670976,9.715609814756334
2017-01-03,47.7,51.6,49.26,49.16,83.96,4212.14,47.55186473602877,55.123094526692995,-7.571229790664226,-12.07541578077209,9.008371980215728
