datetime,low,high,open,close,volumefrom,volumeto,close_12_ema,close_26_ema,macd,macds,macdh
2016-10-28,2100.0,5000.0,2100.0,5000.0,0.08311,414.42,5000.0,5000.0,0.0,0.0,0.0
2016-10-29,1900.0,9000.0,5000.0,1900.0,9.13,39470.57,3320.833333333333,3390.3846153846152,-69.55128205128221,-38.63960113960123,-61.823361823361964
2016-10-30,404.85,2400.0,1900.0,604.39,16.15,14660.37,2260.6048729792146,2389.4037999014295,-128.79892692221483,-75.59014449313139,-106.41756485816688
2016-10-31,404.85,2502.78,604.39,1644.62,45.19,65992.54,2066.162521551724,2181.194796187933,-115.03227463620942,-88.95129969065103,-52.16194989111679
2016-11-01,1047.45,2080.88,1644.62,1373.0,55.32,89179.1,1877.8327417927908,1993.7710894725658,-115.938347679775,-96.97933633663033,-37.91802268628936
2016-11-02,851.0,1500.0,1373.0,975.52,84.77,91800.41,1658.5232750401926,1789.823517530558,-131.30024249036546,-106.2822101097609,-50.03606476120913
2016-11-03,863.99,1125.47,975.52,871.0,118.73,114408.4,1482.790211548665,1626.415517992601,-143.6253064439361,-115.73275156878306,-55.78510975030608
2016-11-04,605.0,900.0,871.0,614.37,63.1,45490.78,1301.5642984513538,1463.3499082504632,-161.78560979910935,-126.80011942572143,-69.97098074677584
2016-11-05,505.0,650.0,614.37,505.0,67.27,37936.57,1143.9755281252353,1321.301413252554,-177.32588512731877,-138.47182196240664,-77.70812632982427
2016-11-06,320.0,509.46,505.0,344.57,113.61,47488.06,992.4884912299848,1186.5219844457022,-194.03349321571739,-150.92086167373813,-86.22526308395851
2016-11-07,231.53,358.35,344.57,231.53,116.26,33728.64,853.2514353400701,1062.6592215211995,-209.40778618112938,-163.71746656540745,-91.38063923144387
2016-11-08,180.0,290.35,231.53,270.0,140.44,32338.93,749.5512448691634,965.2685466924103,-215.71730182324688,-174.88485038990484,-81.66490286668409
2016-11-09,221.14,400.61,270.0,255.3,399.1,109169.68,663.7304524106002,882.0958595069484,-218.36540709634824,-184.08684683574103,-68.55712052121442
2016-11-10,224.84,260.0,255.3,226.72,161.72,39905.41,589.3215253257363,808.4893510092317,-219.16782568349538,-191.42581378516198,-55.484023796666804
2016-11-11,180.0,226.87,226.72,182.83,161.98,32255.22,521.227235941611,740.8083350246259,-219.58109908301492,-197.2622211739621,-44.63775581810563
2016-11-12,142.5,191.47,182.83,143.0,76.11,12511.12,458.7222030488548,678.2726723028021,-219.5504692539473,-201.84897647408715,-35.40298555972032
2016-11-13,112.79,150.0,143.0,119.51,160.18,21234.22,403.29720708625354,621.5533814627506,-218.25617437649709,-205.2060097230138,-26.100329306966557
2016-11-14,94.52,121.0,119.51,102.65,313.78,34030.64,354.63802801158056,570.2866422273959,-215.64861421581531,-207.33284426660614,-16.63153989841834
2016-11-15,96.76,133.93,102.65,111.25,215.78,24765.83,315.5588477220316,526.0288677061177,-210.4700199840861,-207.96945392212572,-5.0011321239207405
2016-11-16,94.17,116.0,111.25,94.17,460.47,48000.02,280.2491080001777,485.30129402488353,-205.0521860247058,-207.37919512200227,4.654018194592936
2016-11-17,83.0,99.65,94.17,84.15,131.25,12010.56,249.14846624103737,448.2199640229782,-199.07149778194085,-205.7021879933338,13.261380422785919
2016-11-18,65.1,88.3,84.15,68.31,238.06,18549.72,220.60370847232048,413.7353718344556,-193.1316633621351,-203.16939434863195,20.075461972993708
2016-11-19,63.0,72.0,68.31,64.29,237.55,16028.35,196.02841808579183,382.53696373075786,-186.50854564496603,-199.81743815089848,26.617785011864896
2016-11-20,60.0,68.3,64.29,60.54,150.32,9417.95,174.79881088661483,354.2197273810547,-179.4209164944399,-195.71877844639354,32.5957239039073
2016-11-21,53.54,63.01,60.54,53.54,141.26,8095.66,155.85270277385854,328.138885022966,-172.28618224910747,-191.01448689594153,37.45660929366812
2016-11-22,53.0,73.0,53.54,56.0,566.11,34437.31,140.28853575030425,304.8288976941326,-164.54036194382834,-185.70361076732726,42.32649764699784
2016-11-23,55.78,95.63,56.0,83.7,862.15,61720.56,131.48583557891345,286.10499333246065,-154.6191577535472,-179.4716522133659,49.7049889196374
2016-11-24,68.49,104.0,83.7,93.42,1007.55,85990.32,125.57456592067781,269.96068388774495,-144.38611796706715,-172.4409460004727,56.10965606681111
2016-11-25,86.59,107.5,93.42,91.64,539.04,52294.85,120.31244524893444,255.1636112427824,-134.85116599384796,-164.91133849588522,60.12034500407452
2016-11-26,73.75,93.15,91.64,76.02,411.92,34133.53,113.45253529710136,240.42947495164938,-126.97693965454802,-157.3150549841088,60.67623065912156
2016-11-27,65.14,81.77,76.02,70.55,355.7,24885.16,106.81473821603319,226.57056831279982,-119.75583009676663,-149.7957632608073,60.07986632808132
2016-11-28,65.0,75.59,70.55,74.4,159.67,10926.17,101.80396169826139,214.24886465710918,-112.44490295884779,-142.31966802753425,59.749530137372915
2016-11-29,67.07,77.1,74.4,68.61,158.38,11138.85,96.67650983279667,202.53685249362925,-105.86034266083259,-135.02317825437365,58.32567118708212
2016-11-30,65.4,72.5,68.61,67.5,205.76,14215.77,92.1724386246367,191.7458937980924,-99.5734551734557,-127.92963678534967,56.712363223787946
2016-12-01,61.6,68.4,67.5,61.89,239.03,15251.16,87.50010418830085,181.42917193668382,-93.92906774838296,-121.12676340466855,54.39539131257118
