datetime,low,high,open,close,volumefrom,volumeto
2017-10-07 22:00:00,358.56,364.5,358.56,364.5,64.45,23281.05
2017-10-07 23:00:00,360.0,367.76,364.5,360.01,62.59,22814.32
2017-10-08 00:00:00,360.01,362.99,360.01,362.0,28.72,10352.38
2017-10-08 01:00:00,360.01,362.0,362.0,360.06,66.26,23932.48
2017-10-08 02:00:00,360.06,362.82,360.06,361.81,30.47,10996.71
2017-10-08 03:00:00,361.81,363.76,361.81,361.91,78.32,28341.11
2017-10-08 04:00:00,361.91,363.72,361.91,362.5,275.41,99786.98
2017-10-08 05:00:00,362.5,363.72,362.5,363.72,67.69,24563.58
2017-10-08 06:00:00,362.5,363.72,363.72,362.5,32.21,11679.41
2017-10-08 07:00:00,362.0,362.6,362.5,362.5,19.26,6982.09
2017-10-08 08:00:00,360.01,363.72,362.5,361.0,128.54,46532.16
2017-10-08 09:00:00,360.5,363.72,361.0,362.9,13.61,4934.37
2017-10-08 10:00:00,360.1,363.72,362.9,360.25,29.39,10641.69
2017-10-08 11:00:00,355.0,361.25,360.25,359.0,180.18,64443.03
2017-10-08 12:00:00,350.0,360.0,359.0,355.92,332.96,117625.17
2017-10-08 13:00:00,354.0,362.4,355.92,362.4,92.78,33180.14
2017-10-08 14:00:00,358.0,364.0,362.4,362.3,199.65,72355.9
2017-10-08 15:00:00,356.43,362.3,362.3,358.35,31.6,11357.39
2017-10-08 16:00:00,355.0,358.4,358.35,356.45,154.94,55384.28
2017-10-08 17:00:00,354.0,357.0,356.45,354.0,109.87,39065.95
2017-10-08 18:00:00,354.0,355.7,354.0,354.5,115.05,40789.0
2017-10-08 19:00:00,354.5,357.0,354.5,355.04,72.29,25685.12
2017-10-08 20:00:00,336.1,356.0,355.04,345.6,675.46,233571.35
2017-10-08 21:00:00,344.71,349.2,345.6,345.0,331.11,114905.51
2017-10-08 22:00:00,338.04,346.8,345.0,340.15,75.06,25840.28
2017-10-08 23:00:00,339.0,347.0,340.15,342.84,65.7,22514.55
2017-10-09 00:00:00,336.15,345.0,342.84,342.08,107.13,36314.82
2017-10-09 01:00:00,337.01,342.08,342.08,342.0,20.08,6815.39
2017-10-09 02:00:00,336.15,342.0,342.0,340.5,28.96,9798.98
2017-10-09 03:00:00,337.0,340.5,340.5,337.07,68.74,23242.65
2017-10-09 04:00:00,335.1,340.0,337.07,335.1,69.01,23229.2
2017-10-09 05:00:00,327.95,335.1,335.1,330.5,316.11,104512.06
2017-10-09 06:00:00,328.07,333.66,330.5,333.0,60.49,19963.71
2017-10-09 07:00:00,330.4,333.0,333.0,331.0,58.72,19517.84
2017-10-09 08:00:00,330.4,340.82,331.0,340.5,42.75,14364.99
2017-10-09 09:00:00,331.31,340.5,340.5,335.07,167.6,56484.92
2017-10-09 10:00:00,332.45,338.0,335.07,335.07,23.51,7880.71
2017-10-09 11:00:00,333.0,338.0,335.07,333.0,91.11,30700.93
2017-10-09 12:00:00,333.0,338.78,333.0,335.5,138.71,46732.41
2017-10-09 13:00:00,334.1,336.0,335.5,335.8,62.8,21066.98
2017-10-09 14:00:00,327.95,335.8,335.8,328.8,96.41,31925.67
2017-10-09 15:00:00,325.0,328.8,328.8,325.0,121.77,39793.32
2017-10-09 16:00:00,310.0,326.1,325.0,311.61,386.16,122022.49
2017-10-09 17:00:00,310.3,320.0,311.61,314.0,291.11,91497.92
2017-10-09 18:00:00,295.46,314.94,314.0,297.87,1457.71,440286.39
2017-10-09 19:00:00,283.1,300.0,297.87,285.5,1034.01,298969.22
2017-10-09 20:00:00,285.5,311.99,285.5,299.99,784.23,237684.1
2017-10-09 21:00:00,298.57,308.84,299.99,304.0,508.17,152866.53
2017-10-09 22:00:00,298.72,306.69,304.0,301.9,133.77,40470.93
2017-10-09 23:00:00,301.9,318.25,301.9,311.86,147.98,45921.69
2017-10-10 00:00:00,310.86,314.54,311.86,314.54,43.16,13477.09
2017-10-10 01:00:00,313.45,331.85,314.54,329.09,523.91,171013.68
2017-10-10 02:00:00,328.5,351.0,329.09,348.07,847.97,291821.88
2017-10-10 03:00:00,336.0,350.0,348.07,340.0,342.91,117834.91
2017-10-10 04:00:00,324.5,340.0,340.0,326.0,288.94,95854.48
2017-10-10 05:00:00,325.0,341.5,326.0,337.0,159.02,53154.36
2017-10-10 06:00:00,330.01,338.32,337.0,330.01,182.11,61055.34
2017-10-10 07:00:00,328.0,337.83,330.01,335.0,88.87,29512.01
2017-10-10 08:00:00,330.0,335.0,335.0,330.0,11.91,3970.57
2017-10-10 09:00:00,328.0,331.01,330.0,329.0,23.54,7737.62
2017-10-10 10:00:00,326.0,330.0,329.0,330.0,64.85,21259.37
2017-10-10 11:00:00,321.27,330.0,330.0,322.0,46.75,15142.1
2017-10-10 12:00:00,320.1,327.73,322.0,324.0,28.18,9063.8
2017-10-10 13:00:00,316.8,324.0,324.0,317.0,59.88,19044.55
2017-10-10 14:00:00,313.0,319.24,317.0,314.0,87.89,27635.99
2017-10-10 15:00:00,313.0,328.57,314.0,318.0,177.43,57132.2
2017-10-10 16:00:00,307.0,318.0,318.0,315.76,530.55,166188.52
2017-10-10 17:00:00,310.0,316.33,315.76,310.69,75.25,23497.35
2017-10-10 18:00:00,310.1,319.0,310.69,315.6,142.74,45069.0
2017-10-10 19:00:00,315.6,330.0,315.6,316.0,304.99,98443.57
2017-10-10 20:00:00,313.5,318.92,316.0,316.64,51.52,16268.57
2017-10-10 21:00:00,313.69,323.89,316.64,322.6,54.3,17448.03
2017-10-10 22:00:00,316.0,322.6,322.6,322.5,76.84,24507.93
2017-10-10 23:00:00,318.0,325.0,322.5,318.0,66.94,21642.85
2017-10-11 00:00:00,310.0,319.2,318.0,312.5,162.33,50974.25
2017-10-11 01:00:00,312.5,318.44,312.5,316.0,31.88,10088.44
2017-10-11 02:00:00,313.5,318.69,316.0,313.5,79.05,24977.74
2017-10-11 03:00:00,313.5,316.0,313.5,316.0,32.36,10195.09
2017-10-11 04:00:00,312.0,316.0,316.0,316.0,138.42,43405.92
2017-10-11 05:00:00,314.24,316.0,316.0,315.87,59.94,18875.32
2017-10-11 06:00:00,315.0,320.0,315.87,318.79,49.91,15817.36
2017-10-11 07:00:00,317.0,321.0,318.79,317.0,39.55,12606.07
2017-10-11 08:00:00,316.5,321.27,317.0,319.0,28.46,9066.69
2017-10-11 09:00:00,314.0,321.0,319.0,317.0,36.79,11674.58
2017-10-11 10:00:00,313.37,318.87,317.0,313.48,58.93,18709.32
2017-10-11 11:00:00,313.1,318.55,313.48,314.5,70.07,22010.08
2017-10-11 12:00:00,311.1,315.65,314.5,311.1,26.06,8158.55
2017-10-11 13:00:00,311.1,315.0,311.1,315.0,86.43,27172.65
2017-10-11 14:00:00,311.06,315.0,315.0,311.06,42.93,13392.91
2017-10-11 15:00:00,311.06,315.0,311.06,315.0,5.03,1579.95
2017-10-11 16:00:00,311.7,315.0,315.0,311.71,27.13,8500.82
2017-10-11 17:00:00,311.7,314.11,311.71,312.0,111.4,34870.99
2017-10-11 18:00:00,310.0,314.8,312.0,312.43,107.91,33695.25
2017-10-11 19:00:00,310.1,312.43,312.43,311.03,64.11,19889.15
2017-10-11 20:00:00,311.03,313.99,311.03,311.88,12.13,3784.87
2017-10-11 21:00:00,311.88,314.72,311.88,311.91,21.61,6795.43
2017-10-11 22:00:00,311.91,313.71,311.91,311.91,0.8638,269.68
2017-10-11 23:00:00,311.91,314.65,311.91,314.0,36.23,11365.61
2017-10-12 00:00:00,313.0,315.04,314.0,314.89,242.73,76423.16
2017-10-12 01:00:00,311.9,314.89,314.89,312.0,48.23,15079.13
2017-10-12 02:00:00,312.0,314.31,312.0,312.41,37.5,11742.22
2017-10-12 03:00:00,311.9,314.31,312.41,312.3,60.66,18944.9
2017-10-12 04:00:00,312.3,314.89,312.3,314.89,52.8,16533.05
2017-10-12 05:00:00,312.59,315.84,314.89,313.0,47.51,14975.86
2017-10-12 06:00:00,312.3,314.0,313.0,312.4,36.68,11466.32
2017-10-12 07:00:00,312.3,314.87,312.4,312.3,235.11,73486.72
2017-10-12 08:00:00,308.74,315.0,312.3,313.93,109.1,33932.81
2017-10-12 09:00:00,311.53,314.48,313.93,313.55,34.93,10955.12
2017-10-12 10:00:00,313.5,330.57,313.55,326.0,770.87,249988.67
2017-10-12 11:00:00,317.3,326.0,326.0,323.72,223.82,72234.08
2017-10-12 12:00:00,322.03,330.57,323.72,330.57,164.76,53843.84
