datetime,low,high,open,close,volumefrom,volumeto
2017-10-07 22:00:00,355.1,364.0,356.0,364.0,332.82,119947.44
2017-10-07 23:00:00,360.0,365.0,364.0,360.0,311.01,113239.55
2017-10-08 00:00:00,359.62,361.98,360.0,361.0,95.25,34372.5
2017-10-08 01:00:00,359.62,362.04,361.0,360.24,126.99,45749.16
2017-10-08 02:00:00,359.26,362.0,360.24,362.0,82.28,29651.41
2017-10-08 03:00:00,359.5,362.0,362.0,360.71,62.62,22602.41
2017-10-08 04:00:00,360.6,362.87,360.71,362.86,137.9,49974.08
2017-10-08 05:00:00,360.0,362.87,362.86,362.43,96.07,34809.82
2017-10-08 06:00:00,361.29,363.02,362.43,361.5,45.28,16403.98
2017-10-08 07:00:00,361.25,363.03,361.5,361.25,51.62,18682.91
2017-10-08 08:00:00,361.25,362.5,361.25,361.63,19.66,7113.01
2017-10-08 09:00:00,360.11,362.01,361.63,360.3,84.83,30638.44
2017-10-08 10:00:00,360.3,362.5,360.3,361.0,34.97,12641.44
2017-10-08 11:00:00,358.55,362.0,361.0,359.0,202.35,72896.12
2017-10-08 12:00:00,351.9,360.12,359.0,354.33,512.07,182014.63
2017-10-08 13:00:00,354.26,361.87,354.33,361.87,239.98,85554.33
2017-10-08 14:00:00,356.05,364.0,361.87,359.95,183.21,66119.75
2017-10-08 15:00:00,356.04,359.95,359.95,357.77,100.17,35788.94
2017-10-08 16:00:00,355.67,359.12,357.77,358.85,247.67,88386.85
2017-10-08 17:00:00,354.23,358.85,358.85,356.77,322.74,114869.71
2017-10-08 18:00:00,354.23,357.47,356.77,356.0,51.64,18379.9
2017-10-08 19:00:00,353.1,357.85,356.0,356.4,84.39,29956.91
2017-10-08 20:00:00,341.95,356.4,356.4,349.0,919.79,320196.01
2017-10-08 21:00:00,343.0,350.08,349.0,344.8,233.27,80688.58
2017-10-08 22:00:00,335.1,346.22,344.8,338.3,480.5,163598.22
2017-10-08 23:00:00,338.0,348.5,338.3,344.84,946.19,324043.92
2017-10-09 00:00:00,336.0,344.84,344.84,338.49,313.0,106238.33
2017-10-09 01:00:00,336.67,340.35,338.49,340.35,122.17,41377.67
2017-10-09 02:00:00,337.8,340.35,340.35,337.8,208.72,70748.62
2017-10-09 03:00:00,337.8,342.34,337.8,339.16,110.35,37456.49
2017-10-09 04:00:00,334.0,339.96,339.16,337.34,145.74,48994.63
2017-10-09 05:00:00,330.5,337.34,337.34,332.56,298.45,98975.27
2017-10-09 06:00:00,329.11,333.65,332.56,332.6,384.71,127458.62
2017-10-09 07:00:00,330.2,333.32,332.6,333.0,167.31,55583.09
2017-10-09 08:00:00,331.32,342.25,333.0,341.7,357.4,120209.65
2017-10-09 09:00:00,330.0,341.7,341.7,336.33,162.98,54347.94
2017-10-09 10:00:00,333.99,336.33,336.33,335.11,93.78,31404.68
2017-10-09 11:00:00,333.32,337.0,335.11,336.04,166.04,55769.98
2017-10-09 12:00:00,333.3,338.69,336.04,334.32,170.27,57260.52
2017-10-09 13:00:00,333.65,336.03,334.32,333.65,141.34,47325.26
2017-10-09 14:00:00,327.46,335.69,333.65,327.46,424.34,140541.71
2017-10-09 15:00:00,324.0,327.54,327.46,325.0,357.05,116449.82
2017-10-09 16:00:00,308.85,325.0,325.0,310.0,1230.17,390402.81
2017-10-09 17:00:00,310.0,319.61,310.0,313.0,895.92,282340.28
2017-10-09 18:00:00,296.8,313.0,313.0,300.11,2803.47,846148.69
2017-10-09 19:00:00,282.92,300.11,300.11,286.62,1909.74,552130.11
2017-10-09 20:00:00,285.3,311.73,286.62,298.91,3062.15,925395.84
2017-10-09 21:00:00,298.0,308.39,298.91,304.95,569.57,172425.09
2017-10-09 22:00:00,298.13,305.25,304.95,302.0,286.35,86092.29
2017-10-09 23:00:00,302.0,317.0,302.0,312.66,1006.04,312686.84
2017-10-10 00:00:00,311.7,317.0,312.66,317.0,210.3,66045.41
2017-10-10 01:00:00,315.0,331.0,317.0,327.61,2586.44,833937.97
2017-10-10 02:00:00,327.61,350.22,327.61,350.22,2021.02,683899.7
2017-10-10 03:00:00,335.71,350.86,350.22,338.0,1697.8,582985.66
2017-10-10 04:00:00,324.77,339.03,338.0,325.0,623.1,206890.09
2017-10-10 05:00:00,324.93,341.0,325.0,338.69,466.2,156708.99
2017-10-10 06:00:00,328.0,338.87,338.69,330.99,254.01,84954.62
2017-10-10 07:00:00,327.7,335.32,330.99,334.0,191.26,63443.14
2017-10-10 08:00:00,330.0,335.99,334.0,330.0,138.16,45940.65
2017-10-10 09:00:00,328.0,332.96,330.0,328.51,184.17,60730.07
2017-10-10 10:00:00,325.0,330.45,328.51,328.4,171.83,56233.25
2017-10-10 11:00:00,325.0,329.0,328.4,325.75,193.67,63232.31
2017-10-10 12:00:00,323.93,326.49,325.75,323.93,224.0,72876.3
2017-10-10 13:00:00,315.59,324.51,323.93,317.01,422.67,134623.44
2017-10-10 14:00:00,312.44,319.37,317.01,314.61,219.93,69311.95
2017-10-10 15:00:00,314.61,328.87,314.61,319.0,580.29,185634.45
2017-10-10 16:00:00,306.7,320.25,319.0,315.4,716.27,224164.68
2017-10-10 17:00:00,311.0,315.8,315.4,311.0,245.85,76849.78
2017-10-10 18:00:00,311.0,319.61,311.0,314.54,339.51,107321.06
