datetime,low,high,open,close,volumefrom,volumeto
2017-10-07 22:00:00,306.71,311.7,308.05,311.43,238.16,73672.22
2017-10-07 23:00:00,311.21,313.72,311.43,311.34,153.7,48032.23
2017-10-08 00:00:00,311.13,313.46,311.34,313.35,97.59,30480.45
2017-10-08 01:00:00,312.78,315.0,313.35,315.0,431.48,135562.44
2017-10-08 02:00:00,312.75,317.71,315.0,315.26,502.48,158579.18
2017-10-08 03:00:00,313.75,316.5,315.26,314.19,354.6,111920.46
2017-10-08 04:00:00,313.0,314.68,314.19,313.35,66.71,20931.39
2017-10-08 05:00:00,313.0,314.17,313.35,314.17,24.06,7539.22
2017-10-08 06:00:00,313.01,314.99,314.17,314.09,143.21,44999.93
2017-10-08 07:00:00,313.06,316.81,314.09,315.13,122.04,38423.55
2017-10-08 08:00:00,313.96,317.37,315.13,314.18,165.35,52169.44
2017-10-08 09:00:00,310.61,314.18,314.18,311.93,356.71,111258.52
2017-10-08 10:00:00,311.93,314.5,311.93,313.25,153.34,47951.05
2017-10-08 11:00:00,311.38,313.25,313.25,311.38,61.38,19182.86
2017-10-08 12:00:00,309.9,312.51,311.38,310.67,149.53,46489.75
2017-10-08 13:00:00,310.0,313.29,310.67,313.17,478.17,149121.24
2017-10-08 14:00:00,312.66,313.7,313.17,313.01,162.98,51029.71
2017-10-08 15:00:00,311.34,313.5,313.01,312.36,162.53,50833.38
2017-10-08 16:00:00,309.11,312.36,312.36,311.28,203.29,63100.93
2017-10-08 17:00:00,308.04,311.28,311.28,310.03,253.9,78461.45
2017-10-08 18:00:00,306.57,311.37,310.03,309.23,740.55,227737.3
2017-10-08 19:00:00,308.66,310.06,309.23,309.56,160.06,49578.96
2017-10-08 20:00:00,306.21,309.99,309.56,307.58,209.64,64688.51
2017-10-08 21:00:00,306.2,308.23,307.58,306.23,120.33,36976.98
2017-10-08 22:00:00,302.4,306.97,306.23,302.5,719.64,218449.53
2017-10-08 23:00:00,300.53,304.09,302.5,300.53,776.18,234756.73
2017-10-09 00:00:00,289.1,302.18,300.53,289.84,2584.52,760817.43
2017-10-09 01:00:00,289.15,298.85,289.84,292.5,1092.36,321807.54
2017-10-09 02:00:00,292.49,297.0,292.5,296.99,501.23,148116.53
2017-10-09 03:00:00,296.47,302.3,296.99,301.89,232.49,69772.48
2017-10-09 04:00:00,297.7,301.89,301.89,297.7,307.94,92244.54
2017-10-09 05:00:00,296.0,298.81,297.7,297.87,129.1,38364.95
2017-10-09 06:00:00,296.96,299.37,297.87,298.29,186.91,55746.36
2017-10-09 07:00:00,296.78,299.35,298.29,297.67,108.24,32259.33
2017-10-09 08:00:00,297.02,298.31,297.67,297.83,51.53,15332.15
2017-10-09 09:00:00,296.67,298.34,297.83,297.6,32.95,9797.26
