datetime,low,high,open,close,volumefrom,volumeto
2017-10-07 22:00:00,51.7,52.66,51.7,52.66,1687.59,88283.99
2017-10-07 23:00:00,52.46,52.8,52.66,52.54,1073.01,56521.01
2017-10-08 00:00:00,52.47,52.73,52.54,52.48,389.6,20477.84
2017-10-08 01:00:00,52.46,52.69,52.48,52.52,159.56,8380.51
2017-10-08 02:00:00,52.15,52.61,52.52,52.43,1375.96,72092.95
2017-10-08 03:00:00,52.2,52.6,52.43,52.39,846.93,44318.46
2017-10-08 04:00:00,52.1,52.55,52.39,52.23,802.77,41976.99
2017-10-08 05:00:00,52.11,52.45,52.23,52.33,2130.93,111407.6
2017-10-08 06:00:00,52.1,52.6,52.33,52.41,3247.51,170037.73
2017-10-08 07:00:00,52.1,52.59,52.41,52.35,2022.32,105789.12
2017-10-08 08:00:00,52.31,52.49,52.35,52.35,495.36,25988.65
2017-10-08 09:00:00,52.19,52.42,52.35,52.42,333.22,17455.96
2017-10-08 10:00:00,52.25,52.56,52.42,52.43,959.05,50308.84
2017-10-08 11:00:00,52.1,52.62,52.43,52.16,3296.66,172524.83
2017-10-08 12:00:00,52.15,52.43,52.16,52.27,1124.23,58849.37
2017-10-08 13:00:00,52.26,53.12,52.27,52.8,9515.08,503047.24
2017-10-08 14:00:00,52.75,53.38,52.8,53.34,9779.88,519563.46
2017-10-08 15:00:00,53.08,53.37,53.34,53.37,4634.35,246778.84
2017-10-08 16:00:00,53.23,54.0,53.37,54.0,1746.9,93902.19
2017-10-08 17:00:00,53.77,54.67,54.0,54.14,2612.28,141772.17
2017-10-08 18:00:00,53.7,54.25,54.14,54.02,1149.82,62168.08
2017-10-08 19:00:00,53.92,54.25,54.02,54.14,618.05,33430.53
2017-10-08 20:00:00,53.76,54.24,54.14,53.76,1818.98,98167.48
2017-10-08 21:00:00,53.7,53.94,53.76,53.7,1847.06,99203.29
2017-10-08 22:00:00,53.19,53.83,53.7,53.24,1555.37,83246.73
2017-10-08 23:00:00,53.03,53.47,53.24,53.03,1417.4,75449.75
2017-10-09 00:00:00,52.7,53.15,53.03,52.75,1835.8,96993.25
2017-10-09 01:00:00,52.75,53.29,52.75,52.89,810.17,42998.87
2017-10-09 02:00:00,52.61,53.06,52.89,52.76,1068.62,56387.77
2017-10-09 03:00:00,52.37,52.87,52.76,52.54,955.79,50254.8
2017-10-09 04:00:00,51.62,52.54,52.54,52.22,2828.92,146949.2
2017-10-09 05:00:00,52.2,52.54,52.22,52.39,823.24,43146.09
2017-10-09 06:00:00,51.84,52.64,52.39,51.84,705.62,36895.92
2017-10-09 07:00:00,51.74,52.12,51.84,51.93,317.99,16523.97
2017-10-09 08:00:00,51.48,52.0,51.93,51.66,1667.25,86183.07
2017-10-09 09:00:00,51.42,52.07,51.66,52.07,864.73,44889.72
2017-10-09 10:00:00,51.69,52.1,52.07,51.81,890.22,46203.99
2017-10-09 11:00:00,51.63,52.03,51.81,51.85,463.33,24013.87
2017-10-09 12:00:00,51.64,51.85,51.85,51.75,492.57,25493.84
2017-10-09 13:00:00,51.38,51.8,51.75,51.57,1407.83,72661.37
2017-10-09 14:00:00,51.21,52.04,51.57,51.51,1934.47,99967.39
2017-10-09 15:00:00,51.0,51.71,51.51,51.1,952.16,48741.85
2017-10-09 16:00:00,50.25,51.1,51.1,50.25,3658.18,185778.81
2017-10-09 17:00:00,50.25,50.88,50.25,50.35,2281.7,115385.26
2017-10-09 18:00:00,48.15,50.36,50.35,48.28,6818.33,335776.09
2017-10-09 19:00:00,48.0,49.7,48.28,49.61,5928.3,287868.54
2017-10-09 20:00:00,49.23,50.44,49.61,50.02,4421.18,221165.11
2017-10-09 21:00:00,49.47,50.28,50.02,50.28,1961.22,97614.43
2017-10-09 22:00:00,50.06,50.52,50.28,50.07,630.79,31734.53
2017-10-09 23:00:00,49.62,50.23,50.07,50.03,504.89,25190.97
2017-10-10 00:00:00,49.82,50.24,50.03,50.2,922.05,46141.09
2017-10-10 01:00:00,49.81,50.28,50.2,49.92,521.16,26068.84
2017-10-10 02:00:00,49.75,50.21,49.92,50.11,459.71,22951.86
2017-10-10 03:00:00,50.08,50.49,50.11,50.37,398.87,20097.0
2017-10-10 04:00:00,50.23,50.5,50.37,50.41,249.62,12588.83
2017-10-10 05:00:00,50.12,50.63,50.41,50.61,549.89,27733.46
2017-10-10 06:00:00,50.11,50.64,50.61,50.31,298.5,15006.26
2017-10-10 07:00:00,49.52,50.37,50.31,50.01,1172.19,58561.38
2017-10-10 08:00:00,49.74,50.29,50.01,49.87,453.2,22659.19
2017-10-10 09:00:00,49.66,50.24,49.87,49.88,1558.48,77851.73
2017-10-10 10:00:00,49.87,50.25,49.88,50.01,490.13,24537.69
2017-10-10 11:00:00,49.6,50.19,50.01,49.6,776.24,38711.07
2017-10-10 12:00:00,49.6,50.43,49.6,50.41,938.84,46999.39
2017-10-10 13:00:00,50.36,51.76,50.41,51.57,1787.22,91458.22
2017-10-10 14:00:00,50.5,51.57,51.57,50.74,1186.4,60431.17
2017-10-10 15:00:00,50.41,51.0,50.74,51.0,816.41,41424.47
2017-10-10 16:00:00,50.62,51.08,51.0,50.79,836.0,42599.62
2017-10-10 17:00:00,50.5,51.09,50.79,50.64,980.62,49857.79
2017-10-10 18:00:00,50.26,50.8,50.64,50.33,645.32,32546.96
2017-10-10 19:00:00,50.33,51.01,50.33,50.67,214.94,10884.99
2017-10-10 20:00:00,50.37,50.9,50.67,50.9,239.82,12123.61
2017-10-10 21:00:00,50.67,51.19,50.9,50.94,280.01,14261.87
2017-10-10 22:00:00,50.02,50.94,50.94,50.17,705.0,35535.37
2017-10-10 23:00:00,50.08,50.56,50.17,50.46,311.36,15697.31
2017-10-11 00:00:00,50.32,50.69,50.46,50.32,515.73,26056.16
2017-10-11 01:00:00,50.32,50.55,50.32,50.4,218.33,11018.25
2017-10-11 02:00:00,50.22,50.54,50.4,50.22,697.92,35148.16
2017-10-11 03:00:00,49.99,50.3,50.22,50.24,1060.59,53195.61
2017-10-11 04:00:00,50.16,50.4,50.24,50.3,752.31,37797.85
2017-10-11 05:00:00,50.29,50.39,50.3,50.33,54.8,2758.19
2017-10-11 06:00:00,50.25,50.48,50.33,50.4,346.73,17466.7
2017-10-11 07:00:00,50.23,50.42,50.4,50.23,126.19,6347.07
2017-10-11 08:00:00,50.08,50.5,50.23,50.39,836.83,42045.36
2017-10-11 09:00:00,50.23,50.42,50.39,50.34,545.09,27441.58
2017-10-11 10:00:00,50.25,50.5,50.34,50.48,817.89,41245.8
2017-10-11 11:00:00,50.26,50.48,50.48,50.3,880.78,44388.62
2017-10-11 12:00:00,50.28,50.52,50.3,50.3,685.81,34523.13
2017-10-11 13:00:00,50.25,50.57,50.3,50.37,927.96,46876.48
2017-10-11 14:00:00,50.3,50.48,50.37,50.31,595.51,29979.66
2017-10-11 15:00:00,50.3,50.98,50.31,50.8,205.52,10435.05
2017-10-11 16:00:00,50.54,51.0,50.8,50.69,260.25,13209.32
2017-10-11 17:00:00,50.64,50.84,50.69,50.84,180.49,9147.21
2017-10-11 18:00:00,50.61,51.0,50.84,50.99,832.36,42309.13
2017-10-11 19:00:00,50.72,51.18,50.99,50.85,2837.69,144400.71
2017-10-11 20:00:00,50.71,50.99,50.85,50.75,903.19,45843.22
2017-10-11 21:00:00,50.6,50.75,50.75,50.74,834.03,42317.37
2017-10-11 22:00:00,50.69,50.75,50.74,50.7,1422.06,72162.88
2017-10-11 23:00:00,50.7,50.75,50.7,50.74,1033.97,52472.95
2017-10-12 00:00:00,50.66,50.94,50.74,50.91,1200.25,60905.88
2017-10-12 01:00:00,50.78,51.0,50.91,50.78,380.03,19362.69
2017-10-12 02:00:00,50.78,51.1,50.78,50.8,551.46,28093.92
2017-10-12 03:00:00,50.74,50.9,50.8,50.75,385.63,19589.72
2017-10-12 04:00:00,50.74,50.96,50.75,50.75,119.85,6089.99
2017-10-12 05:00:00,48.97,50.95,50.75,50.4,13775.21,688850.87
2017-10-12 06:00:00,50.34,50.79,50.4,50.79,971.57,49293.42
2017-10-12 07:00:00,50.53,51.25,50.79,51.18,869.07,44268.29
2017-10-12 08:00:00,50.98,51.82,51.18,51.47,5678.32,292366.0
2017-10-12 09:00:00,51.27,52.1,51.47,52.0,1987.53,103002.75
2017-10-12 10:00:00,51.64,52.14,52.0,51.73,1664.09,86360.85
2017-10-12 11:00:00,51.63,52.99,51.73,52.73,2759.56,144913.63
2017-10-12 12:00:00,52.73,54.27,52.73,53.76,6921.57,372004.12
2017-10-12 13:00:00,53.26,53.89,53.76,53.3,1910.1,102403.69
2017-10-12 14:00:00,53.04,53.64,53.3,53.63,1767.11,94077.93
2017-10-12 15:00:00,53.63,54.94,53.63,54.91,3594.44,194884.72
2017-10-12 16:00:00,54.65,59.18,54.91,56.89,18898.77,1081807.07
2017-10-12 17:00:00,55.21,57.49,56.89,55.4,5749.34,321835.23
2017-10-12 18:00:00,54.68,57.33,55.4,56.44,4905.53,274454.31
2017-10-12 19:00:00,55.68,56.66,56.44,56.49,2305.88,129671.84
2017-10-12 20:00:00,56.49,57.32,56.49,56.56,1492.17,84881.22
2017-10-12 21:00:00,55.7,56.72,56.56,56.08,5613.33,315569.1
2017-10-12 22:00:00,56.08,56.82,56.08,56.64,2154.47,121300.32
2017-10-12 23:00:00,56.62,59.67,56.64,59.67,6086.02,356333.11
2017-10-13 00:00:00,58.07,59.99,59.67,58.07,5843.18,344845.78
2017-10-13 01:00:00,58.06,60.0,58.07,59.92,2176.77,128657.23
2017-10-13 02:00:00,56.55,60.49,59.92,57.97,8088.55,476971.99
2017-10-13 03:00:00,57.11,58.39,57.97,57.39,2787.01,160578.93
2017-10-13 04:00:00,57.0,58.16,57.39,57.14,2724.29,156878.57
2017-10-13 05:00:00,54.81,57.14,57.14,55.76,6806.18,379662.3
2017-10-13 06:00:00,54.54,56.0,55.76,55.79,4257.16,235549.02
2017-10-13 07:00:00,55.32,56.62,55.79,56.38,3427.59,192374.99
2017-10-13 08:00:00,56.34,58.3,56.38,57.48,1609.95,91972.8
2017-10-13 09:00:00,56.76,57.86,57.48,57.85,299.65,17144.28
2017-10-13 10:00:00,56.85,57.92,57.85,56.92,540.84,31076.58
2017-10-13 11:00:00,56.6,58.05,56.92,57.99,1415.65,81296.28
2017-10-13 12:00:00,57.16,59.35,57.99,59.35,4629.96,271185.53
2017-10-13 13:00:00,58.42,60.18,59.35,59.69,6535.24,389620.9
2017-10-13 14:00:00,58.9,60.15,59.69,59.24,2373.36,140843.21
2017-10-13 15:00:00,58.01,59.73,59.24,58.81,3018.13,178242.48
2017-10-13 16:00:00,58.29,59.24,58.81,58.54,1414.33,82957.79
2017-10-13 17:00:00,58.12,58.7,58.54,58.21,1189.17,69338.82
2017-10-13 18:00:00,57.63,58.22,58.21,57.89,4167.23,241250.61
2017-10-13 19:00:00,56.91,58.14,57.89,57.45,2537.98,146364.76
2017-10-13 20:00:00,56.91,58.5,57.45,58.35,4630.06,267744.95
2017-10-13 21:00:00,57.96,58.45,58.35,58.21,2793.37,162597.2
2017-10-13 22:00:00,57.95,58.91,58.21,58.62,1438.25,84007.29
2017-10-13 23:00:00,58.53,59.39,58.62,58.98,951.97,56143.05
2017-10-14 00:00:00,58.98,59.69,58.98,59.39,1262.73,74829.43
2017-10-14 01:00:00,58.57,59.39,59.39,58.8,712.51,42078.49
2017-10-14 02:00:00,58.41,59.58,58.8,58.83,1590.81,94270.7
2017-10-14 03:00:00,58.83,59.64,58.83,59.07,323.76,19215.86
2017-10-14 04:00:00,58.91,59.54,59.07,59.43,730.69,43285.53
2017-10-14 05:00:00,58.36,59.47,59.43,58.36,480.48,28202.89
2017-10-14 06:00:00,58.25,58.72,58.36,58.72,369.01,21540.93
2017-10-14 07:00:00,58.03,58.81,58.72,58.03,487.35,28348.94
2017-10-14 08:00:00,58.03,59.51,58.03,59.5,1210.72,71449.93
2017-10-14 09:00:00,59.3,59.8,59.5,59.41,1349.28,80414.13
2017-10-14 10:00:00,58.79,59.67,59.41,58.98,2404.57,142011.58
2017-10-14 11:00:00,58.98,60.9,58.98,59.99,6265.97,376056.88
2017-10-14 12:00:00,59.88,60.8,59.99,60.39,648.25,39107.72
2017-10-14 13:00:00,60.3,60.96,60.39,60.56,1481.08,89938.26
2017-10-14 14:00:00,60.56,64.2,60.56,63.8,7518.46,472539.85
2017-10-14 15:00:00,63.12,66.59,63.8,65.25,8581.63,557568.35
2017-10-14 16:00:00,64.02,66.25,65.25,65.02,3383.54,220099.1
2017-10-14 17:00:00,64.6,65.48,65.02,64.65,649.98,42351.67
2017-10-14 18:00:00,64.06,65.0,64.65,64.24,1238.19,79811.99
2017-10-14 19:00:00,63.2,64.52,64.24,63.44,1594.84,102236.46
2017-10-14 20:00:00,63.34,65.0,63.44,64.73,1762.57,113315.19
2017-10-14 21:00:00,63.14,64.73,64.73,64.69,726.97,46512.77
2017-10-14 22:00:00,63.68,64.83,64.69,64.83,645.32,41445.43
2017-10-14 23:00:00,63.23,64.83,64.83,63.63,1225.8,78256.07
2017-10-15 00:00:00,63.63,64.36,63.63,63.8,265.5,16962.35
2017-10-15 01:00:00,63.79,65.41,63.8,65.41,190.62,12312.64
2017-10-15 02:00:00,65.3,67.37,65.41,67.2,1794.96,119696.12
2017-10-15 03:00:00,66.74,68.32,67.2,67.66,3136.65,212277.96
2017-10-15 04:00:00,66.87,68.3,67.66,67.21,957.47,64633.23
2017-10-15 05:00:00,66.62,67.36,67.21,67.3,327.29,21996.8
2017-10-15 06:00:00,67.14,68.88,67.3,68.8,952.74,64578.02
2017-10-15 07:00:00,68.5,69.48,68.8,68.92,5291.02,366330.1
2017-10-15 08:00:00,64.42,68.92,68.92,65.61,6434.26,423562.65
2017-10-15 09:00:00,63.0,66.14,65.61,63.13,5836.78,372828.09
2017-10-15 10:00:00,61.99,64.71,63.13,64.71,5660.7,356789.81
2017-10-15 11:00:00,62.02,65.6,64.71,62.5,4283.39,272481.11
2017-10-15 12:00:00,62.2,64.31,62.5,63.6,2247.04,142061.92
2017-10-15 13:00:00,62.19,64.72,63.6,64.44,2769.08,174855.11
2017-10-15 14:00:00,63.66,65.0,64.44,64.59,4049.83,261837.71
2017-10-15 15:00:00,63.74,65.24,64.59,64.0,1104.73,71443.15
2017-10-15 16:00:00,62.1,64.04,64.0,62.71,3032.09,190254.49
2017-10-15 17:00:00,62.2,63.0,62.71,62.4,1500.65,93701.94
2017-10-15 18:00:00,62.13,63.0,62.4,62.23,1094.51,68275.05
2017-10-15 19:00:00,62.14,63.75,62.23,63.47,1127.35,70754.99
2017-10-15 20:00:00,62.72,63.96,63.47,63.16,833.69,52905.23
2017-10-15 21:00:00,63.04,64.59,63.16,64.59,1228.2,78102.89
2017-10-15 22:00:00,64.45,66.25,64.59,66.17,2121.48,138579.62
2017-10-15 23:00:00,64.02,66.83,66.17,65.64,1891.23,123580.82
