datetime,low,high,open,close,volumefrom,volumeto
2017-10-07 22:00:00,34.1,36.15,34.27,35.74,61981.69,2172498.91
2017-10-07 23:00:00,35.63,36.37,35.74,35.88,31545.59,1134889.09
2017-10-08 00:00:00,35.6,36.7,35.88,36.49,20651.23,745804.6
2017-10-08 01:00:00,35.54,36.6,36.49,35.96,14708.74,530546.72
2017-10-08 02:00:00,35.15,36.19,35.96,36.19,17436.87,621643.99
2017-10-08 03:00:00,35.57,36.19,36.19,36.15,10725.81,385099.32
2017-10-08 04:00:00,35.16,36.15,36.15,35.54,17547.6,622763.94
2017-10-08 05:00:00,35.22,35.81,35.54,35.57,7299.03,259179.51
2017-10-08 06:00:00,35.45,36.35,35.57,36.1,22958.72,828944.76
2017-10-08 07:00:00,35.63,36.28,36.1,35.84,12464.87,448753.39
2017-10-08 08:00:00,35.71,36.12,35.84,35.9,8270.85,297528.6
2017-10-08 09:00:00,35.8,36.48,35.9,36.45,22209.05,805079.64
2017-10-08 10:00:00,36.3,36.93,36.45,36.81,29447.61,1079397.73
2017-10-08 11:00:00,36.44,36.95,36.81,36.95,17588.26,645409.23
2017-10-08 12:00:00,36.01,37.23,36.95,36.15,45858.18,1678835.22
2017-10-08 13:00:00,35.71,36.94,36.15,36.4,38465.57,1394041.6
2017-10-08 14:00:00,34.16,36.57,36.4,34.68,97775.22,3445946.4
2017-10-08 15:00:00,33.9,35.68,34.68,34.55,70148.17,2426079.99
2017-10-08 16:00:00,32.4,34.66,34.55,33.19,86999.83,2890960.51
2017-10-08 17:00:00,32.99,34.56,33.19,34.32,47281.05,1603517.7
2017-10-08 18:00:00,33.42,34.38,34.32,33.56,15099.57,511007.02
2017-10-08 19:00:00,32.31,33.66,33.56,32.32,30915.82,1013033.25
2017-10-08 20:00:00,31.01,32.38,32.32,31.33,72596.79,2293737.46
2017-10-08 21:00:00,31.33,32.7,31.33,31.83,29499.8,945815.98
2017-10-08 22:00:00,31.65,32.76,31.83,32.28,15195.3,492058.79
2017-10-08 23:00:00,31.91,32.58,32.28,32.13,9575.38,308165.13
2017-10-09 00:00:00,30.63,32.21,32.13,31.95,29097.43,909119.29
2017-10-09 01:00:00,31.33,32.09,31.95,31.7,10924.82,346094.38
2017-10-09 02:00:00,31.2,31.9,31.7,31.22,10230.29,321861.56
2017-10-09 03:00:00,29.99,31.3,31.22,30.11,40775.41,1241087.08
2017-10-09 04:00:00,29.31,30.5,30.11,30.41,31840.3,953685.1
2017-10-09 05:00:00,30.3,33.0,30.41,32.66,42644.54,1360091.7
2017-10-09 06:00:00,30.9,32.7,32.66,31.81,22685.07,719671.63
2017-10-09 07:00:00,30.78,31.86,31.81,31.25,10252.87,320977.83
2017-10-09 08:00:00,30.48,31.42,31.25,30.73,19019.64,586975.42
2017-10-09 09:00:00,30.71,31.9,30.73,31.5,11010.06,343946.9
2017-10-09 10:00:00,30.78,31.69,31.5,30.84,6741.84,210719.95
2017-10-09 11:00:00,30.7,31.95,30.84,31.32,17552.42,547379.73
2017-10-09 12:00:00,31.11,31.9,31.32,31.4,16159.42,510824.84
2017-10-09 13:00:00,31.13,31.77,31.4,31.29,7109.7,223008.56
2017-10-09 14:00:00,30.8,31.99,31.29,30.86,20584.7,647835.33
2017-10-09 15:00:00,30.2,31.78,30.86,31.02,46466.58,1430312.92
2017-10-09 16:00:00,30.4,31.15,31.02,30.72,10773.06,330069.14
2017-10-09 17:00:00,28.11,30.72,30.72,29.08,79845.04,2329820.88
2017-10-09 18:00:00,27.12,29.08,29.08,27.6,95917.0,2690369.05
2017-10-09 19:00:00,26.59,28.6,27.6,28.6,91152.56,2506365.27
