datetime,low,high,open,close,volumefrom,volumeto
2017-10-07 22:00:00,34.1,35.88,34.26,35.88,21793.41,763200.14
2017-10-07 23:00:00,35.55,36.2,35.88,35.82,12836.09,461015.32
2017-10-08 00:00:00,35.6,36.61,35.82,36.4,7628.1,275597.98
2017-10-08 01:00:00,35.9,36.45,36.4,35.95,6622.53,239486.72
2017-10-08 02:00:00,35.18,36.0,35.95,35.99,6267.83,223403.9
2017-10-08 03:00:00,35.7,36.19,35.99,36.0,3204.01,115488.48
2017-10-08 04:00:00,35.28,36.0,36.0,35.41,5622.13,199181.7
2017-10-08 05:00:00,35.21,35.77,35.41,35.39,1624.49,57680.09
2017-10-08 06:00:00,35.3,36.38,35.39,36.17,8771.81,316035.56
2017-10-08 07:00:00,35.76,36.18,36.17,35.78,3457.95,124415.72
2017-10-08 08:00:00,35.76,36.1,35.78,36.0,2983.46,107046.98
2017-10-08 09:00:00,35.87,36.38,36.0,36.3,5675.69,205289.5
2017-10-08 10:00:00,36.3,37.0,36.3,36.8,9285.25,341218.95
2017-10-08 11:00:00,36.4,36.99,36.8,36.99,5967.51,218835.76
2017-10-08 12:00:00,35.9,37.33,36.99,35.9,14468.77,527805.47
2017-10-08 13:00:00,35.28,36.85,35.9,36.44,25257.12,908110.7
2017-10-08 14:00:00,34.0,36.7,36.44,34.6,38294.4,1344206.31
2017-10-08 15:00:00,34.03,35.34,34.6,34.7,13716.08,474993.27
2017-10-08 16:00:00,32.25,34.81,34.7,33.0,40561.28,1343540.87
2017-10-08 17:00:00,33.0,34.5,33.0,34.24,12006.59,406773.21
2017-10-08 18:00:00,33.52,34.25,34.24,33.55,5258.66,177692.39
2017-10-08 19:00:00,32.47,33.61,33.55,32.48,11586.88,381059.95
2017-10-08 20:00:00,31.04,32.48,32.48,31.45,35294.62,1116511.86
2017-10-08 21:00:00,31.45,32.73,31.45,31.85,11854.74,380530.42
2017-10-08 22:00:00,31.77,32.8,31.85,32.27,6913.44,224426.81
2017-10-08 23:00:00,32.0,32.5,32.27,32.2,2711.02,87414.92
2017-10-09 00:00:00,30.96,32.3,32.2,31.89,11357.26,357023.93
2017-10-09 01:00:00,31.41,32.1,31.89,31.73,8300.44,264145.77
2017-10-09 02:00:00,31.33,31.89,31.73,31.44,4877.86,154048.73
2017-10-09 03:00:00,30.18,31.6,31.44,30.2,18558.62,570150.55
2017-10-09 04:00:00,30.0,30.7,30.2,30.03,22904.95,690392.57
2017-10-09 05:00:00,30.03,33.0,30.03,32.67,20423.95,652723.02
2017-10-09 06:00:00,31.23,32.67,32.67,32.0,7101.13,225950.66
2017-10-09 07:00:00,31.1,32.0,32.0,31.12,4221.91,132311.82
2017-10-09 08:00:00,30.56,31.29,31.12,30.8,6599.83,203375.68
2017-10-09 09:00:00,30.75,31.9,30.8,31.49,5466.06,170757.8
2017-10-09 10:00:00,30.7,31.7,31.49,30.9,6558.96,203871.35
2017-10-09 11:00:00,30.8,31.45,30.9,31.25,8677.51,269405.66
2017-10-09 12:00:00,31.24,31.95,31.25,31.6,6155.45,195474.48
2017-10-09 13:00:00,31.31,31.69,31.6,31.55,1756.63,55264.32
2017-10-09 14:00:00,31.0,31.95,31.55,31.0,11843.3,371604.14
2017-10-09 15:00:00,30.25,31.29,31.0,30.73,12601.43,386788.51
2017-10-09 16:00:00,30.56,31.1,30.73,30.7,2922.13,89781.41
2017-10-09 17:00:00,28.1,30.7,30.7,29.0,35135.82,1031704.66
2017-10-09 18:00:00,27.52,29.07,29.0,27.52,35387.69,993750.73
2017-10-09 19:00:00,26.7,28.8,27.52,28.74,36332.04,1005698.52
2017-10-09 20:00:00,27.89,29.82,28.74,29.03,31568.93,916116.96
2017-10-09 21:00:00,28.7,29.99,29.03,29.76,8138.95,239756.37
2017-10-09 22:00:00,28.69,29.76,29.76,28.95,4062.9,118487.0
2017-10-09 23:00:00,28.85,29.59,28.95,29.11,1510.84,44155.18
2017-10-10 00:00:00,28.0,29.32,29.11,28.13,5418.25,153999.72
2017-10-10 01:00:00,28.13,29.1,28.13,28.6,6970.91,198745.17
2017-10-10 02:00:00,28.6,29.49,28.6,29.1,2710.15,78741.26
2017-10-10 03:00:00,28.73,29.65,29.1,29.23,3350.43,97898.34
2017-10-10 04:00:00,28.93,29.69,29.23,28.93,6146.09,180258.02
2017-10-10 05:00:00,28.74,29.87,28.93,29.01,2435.04,71337.15
2017-10-10 06:00:00,28.75,29.19,29.01,28.9,1978.51,57190.07
2017-10-10 07:00:00,28.55,29.1,28.9,28.7,4767.42,137235.96
2017-10-10 08:00:00,28.65,29.4,28.7,29.02,3104.94,90493.15
2017-10-10 09:00:00,29.01,29.47,29.02,29.3,2255.37,65797.06
2017-10-10 10:00:00,29.25,30.7,29.3,30.48,10036.52,300960.18
2017-10-10 11:00:00,30.14,31.2,30.48,30.3,12026.14,369903.58
2017-10-10 12:00:00,29.86,30.99,30.3,30.01,6929.78,210246.69
2017-10-10 13:00:00,29.5,30.22,30.01,30.0,6535.22,194770.08
2017-10-10 14:00:00,29.7,30.33,30.0,29.7,4787.56,143789.17
2017-10-10 15:00:00,29.6,30.5,29.7,30.4,3480.06,105262.5
2017-10-10 16:00:00,30.1,30.9,30.4,30.7,4197.06,128508.97
2017-10-10 17:00:00,30.0,30.8,30.7,30.36,4285.6,130165.38
2017-10-10 18:00:00,30.2,30.67,30.36,30.65,3093.6,93823.85
2017-10-10 19:00:00,30.2,30.65,30.65,30.46,1410.82,42865.51
2017-10-10 20:00:00,30.0,30.7,30.46,30.0,5992.04,182081.94
2017-10-10 21:00:00,28.91,30.1,30.0,29.31,11670.09,342357.68
2017-10-10 22:00:00,29.01,29.5,29.31,29.5,3075.01,90285.63
2017-10-10 23:00:00,29.22,29.8,29.5,29.28,2772.65,81621.53
2017-10-11 00:00:00,29.28,29.91,29.28,29.65,2137.74,63551.84
2017-10-11 01:00:00,29.61,30.07,29.65,30.0,1652.03,49419.56
2017-10-11 02:00:00,29.6,30.39,30.0,29.9,5139.07,154778.12
2017-10-11 03:00:00,29.6,29.9,29.9,29.9,2270.35,67353.48
2017-10-11 04:00:00,29.76,30.32,29.9,30.1,3472.36,104631.34
2017-10-11 05:00:00,29.95,30.3,30.1,29.95,1588.73,47741.64
2017-10-11 06:00:00,29.95,30.49,29.95,30.32,3032.85,91870.85
2017-10-11 07:00:00,30.32,31.2,30.32,30.8,6401.66,197065.4
2017-10-11 08:00:00,30.51,31.18,30.8,30.85,3114.26,96266.24
2017-10-11 09:00:00,30.7,30.98,30.85,30.95,2763.64,85405.46
2017-10-11 10:00:00,30.59,30.95,30.95,30.93,1572.58,48371.98
2017-10-11 11:00:00,30.2,30.93,30.93,30.4,2157.06,65350.43
2017-10-11 12:00:00,29.79,30.48,30.4,29.8,3020.63,90681.79
2017-10-11 13:00:00,29.8,30.16,29.8,30.16,2287.73,68796.18
2017-10-11 14:00:00,30.01,30.3,30.16,30.3,1296.82,39123.47
2017-10-11 15:00:00,30.16,30.7,30.3,30.43,1971.59,60183.78
2017-10-11 16:00:00,30.21,30.5,30.43,30.22,2233.54,67637.39
2017-10-11 17:00:00,30.12,30.85,30.22,30.41,3131.78,95555.34
2017-10-11 18:00:00,30.0,30.69,30.41,30.09,2598.08,78162.81
2017-10-11 19:00:00,29.96,30.34,30.09,29.96,4116.08,123797.43
2017-10-11 20:00:00,29.8,30.01,29.96,29.8,1421.4,42448.65
2017-10-11 21:00:00,29.8,30.06,29.8,30.01,1050.03,31399.67
2017-10-11 22:00:00,30.01,30.3,30.01,30.3,262.05,7912.58
2017-10-11 23:00:00,30.1,30.5,30.3,30.1,739.92,22438.79
2017-10-12 00:00:00,29.95,30.45,30.1,30.12,708.59,21439.53
2017-10-12 01:00:00,29.94,30.39,30.12,30.39,354.86,10687.1
2017-10-12 02:00:00,30.01,30.39,30.39,30.04,1630.94,49202.17
2017-10-12 03:00:00,29.87,30.2,30.04,30.01,3481.41,104437.12
2017-10-12 04:00:00,29.78,30.03,30.01,29.83,6859.74,204653.19
2017-10-12 05:00:00,29.0,29.93,29.83,29.0,10218.01,301526.95
2017-10-12 06:00:00,28.44,29.68,29.0,29.51,14033.78,407574.16
2017-10-12 07:00:00,29.0,29.56,29.51,29.04,10971.08,321324.85
2017-10-12 08:00:00,28.5,29.73,29.04,29.26,14339.99,415309.26
2017-10-12 09:00:00,29.03,29.67,29.26,29.6,4486.43,132235.32
2017-10-12 10:00:00,29.27,29.66,29.6,29.53,3625.39,107141.03
2017-10-12 11:00:00,29.11,29.65,29.53,29.3,7609.4,223536.46
2017-10-12 12:00:00,28.72,29.59,29.3,28.85,6475.59,188615.4
2017-10-12 13:00:00,28.85,29.56,28.85,29.5,2551.25,74329.48
2017-10-12 14:00:00,29.35,29.69,29.5,29.59,2968.14,87717.86
2017-10-12 15:00:00,28.9,29.59,29.59,29.0,4996.05,145658.82
2017-10-12 16:00:00,28.52,29.28,29.0,28.62,20257.69,582212.69
2017-10-12 17:00:00,28.44,29.3,28.62,28.82,13713.17,394534.69
2017-10-12 18:00:00,28.75,29.4,28.82,28.8,5435.29,157957.48
2017-10-12 19:00:00,28.32,29.16,28.8,28.32,2997.92,86059.09
2017-10-12 20:00:00,28.11,28.76,28.32,28.4,8196.86,232579.52
2017-10-12 21:00:00,28.3,28.8,28.4,28.62,9322.31,265879.21
2017-10-12 22:00:00,28.1,28.63,28.62,28.11,3105.74,87840.09
2017-10-12 23:00:00,27.7,28.41,28.11,28.1,11310.94,315797.64
2017-10-13 00:00:00,27.33,28.1,28.1,27.34,12113.01,334409.45
2017-10-13 01:00:00,27.0,27.8,27.34,27.0,8321.83,226650.08
2017-10-13 02:00:00,26.71,28.2,27.0,27.51,30795.86,834611.69
2017-10-13 03:00:00,27.1,28.1,27.51,27.7,12099.59,334710.67
2017-10-13 04:00:00,27.15,28.0,27.7,28.0,12011.84,331927.57
2017-10-13 05:00:00,27.28,29.5,28.0,28.75,27729.8,792621.51
2017-10-13 06:00:00,28.15,29.49,28.75,28.25,11631.66,336700.87
2017-10-13 07:00:00,28.03,28.73,28.25,28.1,7528.58,213564.83
2017-10-13 08:00:00,27.48,28.25,28.1,27.68,17083.02,472978.52
2017-10-13 09:00:00,27.51,28.2,27.68,27.7,2141.01,59483.23
