datetime,low,high,open,close,volumefrom,volumeto
2017-10-07 22:00:00,251.29,255.4,252.79,255.4,153.33,38950.01
2017-10-07 23:00:00,253.29,257.8,255.4,254.96,468.66,120031.83
2017-10-08 00:00:00,253.29,255.38,254.96,255.37,145.4,37097.43
2017-10-08 01:00:00,253.69,255.38,255.37,254.0,471.19,120190.52
2017-10-08 02:00:00,252.85,255.27,254.0,253.78,36.41,9227.5
2017-10-08 03:00:00,253.5,255.79,253.78,255.79,48.18,12292.0
2017-10-08 04:00:00,253.5,255.97,255.79,253.53,6.53,1660.62
2017-10-08 05:00:00,253.53,256.0,253.53,255.99,90.49,23110.75
2017-10-08 06:00:00,253.53,256.23,255.99,256.05,39.29,10030.2
2017-10-08 07:00:00,254.1,256.27,256.05,254.1,48.02,12271.69
2017-10-08 08:00:00,254.06,255.9,254.1,254.06,10.18,2587.89
2017-10-08 09:00:00,253.7,255.62,254.06,253.7,39.37,10028.57
2017-10-08 10:00:00,253.7,255.89,253.7,254.21,239.2,61022.17
2017-10-08 11:00:00,254.21,257.51,254.21,256.0,349.63,89731.69
2017-10-08 12:00:00,253.91,256.85,256.0,253.99,202.04,51609.49
2017-10-08 13:00:00,252.5,254.8,253.99,252.5,221.01,56031.57
2017-10-08 14:00:00,250.23,254.01,252.5,250.31,289.01,72883.87
2017-10-08 15:00:00,249.76,252.42,250.31,250.3,370.21,92723.23
2017-10-08 16:00:00,247.41,252.1,250.3,248.0,324.5,81159.97
2017-10-08 17:00:00,246.0,249.08,248.0,248.0,217.74,53770.93
2017-10-08 18:00:00,247.0,249.24,248.0,247.0,286.25,71064.52
2017-10-08 19:00:00,244.33,249.24,247.0,245.2,369.54,91021.37
2017-10-08 20:00:00,244.33,246.0,245.2,244.5,191.86,47027.45
2017-10-08 21:00:00,244.0,246.94,244.5,245.3,60.13,14761.01
2017-10-08 22:00:00,240.5,245.33,245.3,240.69,155.71,37779.3
2017-10-08 23:00:00,240.5,243.33,240.69,241.18,142.74,34520.63
2017-10-09 00:00:00,240.57,243.33,241.18,242.01,99.29,24041.85
2017-10-09 01:00:00,241.2,243.2,242.01,241.4,194.93,47211.71
2017-10-09 02:00:00,240.39,242.0,241.4,241.61,368.18,88821.03
2017-10-09 03:00:00,238.92,241.61,241.61,240.0,319.4,76565.46
2017-10-09 04:00:00,236.0,240.97,240.0,238.23,629.45,149025.15
2017-10-09 05:00:00,236.61,239.99,238.23,238.52,162.63,38785.27
2017-10-09 06:00:00,236.5,240.14,238.52,238.4,157.58,37472.85
2017-10-09 07:00:00,238.4,241.62,238.4,240.0,128.84,31015.34
2017-10-09 08:00:00,237.61,241.58,240.0,238.7,97.11,23225.69
2017-10-09 09:00:00,236.31,240.0,238.7,240.0,75.88,18029.15
2017-10-09 10:00:00,238.09,241.2,240.0,239.37,112.8,27075.4
2017-10-09 11:00:00,236.31,239.39,239.37,237.12,199.64,47531.36
2017-10-09 12:00:00,236.11,239.14,237.12,237.58,229.92,54696.7
2017-10-09 13:00:00,236.3,239.24,237.58,239.24,93.08,22160.74
2017-10-09 14:00:00,236.0,239.7,239.24,236.52,251.92,59583.77
2017-10-09 15:00:00,233.0,237.0,236.52,234.8,352.05,82535.04
2017-10-09 16:00:00,231.9,235.56,234.8,232.62,209.38,48788.69
2017-10-09 17:00:00,231.13,233.2,232.62,231.13,72.31,16798.26
2017-10-09 18:00:00,226.91,232.7,231.13,228.06,412.26,94550.87
2017-10-09 19:00:00,223.71,230.21,228.06,227.27,738.03,167309.33
2017-10-09 20:00:00,227.27,232.59,227.27,230.45,530.12,122477.92
2017-10-09 21:00:00,229.0,232.72,230.45,231.5,93.39,21583.39
2017-10-09 22:00:00,228.0,232.0,231.5,229.49,152.84,35139.8
2017-10-09 23:00:00,228.02,230.78,229.49,228.04,50.74,11654.7
2017-10-10 00:00:00,227.6,230.0,228.04,228.21,104.42,23821.78
2017-10-10 01:00:00,226.0,228.87,228.21,226.56,285.92,65121.8
2017-10-10 02:00:00,225.99,235.0,226.56,234.12,827.77,192688.9
2017-10-10 03:00:00,230.0,234.12,234.12,232.0,274.2,63559.59
2017-10-10 04:00:00,230.59,233.91,232.0,230.59,238.68,55460.63
2017-10-10 05:00:00,230.59,233.1,230.59,233.0,30.35,7033.86
2017-10-10 06:00:00,231.43,234.0,233.0,231.43,46.5,10841.14
2017-10-10 07:00:00,229.78,232.38,231.43,230.5,59.1,13643.5
2017-10-10 08:00:00,228.88,232.26,230.5,230.66,58.22,13446.06
2017-10-10 09:00:00,230.51,231.78,230.66,231.78,15.56,3600.31
2017-10-10 10:00:00,230.51,233.26,231.78,231.7,178.41,41464.79
2017-10-10 11:00:00,230.0,231.7,231.7,230.3,30.19,6977.7
2017-10-10 12:00:00,230.3,233.39,230.3,233.39,61.2,14204.46
2017-10-10 13:00:00,231.79,234.0,233.39,232.8,27.07,6310.51
2017-10-10 14:00:00,231.31,233.9,232.8,231.31,152.11,35336.11
2017-10-10 15:00:00,231.31,233.5,231.31,232.35,100.32,23368.69
2017-10-10 16:00:00,232.35,238.8,232.35,238.8,472.52,112111.49
2017-10-10 17:00:00,238.5,243.36,238.8,241.3,1104.4,266361.9
2017-10-10 18:00:00,238.5,242.84,241.3,238.5,276.86,66843.98
2017-10-10 19:00:00,237.27,243.17,238.5,242.46,185.59,44814.93
2017-10-10 20:00:00,239.9,243.17,242.46,241.0,57.92,13997.14
2017-10-10 21:00:00,239.9,243.15,241.0,241.89,73.54,17729.39
2017-10-10 22:00:00,235.16,241.9,241.89,237.75,160.05,37883.18
